"","date","FMCIU"
"1","2018-08-03",9.95
"2","2018-08-06",9.98
"3","2018-08-07",9.99
"4","2018-08-08",9.98
"5","2018-08-09",9.97
"6","2018-08-10",9.98
"7","2018-08-13",9.96
"8","2018-08-14",9.95
"9","2018-08-15",9.99
"10","2018-08-16",9.99
"11","2018-08-17",10
"12","2018-08-20",10
"13","2018-08-21",10
"14","2018-08-22",10.01
"15","2018-08-23",10.01
"16","2018-08-24",10.01
"17","2018-08-27",10.01
"18","2018-08-28",10
"19","2018-08-29",10
"20","2018-08-30",9.99
"21","2018-08-31",10.01
"22","2018-09-04",10.01
"23","2018-09-05",10
"24","2018-09-06",10
"25","2018-09-07",9.99
"26","2018-09-10",10.01
"27","2018-09-11",10.04
"28","2018-09-12",10.11
"29","2018-09-13",10.11
"30","2018-09-14",10.12
"31","2018-09-17",10.12
"32","2018-09-18",10.07
"33","2018-09-19",10.12
"34","2018-09-20",10.13
"35","2018-09-21",10.12
"36","2018-09-24",10.13
"37","2018-09-25",10.14
"38","2018-09-26",10.1
"39","2018-09-27",10.13
"40","2018-09-28",10.13
"41","2018-10-01",10.13
"42","2018-10-02",10.09
"43","2018-10-03",10.09
"44","2018-10-04",10.1
"45","2018-10-05",10.12
"46","2018-10-08",10.12
"47","2018-10-09",10.12
"48","2018-10-10",10.11
"49","2018-10-11",10.12
"50","2018-10-12",10.09
"51","2018-10-15",10.11
"52","2018-10-16",10.11
"53","2018-10-17",10.1
"54","2018-10-18",10.12
"55","2018-10-19",10.12
"56","2018-10-22",10.12
"57","2018-10-23",10.12
"58","2018-10-24",10.12
"59","2018-10-25",10.13
"60","2018-10-26",10.12
"61","2018-10-29",10.12
"62","2018-10-30",10.12
"63","2018-10-31",10.11
"64","2018-11-01",10.11
"65","2018-11-02",10.1
"66","2018-11-05",10.1
"67","2018-11-06",10.09
"68","2018-11-07",10.08
"69","2018-11-08",10.16
"70","2018-11-09",10.13
"71","2018-11-12",10.15
"72","2018-11-13",10.15
"73","2018-11-14",10.15
"74","2018-11-15",10.15
"75","2018-11-16",10.15
"76","2018-11-19",10.14
"77","2018-11-20",10.15
"78","2018-11-21",10.14
"79","2018-11-23",10.14
"80","2018-11-26",10.14
"81","2018-11-27",10.14
"82","2018-11-28",10.14
"83","2018-11-29",10.12
"84","2018-11-30",10.12
"85","2018-12-03",10.12
"86","2018-12-04",10.12
"87","2018-12-06",10.12
"88","2018-12-07",10.12
"89","2018-12-10",10.12
"90","2018-12-11",10.13
"91","2018-12-12",10.11
"92","2018-12-13",10.11
"93","2018-12-14",10.11
"94","2018-12-17",10.12
"95","2018-12-18",10.12
"96","2018-12-19",10.14
"97","2018-12-20",10.13
"98","2018-12-21",10.13
"99","2018-12-24",10.12
"100","2018-12-26",10.12
"101","2018-12-27",10.12
"102","2018-12-28",10.12
"103","2018-12-31",10.12
"104","2019-01-02",10.12
"105","2019-01-03",10.12
"106","2019-01-04",10.12
"107","2019-01-07",10.14
"108","2019-01-08",10.14
"109","2019-01-09",10.2
"110","2019-01-10",10.2
"111","2019-01-11",10.2
"112","2019-01-14",10.2
"113","2019-01-15",10.2
"114","2019-01-16",10.22
"115","2019-01-17",10.22
"116","2019-01-18",10.21
"117","2019-01-22",10.21
"118","2019-01-23",10.24
"119","2019-01-24",10.24
"120","2019-01-25",10.22
"121","2019-01-28",10.19
"122","2019-01-29",10.24
