"","date","EVR"
"1","2007-01-03",36.509998
"2","2007-01-04",37.849998
"3","2007-01-05",37
"4","2007-01-08",35.98
"5","2007-01-09",36
"6","2007-01-10",36.73
"7","2007-01-11",37.400002
"8","2007-01-12",36.849998
"9","2007-01-16",35.950001
"10","2007-01-17",35.900002
"11","2007-01-18",35.34
"12","2007-01-19",35
"13","2007-01-22",33.639999
"14","2007-01-23",33.27
"15","2007-01-24",32.959999
"16","2007-01-25",32.810001
"17","2007-01-26",33.32
"18","2007-01-29",33.09
"19","2007-01-30",33.91
"20","2007-01-31",33.889999
"21","2007-02-01",32.369999
"22","2007-02-02",33.720001
"23","2007-02-05",33.220001
"24","2007-02-06",33.950001
"25","2007-02-07",34.119999
"26","2007-02-08",34.110001
"27","2007-02-09",34.91
"28","2007-02-12",34
"29","2007-02-13",33.200001
"30","2007-02-14",33.799999
"31","2007-02-15",32.939999
"32","2007-02-16",32.669998
"33","2007-02-20",32.580002
"34","2007-02-21",32.700001
"35","2007-02-22",33.049999
"36","2007-02-23",33.400002
"37","2007-02-26",32.900002
"38","2007-02-27",31.799999
"39","2007-02-28",32.09
"40","2007-03-01",31.969999
"41","2007-03-02",31.9
"42","2007-03-05",30.85
"43","2007-03-06",31.84
"44","2007-03-07",31.459999
"45","2007-03-08",31.66
"46","2007-03-09",31.6
"47","2007-03-12",31.799999
"48","2007-03-13",31.280001
"49","2007-03-14",32.209999
"50","2007-03-15",32.25
"51","2007-03-16",32.700001
"52","2007-03-19",32.790001
"53","2007-03-20",32.889999
"54","2007-03-21",32.349998
"55","2007-03-22",31.99
"56","2007-03-23",31.99
"57","2007-03-26",31.4
"58","2007-03-27",31.389999
"59","2007-03-28",30.559999
"60","2007-03-29",31.190001
"61","2007-03-30",31.190001
"62","2007-04-02",30.950001
"63","2007-04-03",31.52
"64","2007-04-04",31.5
"65","2007-04-05",31.610001
"66","2007-04-09",31.950001
"67","2007-04-10",31.200001
"68","2007-04-11",30.139999
"69","2007-04-12",30.32
"70","2007-04-13",30.4
"71","2007-04-16",31.809999
"72","2007-04-17",31.559999
"73","2007-04-18",31.75
"74","2007-04-19",31.84
"75","2007-04-20",33.02
"76","2007-04-23",33.119999
"77","2007-04-24",32.130001
"78","2007-04-25",31.26
"79","2007-04-26",31
"80","2007-04-27",30.370001
"81","2007-04-30",28.940001
"82","2007-05-01",29.01
"83","2007-05-02",28.9
"84","2007-05-03",28.99
"85","2007-05-04",29.299999
"86","2007-05-07",29.91
"87","2007-05-08",29.84
"88","2007-05-09",30
"89","2007-05-10",29.200001
"90","2007-05-11",29.299999
"91","2007-05-14",30.34
"92","2007-05-15",30.360001
"93","2007-05-16",30.309999
"94","2007-05-17",30.35
"95","2007-05-18",29.549999
"96","2007-05-21",30.33
