"","date","CF"
"1","2007-01-03",5.292
"2","2007-01-04",5.35
"3","2007-01-05",5.318
"4","2007-01-08",5.284
"5","2007-01-09",5.404
"6","2007-01-10",5.43
"7","2007-01-11",5.54
"8","2007-01-12",5.806
"9","2007-01-16",5.88
"10","2007-01-17",5.88
"11","2007-01-18",5.768
"12","2007-01-19",5.858
"13","2007-01-22",5.734
"14","2007-01-23",5.788
"15","2007-01-24",5.764
"16","2007-01-25",5.664
"17","2007-01-26",5.74
"18","2007-01-29",6.296
"19","2007-01-30",6.154
"20","2007-01-31",6.1
"21","2007-02-01",6.364
"22","2007-02-02",6.312
"23","2007-02-05",6.326
"24","2007-02-06",6.3
"25","2007-02-07",6.416
"26","2007-02-08",6.48
"27","2007-02-09",6.572
"28","2007-02-12",6.666
"29","2007-02-13",6.792
"30","2007-02-14",6.864
"31","2007-02-15",6.916
"32","2007-02-16",6.87
"33","2007-02-20",7.436
"34","2007-02-21",7.686
"35","2007-02-22",7.752
"36","2007-02-23",7.916
"37","2007-02-26",7.912
"38","2007-02-27",7.45
"39","2007-02-28",7.732
"40","2007-03-01",7.6
"41","2007-03-02",7.312
"42","2007-03-05",7.44
"43","2007-03-06",7.74
"44","2007-03-07",7.79
"45","2007-03-08",8.106
"46","2007-03-09",8.16
"47","2007-03-12",8.24
"48","2007-03-13",8.13
"49","2007-03-14",8.136
"50","2007-03-15",8.098
"51","2007-03-16",8.048
"52","2007-03-19",8.342
"53","2007-03-20",8.464
"54","2007-03-21",8.636
"55","2007-03-22",8.588
"56","2007-03-23",8.362
"57","2007-03-26",8.196
"58","2007-03-27",7.688
"59","2007-03-28",7.544
"60","2007-03-29",7.756
"61","2007-03-30",7.71
"62","2007-04-02",7.802
"63","2007-04-03",7.902
"64","2007-04-04",8.032
"65","2007-04-05",8.222
"66","2007-04-09",8.264
"67","2007-04-10",8.134
"68","2007-04-11",8.336
"69","2007-04-12",8.652
"70","2007-04-13",8.86
"71","2007-04-16",8.852
"72","2007-04-17",8.8
"73","2007-04-18",8.906
