"","date","WTER"
"1","2013-11-06",25.9
"2","2013-11-07",25.049999
"3","2013-11-08",25.049999
"4","2013-11-11",22.5
"5","2013-11-12",18.5
"6","2013-11-13",22.1
"7","2013-11-14",18.15
"8","2013-11-15",19.25
"9","2013-11-18",18
"10","2013-11-19",14.4
"11","2013-11-20",19.5
"12","2013-11-21",17.5
"13","2013-11-22",16.049999
"14","2013-11-25",17.35
"15","2013-11-26",19
"16","2013-11-27",19.9
"17","2013-11-29",19.25
"18","2013-12-02",20.799999
"19","2013-12-03",20.1
"20","2013-12-04",19.450001
"21","2013-12-05",19.35
"22","2013-12-06",20
"23","2013-12-09",19
"24","2013-12-10",18.5
"25","2013-12-11",18.549999
"26","2013-12-12",18.75
"27","2013-12-13",17.5
"28","2013-12-16",17.6
"29","2013-12-17",18
"30","2013-12-18",17.75
"31","2013-12-19",17
"32","2013-12-20",16.35
"33","2013-12-23",16.299999
"34","2013-12-24",15.25
"35","2013-12-26",14.85
"36","2013-12-27",15
"37","2013-12-30",14.15
"38","2013-12-31",13.15
"39","2014-01-02",13.5
"40","2014-01-03",13.1
"41","2014-01-06",13.5
"42","2014-01-07",13.75
"43","2014-01-08",13.75
"44","2014-01-09",13.5
"45","2014-01-10",14
"46","2014-01-13",14
"47","2014-01-14",14
"48","2014-01-15",13.5
"49","2014-01-16",13.8
"50","2014-01-17",13.75
"51","2014-01-21",13.1
"52","2014-01-22",13.5
"53","2014-01-23",13.3
"54","2014-01-24",12.5
"55","2014-01-27",10.5
"56","2014-01-28",11
"57","2014-01-29",9.5
"58","2014-01-30",11.5
"59","2014-01-31",10.65
"60","2014-02-03",11.95
"61","2014-02-04",11.35
"62","2014-02-05",9.75
"63","2014-02-06",10.5
"64","2014-02-07",10.4
"65","2014-02-10",9.85
"66","2014-02-11",10
"67","2014-02-12",10.05
"68","2014-02-13",10
"69","2014-02-14",10.5
"70","2014-02-18",9.6
"71","2014-02-19",9.6
"72","2014-02-20",9.9
"73","2014-02-21",10
"74","2014-02-24",9.5
"75","2014-02-25",9.5
"76","2014-02-26",9.5
"77","2014-02-27",9.25
"78","2014-02-28",9.25
"79","2014-03-03",9
"80","2014-03-04",8.75
"81","2014-03-05",8.5
"82","2014-03-06",7.75
"83","2014-03-07",8.25
"84","2014-03-10",8
"85","2014-03-11",8
"86","2014-03-12",8.4
"87","2014-03-13",8.75
"88","2014-03-14",8.5
"89","2014-03-17",8.5
"90","2014-03-18",8.15
"91","2014-03-19",8.55
"92","2014-03-20",8.15
"93","2014-03-21",8.4
"94","2014-03-24",9.3
"95","2014-03-25",9.95
"96","2014-03-26",9.5
"97","2014-03-27",9.2
"98","2014-03-28",9.9
"99","2014-03-31",12.75
"100","2014-04-01",14.15
"101","2014-04-02",14.2
"102","2014-04-03",18.450001
"103","2014-04-04",17.5
"104","2014-04-07",18.25
"105","2014-04-08",18.65
"106","2014-04-09",18.65
"107","2014-04-10",19
"108","2014-04-11",19.65
"109","2014-04-14",19.75
"110","2014-04-15",15.65
"111","2014-04-16",16.5
"112","2014-04-17",15.85
"113","2014-04-21",16.25
"114","2014-04-22",15.75
"115","2014-04-23",15.75
"116","2014-04-24",16.4
"117","2014-04-25",15.5
"118","2014-04-28",18.200001
"119","2014-04-29",7.2
"120","2014-04-30",7
"121","2014-05-01",7.5
"122","2014-05-02",7.95
"123","2014-05-05",8.2
"124","2014-05-06",8.2
"125","2014-05-07",7.2
"126","2014-05-08",7.05
"127","2014-05-09",7.05
"128","2014-05-12",7.5
"129","2014-05-13",7.5
"130","2014-05-14",7.5
"131","2014-05-15",7.5
"132","2014-05-16",7.15
"133","2014-05-19",7.5
"134","2014-05-20",7.45
"135","2014-05-21",7.3
"136","2014-05-22",7.3
"137","2014-05-23",7.05
"138","2014-05-27",7
"139","2014-05-28",6.75
"140","2014-05-29",6.9
"141","2014-05-30",6.6
"142","2014-06-02",6.5
"143","2014-06-03",6.75
"144","2014-06-04",5.75
"145","2014-06-05",6.6
"146","2014-06-06",6.7
"147","2014-06-09",6.25
"148","2014-06-10",6.25
"149","2014-06-11",6.05
"150","2014-06-12",6.25
"151","2014-06-13",6.05
"152","2014-06-16",5.9
"153","2014-06-17",6.1
"154","2014-06-18",5.95
"155","2014-06-19",5.95
"156","2014-06-20",6
"157","2014-06-23",5.65
"158","2014-06-24",5.7
"159","2014-06-25",5.95
"160","2014-06-26",6.3
"161","2014-06-27",6.25
"162","2014-06-30",6.4
"163","2014-07-01",6.25
"164","2014-07-02",6.05
"165","2014-07-03",6.05
"166","2014-07-07",6
"167","2014-07-08",5.9
"168","2014-07-09",6.25
"169","2014-07-10",6.25
"170","2014-07-11",5.75
"171","2014-07-14",5.8
"172","2014-07-15",5.95
"173","2014-07-16",5.9
"174","2014-07-17",6.05
"175","2014-07-18",6
"176","2014-07-21",6.2
"177","2014-07-22",6.5
"178","2014-07-23",6.3
"179","2014-07-24",6.75
"180","2014-07-25",6.95
"181","2014-07-28",8.55
"182","2014-07-29",9.05
"183","2014-07-30",10.25
"184","2014-07-31",9.15
"185","2014-08-01",8.75
"186","2014-08-04",9.5
"187","2014-08-05",9.25
"188","2014-08-06",9
"189","2014-08-07",9
"190","2014-08-08",9
"191","2014-08-11",9.4
"192","2014-08-12",8.6
"193","2014-08-13",7.25
"194","2014-08-14",7.25
"195","2014-08-15",8.5
"196","2014-08-18",8.25
"197","2014-08-19",8.75
"198","2014-08-20",8.5
"199","2014-08-21",6
"200","2014-08-22",5.5
"201","2014-08-25",5.5
"202","2014-08-26",5.8
"203","2014-08-27",6
"204","2014-08-28",6.5
"205","2014-08-29",7.05
"206","2014-09-02",6.75
"207","2014-09-03",6.95
"208","2014-09-04",6.25
"209","2014-09-05",6
"210","2014-09-08",6
"211","2014-09-09",5.55
"212","2014-09-10",5.75
"213","2014-09-11",5.45
"214","2014-09-12",5.3
"215","2014-09-15",5.75
"216","2014-09-16",5.6
"217","2014-09-17",5.5
"218","2014-09-18",5.5
"219","2014-09-19",5
"220","2014-09-22",5.5
"221","2014-09-23",5.3
"222","2014-09-24",5.5
"223","2014-09-25",5.5
"224","2014-09-26",5.5
"225","2014-09-29",5.75
"226","2014-09-30",5.4
"227","2014-10-01",5.65
"228","2014-10-02",5.5
"229","2014-10-03",5.7
"230","2014-10-06",5.5
"231","2014-10-07",5.2
"232","2014-10-08",5
"233","2014-10-09",5.35
"234","2014-10-10",5.05
"235","2014-10-13",5.2
"236","2014-10-14",5.05
"237","2014-10-15",5.1
"238","2014-10-16",5.1
"239","2014-10-17",5.1
"240","2014-10-20",4.85
"241","2014-10-21",5.2
"242","2014-10-22",5.5
"243","2014-10-23",5.25
"244","2014-10-24",5.15
"245","2014-10-27",5.05
"246","2014-10-28",5.3
"247","2014-10-29",5.4
"248","2014-10-30",5.5
"249","2014-10-31",5.2
"250","2014-11-03",5.4
"251","2014-11-04",5.2
"252","2014-11-05",5.3
"253","2014-11-06",5.4
"254","2014-11-07",5.25
"255","2014-11-10",5.1
"256","2014-11-11",5.1
"257","2014-11-12",5.1
"258","2014-11-13",5.3
"259","2014-11-14",5.35
"260","2014-11-17",5.4
"261","2014-11-18",5.2
"262","2014-11-19",4.9
"263","2014-11-20",4.95
"264","2014-11-21",5
"265","2014-11-24",4.95
"266","2014-11-25",4.85
"267","2014-11-26",4.7
"268","2014-11-28",4.65
"269","2014-12-01",4.6
"270","2014-12-02",4.35
"271","2014-12-03",4.25
"272","2014-12-04",4.25
"273","2014-12-05",4.15
"274","2014-12-08",3.4
"275","2014-12-09",3.2
"276","2014-12-10",3.3
"277","2014-12-11",4
"278","2014-12-12",4
"279","2014-12-15",4.1
"280","2014-12-16",4.1
"281","2014-12-17",4.05
"282","2014-12-18",4.1
"283","2014-12-19",4.15
"284","2014-12-22",4.65
"285","2014-12-23",4.2
"286","2014-12-24",4.35
"287","2014-12-26",4.05
"288","2014-12-29",4.15
"289","2014-12-30",4.15
"290","2014-12-31",4
"291","2015-01-02",4
"292","2015-01-05",3.7
"293","2015-01-06",3.5
"294","2015-01-07",3.6
"295","2015-01-08",3.7
"296","2015-01-09",3.5
"297","2015-01-12",3.55
"298","2015-01-13",3.6
"299","2015-01-14",3.7
"300","2015-01-15",3.5
"301","2015-01-16",3.4
"302","2015-01-20",3.5
"303","2015-01-21",3.3
"304","2015-01-22",3.5
"305","2015-01-23",3.35
"306","2015-01-26",3.55
"307","2015-01-27",3.4
"308","2015-01-28",3.55
"309","2015-01-29",3.45
"310","2015-01-30",3.25
"311","2015-02-02",3.1
"312","2015-02-03",3.2
"313","2015-02-04",3.05
"314","2015-02-05",3.15
"315","2015-02-06",3.15
"316","2015-02-09",3.3
"317","2015-02-10",3.5
"318","2015-02-11",3.5
"319","2015-02-12",3.5
"320","2015-02-13",6
"321","2015-02-17",6.75
"322","2015-02-18",5
"323","2015-02-19",4.85
"324","2015-02-20",6
"325","2015-02-23",6.5
"326","2015-02-24",6.5
"327","2015-02-25",6.2
"328","2015-02-26",6.25
"329","2015-02-27",6.25
"330","2015-03-02",6.1
"331","2015-03-03",5.5
"332","2015-03-04",6
"333","2015-03-05",6
"334","2015-03-06",5.5
"335","2015-03-09",5.2
