"","date","RIOT"
"1","2016-03-31",2.7
"2","2016-04-01",2.63
"3","2016-04-04",NA
"4","2016-04-05",3.02
"5","2016-04-06",2.98
"6","2016-04-07",2.99
"7","2016-04-08",2.97
"8","2016-04-11",3.04
"9","2016-04-12",3.04
"10","2016-04-13",2.99
"11","2016-04-14",3.004
"12","2016-04-15",3.03
"13","2016-04-18",2.98
"14","2016-04-19",3.1
"15","2016-04-20",3.08
"16","2016-04-21",3.02
"17","2016-04-22",3.07
"18","2016-04-25",2.91
"19","2016-04-26",3.06
"20","2016-04-27",3.02
"21","2016-04-28",3
"22","2016-04-29",3.09
"23","2016-05-02",NA
"24","2016-05-03",2.95
"25","2016-05-04",2.89
"26","2016-05-05",2.88
"27","2016-05-06",2.81
"28","2016-05-09",2.83
"29","2016-05-10",3.107
"30","2016-05-11",3.12
"31","2016-05-12",3.01
"32","2016-05-13",3.2
"33","2016-05-16",3.59
"34","2016-05-17",4.43
"35","2016-05-18",3.63
"36","2016-05-19",3.97
"37","2016-05-20",3.66
"38","2016-05-23",3.54
"39","2016-05-24",3.4
"40","2016-05-25",3.47
"41","2016-05-26",3.44
"42","2016-05-27",3.38
"43","2016-05-31",3.34
"44","2016-06-01",3.42
"45","2016-06-02",3.69
"46","2016-06-03",3.581
"47","2016-06-06",3.74
"48","2016-06-07",3.61
"49","2016-06-08",3.71
"50","2016-06-09",3.64
"51","2016-06-10",3.5
"52","2016-06-13",3.31
"53","2016-06-14",3.3
"54","2016-06-15",3.38
"55","2016-06-16",3.26
"56","2016-06-17",3.51
"57","2016-06-20",3.59
"58","2016-06-21",3.61
"59","2016-06-22",3.52
"60","2016-06-23",3.6
"61","2016-06-24",3.48
"62","2016-06-27",3.21
"63","2016-06-28",3.22
"64","2016-06-29",3.42
"65","2016-06-30",3.51
"66","2016-07-01",3.49
"67","2016-07-05",3.49
"68","2016-07-06",3.44
"69","2016-07-07",3.482
"70","2016-07-08",3.49
"71","2016-07-11",3.45
"72","2016-07-12",3.39
"73","2016-07-13",3.639
"74","2016-07-14",3.43
"75","2016-07-15",3.64
"76","2016-07-18",3.536
"77","2016-07-19",3.46
"78","2016-07-20",3.46
"79","2016-07-21",3.55
"80","2016-07-22",3.59
"81","2016-07-25",3.55
"82","2016-07-26",3.41
"83","2016-07-27",3.45
"84","2016-07-28",3.32
"85","2016-07-29",3.37
"86","2016-08-01",3.345
"87","2016-08-02",3.29
"88","2016-08-03",3.2
"89","2016-08-04",3.19
"90","2016-08-05",3.157
"91","2016-08-08",3.18
"92","2016-08-09",3.16
"93","2016-08-10",3.22
"94","2016-08-11",3.29
"95","2016-08-12",3.16
"96","2016-08-15",3.2
"97","2016-08-16",3.27
"98","2016-08-17",3.19
"99","2016-08-18",3.11
"100","2016-08-19",3.12
"101","2016-08-22",3.1
"102","2016-08-23",3.39
"103","2016-08-24",3.35
"104","2016-08-25",3.31
"105","2016-08-26",3.27
"106","2016-08-29",3.58
"107","2016-08-30",3.64
"108","2016-08-31",3.64
"109","2016-09-01",3.86
"110","2016-09-02",3.76
"111","2016-09-06",3.829
"112","2016-09-07",3.8
"113","2016-09-08",3.98
"114","2016-09-09",3.94
"115","2016-09-12",4.11
"116","2016-09-13",4.36
"117","2016-09-14",3.73
"118","2016-09-15",4.19
"119","2016-09-16",4.48
"120","2016-09-19",4.54
"121","2016-09-20",3.7
"122","2016-09-21",3.78
"123","2016-09-22",3.67
"124","2016-09-23",3.57
"125","2016-09-26",3.22
"126","2016-09-27",3.17
"127","2016-09-28",3.07
"128","2016-09-29",2.94
"129","2016-09-30",3.03
"130","2016-10-03",2.79
"131","2016-10-04",2.73
"132","2016-10-05",2.74
"133","2016-10-06",2.67
"134","2016-10-07",2.65
"135","2016-10-10",2.57
"136","2016-10-11",2.4
"137","2016-10-12",2.31
"138","2016-10-13",2.32
"139","2016-10-14",2.4
"140","2016-10-17",2.5
"141","2016-10-18",2.72
"142","2016-10-19",2.76
"143","2016-10-20",NA
"144","2016-10-21",2.76
"145","2016-10-24",2.82
"146","2016-10-25",2.71
"147","2016-10-26",2.92
"148","2016-10-27",2.56
"149","2016-10-28",2.65
"150","2016-10-31",2.7
"151","2016-11-01",2.725
"152","2016-11-02",2.44
"153","2016-11-03",2.54
"154","2016-11-04",2.41
"155","2016-11-07",2.74
"156","2016-11-08",2.63
"157","2016-11-09",2.52
"158","2016-11-10",2.58
"159","2016-11-11",2.66
"160","2016-11-14",2.73
"161","2016-11-15",2.67
"162","2016-11-16",2.97
"163","2016-11-17",2.85
"164","2016-11-18",2.81
"165","2016-11-21",2.82
"166","2016-11-22",2.8
"167","2016-11-23",2.75
"168","2016-11-25",2.8
"169","2016-11-28",2.93
"170","2016-11-29",2.9
"171","2016-11-30",3
"172","2016-12-01",4.4
"173","2016-12-02",4.05
"174","2016-12-05",NA
"175","2016-12-06",4.24
"176","2016-12-07",4.23
"177","2016-12-08",3.95
"178","2016-12-09",3.94
"179","2016-12-12",4.19
"180","2016-12-13",3.53
"181","2016-12-14",3.895
"182","2016-12-15",3.63
"183","2016-12-16",3.76
"184","2016-12-19",3.64
"185","2016-12-20",3.65
"186","2016-12-21",3.8
"187","2016-12-22",3.6
"188","2016-12-23",3.53
"189","2016-12-27",3.5
"190","2016-12-28",3.48
"191","2016-12-29",3.56
"192","2016-12-30",3.84
"193","2017-01-03",3.82
"194","2017-01-04",4.38
"195","2017-01-05",4.14
"196","2017-01-06",4.2
"197","2017-01-09",3.76
"198","2017-01-10",3.63
"199","2017-01-11",3.69
"200","2017-01-12",3.65
"201","2017-01-13",3.66
"202","2017-01-17",3.53
"203","2017-01-18",3.48
"204","2017-01-19",3.42
"205","2017-01-20",3.43
"206","2017-01-23",3.367
"207","2017-01-24",3.1
"208","2017-01-25",3.22
"209","2017-01-26",3.1
"210","2017-01-27",3.11
"211","2017-01-30",3.118
"212","2017-01-31",3.15
"213","2017-02-01",3.25
"214","2017-02-02",3.138
"215","2017-02-03",3.13
"216","2017-02-06",3.23
"217","2017-02-07",3.4
"218","2017-02-08",3.185
"219","2017-02-09",3.4
"220","2017-02-10",3.38
"221","2017-02-13",3.25
"222","2017-02-14",3.21
"223","2017-02-15",3.32
"224","2017-02-16",3.22
"225","2017-02-17",3.28
"226","2017-02-21",3.2
"227","2017-02-22",3.15
"228","2017-02-23",3.18
"229","2017-02-24",3.15
"230","2017-02-27",3.24
"231","2017-02-28",3.08
"232","2017-03-01",3.14
"233","2017-03-02",3.12
"234","2017-03-03",3.13
"235","2017-03-06",3.13
"236","2017-03-07",3.12
