"","date","INBX"
"1","2020-08-19",20.629999
"2","2020-08-20",20.65
"3","2020-08-21",20.43
"4","2020-08-24",20.379999
"5","2020-08-25",19.450001
"6","2020-08-26",18.360001
"7","2020-08-27",17.209999
"8","2020-08-28",16.84
"9","2020-08-31",17.49
"10","2020-09-01",17.110001
"11","2020-09-02",16.77
"12","2020-09-03",18.389999
"13","2020-09-04",17.889999
"14","2020-09-08",19.700001
"15","2020-09-09",18.780001
"16","2020-09-10",17.040001
"17","2020-09-11",17.1
"18","2020-09-14",17.360001
"19","2020-09-15",17.290001
"20","2020-09-16",17.299999
"21","2020-09-17",18.43
"22","2020-09-18",17.23
"23","2020-09-21",17.49
"24","2020-09-22",17.309999
"25","2020-09-23",17.84
"26","2020-09-24",17.91
"27","2020-09-25",18.129999
"28","2020-09-28",17.35
"29","2020-09-29",17.77
"30","2020-09-30",18
"31","2020-10-01",17.73
"32","2020-10-02",17.440001
"33","2020-10-05",17.459999
"34","2020-10-06",17.450001
"35","2020-10-07",17
"36","2020-10-08",17.969999
"37","2020-10-09",18.139999
"38","2020-10-12",18.969999
"39","2020-10-13",18.9
"40","2020-10-14",18.030001
"41","2020-10-15",17.9
"42","2020-10-16",17.540001
"43","2020-10-19",17.35
"44","2020-10-20",18.459999
"45","2020-10-21",18.469999
"46","2020-10-22",18.889999
"47","2020-10-23",19.139999
"48","2020-10-26",20.290001
"49","2020-10-27",21.870001
"50","2020-10-28",19
"51","2020-10-29",17.1
"52","2020-10-30",17.040001
"53","2020-11-02",15.96
"54","2020-11-03",17.360001
"55","2020-11-04",19.49
"56","2020-11-05",19.559999
"57","2020-11-06",19.030001
"58","2020-11-09",18.959999
"59","2020-11-10",18.389999
"60","2020-11-11",19.200001
"61","2020-11-12",19.530001
"62","2020-11-13",20.049999
"63","2020-11-16",18.66
"64","2020-11-17",20.65
"65","2020-11-18",22.98
"66","2020-11-19",23.639999
"67","2020-11-20",25.1
"68","2020-11-23",26.16
"69","2020-11-24",24.34
"70","2020-11-25",26.27
"71","2020-11-27",28.799999
