"","date","ZTO"
"1","2016-10-27",16.57
"2","2016-10-28",16.99
"3","2016-10-31",16.93
"4","2016-11-01",16
"5","2016-11-02",16
"6","2016-11-03",15.99
"7","2016-11-04",15.2
"8","2016-11-07",15.43
"9","2016-11-08",15.44
"10","2016-11-09",14.32
"11","2016-11-10",14.5
"12","2016-11-11",14.58
"13","2016-11-14",14.29
"14","2016-11-15",14.48
"15","2016-11-16",14.61
"16","2016-11-17",15.26
"17","2016-11-18",16.299999
"18","2016-11-21",15.89
"19","2016-11-22",15.07
"20","2016-11-23",15.32
"21","2016-11-25",15.9
"22","2016-11-28",15.81
"23","2016-11-29",15.63
"24","2016-11-30",15.13
"25","2016-12-01",14.61
"26","2016-12-02",13.83
"27","2016-12-05",13.48
"28","2016-12-06",13.58
"29","2016-12-07",13.56
"30","2016-12-08",14.46
"31","2016-12-09",14.13
"32","2016-12-12",13.36
"33","2016-12-13",12.83
"34","2016-12-14",13.17
"35","2016-12-15",12.91
"36","2016-12-16",12.64
"37","2016-12-19",12.67
"38","2016-12-20",13.09
"39","2016-12-21",13.16
"40","2016-12-22",12.91
"41","2016-12-23",12.57
"42","2016-12-27",12.59
"43","2016-12-28",12.31
"44","2016-12-29",12.44
"45","2016-12-30",12.07
"46","2017-01-03",12.19
"47","2017-01-04",12.27
"48","2017-01-05",12.97
"49","2017-01-06",13.34
"50","2017-01-09",13
"51","2017-01-10",13.53
"52","2017-01-11",13.65
"53","2017-01-12",13.26
"54","2017-01-13",12.84
"55","2017-01-17",12.92
"56","2017-01-18",13.21
"57","2017-01-19",13.57
"58","2017-01-20",13.6
"59","2017-01-23",13.46
"60","2017-01-24",13.29
"61","2017-01-25",12.89
"62","2017-01-26",12.31
"63","2017-01-27",12.42
"64","2017-01-30",12.34
"65","2017-01-31",12.47
"66","2017-02-01",12.77
"67","2017-02-02",12.53
"68","2017-02-03",12.24
"69","2017-02-06",12.39
"70","2017-02-07",12.64
"71","2017-02-08",12.58
"72","2017-02-09",12.26
"73","2017-02-10",12.41
"74","2017-02-13",13.04
"75","2017-02-14",13.08
"76","2017-02-15",14.27
"77","2017-02-16",13.99
"78","2017-02-17",14.01
"79","2017-02-21",14.23
"80","2017-02-22",14.42
"81","2017-02-23",14.11
"82","2017-02-24",14.15
"83","2017-02-27",14.57
"84","2017-02-28",12.89
"85","2017-03-01",13.1
"86","2017-03-02",13
"87","2017-03-03",13.02
"88","2017-03-06",12.96
"89","2017-03-07",12.29
"90","2017-03-08",12.19
"91","2017-03-09",11.57
"92","2017-03-10",11.23
"93","2017-03-13",11.96
"94","2017-03-14",12.45
"95","2017-03-15",13.1
"96","2017-03-16",12.88
"97","2017-03-17",12.69
"98","2017-03-20",12.79
"99","2017-03-21",12.5
"100","2017-03-22",12.5
"101","2017-03-23",12.45
"102","2017-03-24",12.67
"103","2017-03-27",12.63
"104","2017-03-28",12.88
"105","2017-03-29",13.27
"106","2017-03-30",13.01
"107","2017-03-31",13.09
"108","2017-04-03",12.3
"109","2017-04-04",12.41
"110","2017-04-05",12.4
"111","2017-04-06",12.06
"112","2017-04-07",11.97
"113","2017-04-10",12.39
"114","2017-04-11",12.63
"115","2017-04-12",12.56
"116","2017-04-13",12.63
"117","2017-04-17",13.02
"118","2017-04-18",12.65
"119","2017-04-19",12.76
"120","2017-04-20",12.82
"121","2017-04-21",13.01
"122","2017-04-24",13.08
"123","2017-04-25",13.23
"124","2017-04-26",13.41
"125","2017-04-27",13.59
"126","2017-04-28",13.93
"127","2017-05-01",13.5
"128","2017-05-02",14.01
"129","2017-05-03",13.7
"130","2017-05-04",13.84
"131","2017-05-05",13.82
"132","2017-05-08",14.11
"133","2017-05-09",14.55
"134","2017-05-10",14.03
"135","2017-05-11",14.08
"136","2017-05-12",14.6
"137","2017-05-15",14.35
"138","2017-05-16",14.27
"139","2017-05-17",14.05
"140","2017-05-18",13.3
"141","2017-05-19",14
"142","2017-05-22",14.49
"143","2017-05-23",14.44
"144","2017-05-24",14.5
"145","2017-05-25",14.26
"146","2017-05-26",14.33
"147","2017-05-30",14.14
"148","2017-05-31",14.29
"149","2017-06-01",14.69
"150","2017-06-02",14.59
"151","2017-06-05",14.65
"152","2017-06-06",14.6
"153","2017-06-07",14.76
"154","2017-06-08",14.47
"155","2017-06-09",14.53
"156","2017-06-12",14.65
"157","2017-06-13",14.89
"158","2017-06-14",14.79
"159","2017-06-15",14.21
"160","2017-06-16",14.32
"161","2017-06-19",14.3
"162","2017-06-20",14.16
"163","2017-06-21",14
"164","2017-06-22",14.26
"165","2017-06-23",14.34
"166","2017-06-26",14.44
"167","2017-06-27",13.93
"168","2017-06-28",14.01
"169","2017-06-29",14.03
"170","2017-06-30",13.96
"171","2017-07-03",14.16
"172","2017-07-05",14.67
"173","2017-07-06",14.69
"174","2017-07-07",14.45
"175","2017-07-10",14.78
"176","2017-07-11",15.01
"177","2017-07-12",15.3
"178","2017-07-13",15.64
"179","2017-07-14",15.94
"180","2017-07-17",15.05
"181","2017-07-18",15.26
"182","2017-07-19",15.56
"183","2017-07-20",15.68
"184","2017-07-21",15.04
"185","2017-07-24",15.24
"186","2017-07-25",15.11
"187","2017-07-26",15.25
"188","2017-07-27",14.95
"189","2017-07-28",14.71
"190","2017-07-31",14.98
"191","2017-08-01",14.6
"192","2017-08-02",14.25
"193","2017-08-03",14.42
"194","2017-08-04",14.59
"195","2017-08-07",15.03
"196","2017-08-08",14.92
"197","2017-08-09",14.32
"198","2017-08-10",14.07
"199","2017-08-11",13.25
"200","2017-08-14",13.67
"201","2017-08-15",13.62
"202","2017-08-16",13.45
"203","2017-08-17",13.36
"204","2017-08-18",13.73
"205","2017-08-21",13.9
"206","2017-08-22",14.01
"207","2017-08-23",13.14
"208","2017-08-24",13.57
"209","2017-08-25",13.49
"210","2017-08-28",13.29
"211","2017-08-29",13.43
"212","2017-08-30",13.61
"213","2017-08-31",13.65
"214","2017-09-01",13.8
"215","2017-09-05",13.54
"216","2017-09-06",13.9
"217","2017-09-07",13.91
"218","2017-09-08",13.9
"219","2017-09-11",14.29
"220","2017-09-12",14.29
"221","2017-09-13",14.21
"222","2017-09-14",14.93
"223","2017-09-15",15.07
"224","2017-09-18",14.89
"225","2017-09-19",15.17
"226","2017-09-20",14.99
"227","2017-09-21",14.96
"228","2017-09-22",14.84
"229","2017-09-25",14.64
"230","2017-09-26",14.24
"231","2017-09-27",14.29
"232","2017-09-28",14.01
"233","2017-09-29",14.04
"234","2017-10-02",14.29
"235","2017-10-03",13.81
"236","2017-10-04",13.48
"237","2017-10-05",13.84
"238","2017-10-06",13.61
"239","2017-10-09",13.58
"240","2017-10-10",14.34
"241","2017-10-11",15.08
"242","2017-10-12",15.56
"243","2017-10-13",15.63
"244","2017-10-16",15.29
"245","2017-10-17",14.96
"246","2017-10-18",15.41
"247","2017-10-19",15.33
"248","2017-10-20",15.6
"249","2017-10-23",15.38
"250","2017-10-24",15.57
"251","2017-10-25",15.63
"252","2017-10-26",15.54
"253","2017-10-27",15.73
"254","2017-10-30",15.93
"255","2017-10-31",15.99
"256","2017-11-01",16.92
