"","date","ACST"
"1","2012-02-07",12.1
"2","2012-02-08",12.1
"3","2012-02-09",12.1
"4","2012-02-10",12.1
"5","2012-02-13",12.1
"6","2012-02-14",16.5
"7","2012-02-15",16.5
"8","2012-02-16",16.5
"9","2012-02-17",16.5
"10","2012-02-21",16.5
"11","2012-02-22",16.5
"12","2012-02-23",16.5
"13","2012-02-24",16.5
"14","2012-02-27",16.5
"15","2012-02-28",16.5
"16","2012-02-29",16.5
"17","2012-03-01",16.5
"18","2012-03-02",16.5
"19","2012-03-05",16.5
"20","2012-03-06",16.5
"21","2012-03-07",16.5
"22","2012-03-08",16.5
"23","2012-03-09",16.5
"24","2012-03-12",16.5
"25","2012-03-13",16.5
"26","2012-03-14",16.5
"27","2012-03-15",16.5
"28","2012-03-16",16.5
"29","2012-03-19",21.799999
"30","2012-03-20",21.799999
"31","2012-03-21",21.799999
"32","2012-03-22",21
"33","2012-03-23",21
"34","2012-03-26",21
"35","2012-03-27",21
"36","2012-03-28",21
"37","2012-03-29",21
"38","2012-03-30",21
"39","2012-04-02",21
"40","2012-04-03",21
"41","2012-04-04",21
"42","2012-04-05",21.1
"43","2012-04-09",21.1
"44","2012-04-10",21.1
"45","2012-04-11",21.1
"46","2012-04-12",21.1
"47","2012-04-13",21.6
"48","2012-04-16",21.6
"49","2012-04-17",21.6
"50","2012-04-18",21.6
"51","2012-04-19",21.6
"52","2012-04-20",21.6
"53","2012-04-23",21.6
"54","2012-04-24",21.6
"55","2012-04-25",21.6
"56","2012-04-26",22.5
"57","2012-04-27",22.799999
"58","2012-04-30",22.799999
"59","2012-05-01",22.799999
"60","2012-05-02",24
"61","2012-05-03",24
"62","2012-05-04",24
"63","2012-05-07",24
"64","2012-05-08",24
"65","2012-05-09",24
"66","2012-05-10",24
"67","2012-05-11",24
"68","2012-05-14",24
"69","2012-05-15",24
"70","2012-05-16",24
"71","2012-05-17",24
"72","2012-05-18",21.200001
"73","2012-05-21",21.200001
"74","2012-05-22",21.200001
"75","2012-05-23",21.200001
"76","2012-05-24",22.9
"77","2012-05-25",22.9
"78","2012-05-29",23.5
"79","2012-05-30",23.5
"80","2012-05-31",23.5
"81","2012-06-01",20.4
"82","2012-06-04",20.4
"83","2012-06-05",20.4
"84","2012-06-06",20
"85","2012-06-07",20
"86","2012-06-08",20
"87","2012-06-11",20.5
"88","2012-06-12",20.5
"89","2012-06-13",20.5
"90","2012-06-14",20.5
"91","2012-06-15",20.5
"92","2012-06-18",20.5
"93","2012-06-19",20.5
"94","2012-06-20",20.5
"95","2012-06-21",20.5
"96","2012-06-22",20.5
"97","2012-06-25",20.5
"98","2012-06-26",20.5
"99","2012-06-27",20.5
"100","2012-06-28",20.5
"101","2012-06-29",20.5
"102","2012-07-02",20.5
"103","2012-07-03",20.5
"104","2012-07-05",20.5
"105","2012-07-06",20.5
"106","2012-07-09",20.6
"107","2012-07-10",20.9
"108","2012-07-11",20.9
"109","2012-07-12",20.9
"110","2012-07-13",20.9
"111","2012-07-16",20.9
"112","2012-07-17",20.9
"113","2012-07-18",20.9
"114","2012-07-19",20.9
"115","2012-07-20",20.9
"116","2012-07-23",20.299999
"117","2012-07-24",20.299999
"118","2012-07-25",20.700001
"119","2012-07-26",20.700001
"120","2012-07-27",21.6
"121","2012-07-30",21.6
"122","2012-07-31",23
"123","2012-08-01",22.700001
"124","2012-08-02",22
"125","2012-08-03",22
"126","2012-08-06",22
"127","2012-08-07",22
"128","2012-08-08",22
"129","2012-08-09",22
"130","2012-08-10",21.5
"131","2012-08-13",21.5
"132","2012-08-14",21.5
"133","2012-08-15",21.5
"134","2012-08-16",21.5
"135","2012-08-17",21
"136","2012-08-20",21
"137","2012-08-21",21.6
"138","2012-08-22",21.6
"139","2012-08-23",21.6
"140","2012-08-24",21.6
"141","2012-08-27",21.6
"142","2012-08-28",22.4
"143","2012-08-29",22.4
"144","2012-08-30",22.5
"145","2012-08-31",20.700001
"146","2012-09-04",21.6
"147","2012-09-05",21.6
"148","2012-09-06",22.4
"149","2012-09-07",22.4
"150","2012-09-10",22.4
"151","2012-09-11",21.200001
"152","2012-09-12",21.200001
"153","2012-09-13",21.200001
"154","2012-09-14",21.4
"155","2012-09-17",21.4
"156","2012-09-18",21.4
"157","2012-09-19",21.4
"158","2012-09-20",21.4
"159","2012-09-21",20.9
"160","2012-09-24",20.9
"161","2012-09-25",20.9
