"","date","TJX"
"1","2007-01-03",7.1675
"2","2007-01-04",7.43
"3","2007-01-05",7.27
"4","2007-01-08",7.2225
"5","2007-01-09",7.3175
"6","2007-01-10",7.3725
"7","2007-01-11",7.485
"8","2007-01-12",7.485
"9","2007-01-16",7.4625
"10","2007-01-17",7.4075
"11","2007-01-18",7.375
"12","2007-01-19",7.5075
"13","2007-01-22",7.4875
"14","2007-01-23",7.46
"15","2007-01-24",7.51
"16","2007-01-25",7.4475
"17","2007-01-26",7.375
"18","2007-01-29",7.3475
"19","2007-01-30",7.3675
"20","2007-01-31",7.3925
"21","2007-02-01",7.1225
"22","2007-02-02",7.1725
"23","2007-02-05",7.0275
"24","2007-02-06",7.0875
"25","2007-02-07",7.045
"26","2007-02-08",7.15
"27","2007-02-09",7.0225
"28","2007-02-12",7.0125
"29","2007-02-13",7.025
"30","2007-02-14",7.155
"31","2007-02-15",7.18
"32","2007-02-16",7.1175
"33","2007-02-20",7.155
"34","2007-02-21",7.045
"35","2007-02-22",7.16
"36","2007-02-23",7.1175
"37","2007-02-26",7.0625
"38","2007-02-27",6.885
"39","2007-02-28",6.875
"40","2007-03-01",6.88
"41","2007-03-02",6.825
"42","2007-03-05",6.7175
"43","2007-03-06",6.675
"44","2007-03-07",6.7375
"45","2007-03-08",6.825
"46","2007-03-09",6.7625
"47","2007-03-12",6.7075
"48","2007-03-13",6.5175
"49","2007-03-14",6.5
"50","2007-03-15",6.535
"51","2007-03-16",6.525
"52","2007-03-19",6.5575
"53","2007-03-20",6.615
"54","2007-03-21",6.67
"55","2007-03-22",6.715
"56","2007-03-23",6.75
"57","2007-03-26",6.7775
"58","2007-03-27",6.6925
"59","2007-03-28",6.625
"60","2007-03-29",6.7125
"61","2007-03-30",6.74
"62","2007-04-02",6.77
"63","2007-04-03",6.9025
"64","2007-04-04",6.915
"65","2007-04-05",6.9725
"66","2007-04-09",7.0175
"67","2007-04-10",6.9825
"68","2007-04-11",6.955
"69","2007-04-12",6.97
"70","2007-04-13",6.98
"71","2007-04-16",7.0875
"72","2007-04-17",7.0775
"73","2007-04-18",7.0975
"74","2007-04-19",7.155
"75","2007-04-20",7.255
"76","2007-04-23",7.145
"77","2007-04-24",7.0875
"78","2007-04-25",7.08
"79","2007-04-26",7.0425
"80","2007-04-27",7.0925
"81","2007-04-30",6.9725
"82","2007-05-01",7.04
"83","2007-05-02",7.095
"84","2007-05-03",7.0225
"85","2007-05-04",7.01
"86","2007-05-07",7.0575
"87","2007-05-08",6.9175
"88","2007-05-09",7.035
"89","2007-05-10",7.1425
"90","2007-05-11",7.045
"91","2007-05-14",7.0925
"92","2007-05-15",6.9375
"93","2007-05-16",6.905
"94","2007-05-17",6.8825
"95","2007-05-18",7.0825
"96","2007-05-21",7.07
"97","2007-05-22",6.9925
"98","2007-05-23",7.0375
"99","2007-05-24",6.9225
"100","2007-05-25",6.875
"101","2007-05-29",6.8625
"102","2007-05-30",6.9325
"103","2007-05-31",6.9925
"104","2007-06-01",7.03
"105","2007-06-04",7.1675
"106","2007-06-05",7.11
"107","2007-06-06",7.1275
"108","2007-06-07",6.935
"109","2007-06-08",7.055
"110","2007-06-11",6.995
"111","2007-06-12",6.9325
"112","2007-06-13",7.115
"113","2007-06-14",7.17
"114","2007-06-15",7.1675
"115","2007-06-18",7.09
"116","2007-06-19",7.045
"117","2007-06-20",6.895
"118","2007-06-21",6.9
"119","2007-06-22",6.835
"120","2007-06-25",6.725
"121","2007-06-26",6.6975
"122","2007-06-27",6.805
"123","2007-06-28",6.865
"124","2007-06-29",6.875
"125","2007-07-02",6.88
"126","2007-07-03",6.895
"127","2007-07-05",7.005
"128","2007-07-06",7.045
"129","2007-07-09",7.305
"130","2007-07-10",7.015
"131","2007-07-11",6.9975
"132","2007-07-12",7.155
"133","2007-07-13",7.4
"134","2007-07-16",7.3475
"135","2007-07-17",7.405
"136","2007-07-18",7.37
"137","2007-07-19",7.3925
"138","2007-07-20",7.365
"139","2007-07-23",7.325
"140","2007-07-24",7.185
"141","2007-07-25",7.11
"142","2007-07-26",6.8975
"143","2007-07-27",6.8275
"144","2007-07-30",7.0675
"145","2007-07-31",6.9375
"146","2007-08-01",7.005
"147","2007-08-02",7.0325
"148","2007-08-03",6.825
"149","2007-08-06",7.07
"150","2007-08-07",7.14
"151","2007-08-08",7.135
"152","2007-08-09",6.75
"153","2007-08-10",6.88
"154","2007-08-13",6.915
"155","2007-08-14",6.895
"156","2007-08-15",7.12
"157","2007-08-16",7.3225
"158","2007-08-17",7.5
"159","2007-08-20",7.4125
"160","2007-08-21",7.41
"161","2007-08-22",7.4625
"162","2007-08-23",7.4725
"163","2007-08-24",7.6875
"164","2007-08-27",7.685
"165","2007-08-28",7.36
"166","2007-08-29",7.5575
"167","2007-08-30",7.4675
"168","2007-08-31",7.6225
"169","2007-09-04",7.575
"170","2007-09-05",7.3725
"171","2007-09-06",7.595
"172","2007-09-07",7.3725
"173","2007-09-10",7.3075
"174","2007-09-11",7.5125
"175","2007-09-12",7.5
"176","2007-09-13",7.675
"177","2007-09-14",7.71
"178","2007-09-17",7.625
"179","2007-09-18",7.8025
"180","2007-09-19",7.9675
"181","2007-09-20",7.6075
"182","2007-09-21",7.5225
"183","2007-09-24",7.5725
"184","2007-09-25",7.6375
"185","2007-09-26",7.3825
"186","2007-09-27",7.275
"187","2007-09-28",7.2675
"188","2007-10-01",7.3
"189","2007-10-02",7.275
"190","2007-10-03",7.3225
"191","2007-10-04",7.165
"192","2007-10-05",7.26
"193","2007-10-08",7.41
"194","2007-10-09",7.415
"195","2007-10-10",7.4175
"196","2007-10-11",7.7075
"197","2007-10-12",7.645
"198","2007-10-15",7.49
"199","2007-10-16",7.4525
"200","2007-10-17",7.3675
"201","2007-10-18",7.225
"202","2007-10-19",7.0875
"203","2007-10-22",7.2725
"204","2007-10-23",7.33
"205","2007-10-24",7.2725
"206","2007-10-25",7.1425
"207","2007-10-26",7.1825
"208","2007-10-29",7.1025
"209","2007-10-30",7.12
"210","2007-10-31",7.2325
"211","2007-11-01",6.96
