"","date","HTBI"
"1","2012-07-11",11.7
"2","2012-07-12",11.93
"3","2012-07-13",12
"4","2012-07-16",11.93
"5","2012-07-17",12
"6","2012-07-18",12.01
"7","2012-07-19",12
"8","2012-07-20",12.04
"9","2012-07-23",12.24
"10","2012-07-24",12.24
"11","2012-07-25",12.41
"12","2012-07-26",12.5
"13","2012-07-27",12.46
"14","2012-07-30",12.34
"15","2012-07-31",12.42
"16","2012-08-01",12.45
"17","2012-08-02",12.48
"18","2012-08-03",12.47
"19","2012-08-06",12.37
"20","2012-08-07",12.43
"21","2012-08-08",12.42
"22","2012-08-09",12.41
"23","2012-08-10",12.45
"24","2012-08-13",12.31
"25","2012-08-14",12.35
"26","2012-08-15",12.36
"27","2012-08-16",12.4
"28","2012-08-17",12.46
"29","2012-08-20",12.43
"30","2012-08-21",12.46
"31","2012-08-22",12.5
"32","2012-08-23",12.5
"33","2012-08-24",12.51
"34","2012-08-27",12.55
"35","2012-08-28",12.72
"36","2012-08-29",12.61
"37","2012-08-30",12.65
"38","2012-08-31",12.58
"39","2012-09-04",12.69
"40","2012-09-05",12.73
"41","2012-09-06",12.77
"42","2012-09-07",12.71
"43","2012-09-10",12.69
"44","2012-09-11",12.63
"45","2012-09-12",12.59
"46","2012-09-13",12.7
"47","2012-09-14",12.69
"48","2012-09-17",12.62
"49","2012-09-18",12.8
"50","2012-09-19",12.85
"51","2012-09-20",12.88
"52","2012-09-21",12.97
"53","2012-09-24",12.93
"54","2012-09-25",13.07
"55","2012-09-26",13.19
"56","2012-09-27",12.99
"57","2012-09-28",13.25
"58","2012-10-01",13.2
"59","2012-10-02",13.24
"60","2012-10-03",13.18
"61","2012-10-04",13.35
"62","2012-10-05",13.64
"63","2012-10-08",13.65
"64","2012-10-09",13.63
"65","2012-10-10",13.6
"66","2012-10-11",13.63
"67","2012-10-12",13.47
"68","2012-10-15",13.49
"69","2012-10-16",13.62
"70","2012-10-17",13.5
"71","2012-10-18",13.46
"72","2012-10-19",13.25
"73","2012-10-22",13.46
"74","2012-10-23",13.51
"75","2012-10-24",13.37
"76","2012-10-25",13.41
"77","2012-10-26",13.44
"78","2012-10-31",13.65
"79","2012-11-01",13.62
"80","2012-11-02",13.36
"81","2012-11-05",13.53
"82","2012-11-06",13.51
"83","2012-11-07",13.14
"84","2012-11-08",12.69
"85","2012-11-09",12.76
"86","2012-11-12",12.98
"87","2012-11-13",12.98
"88","2012-11-14",12.85
"89","2012-11-15",12.77
"90","2012-11-16",12.84
"91","2012-11-19",12.93
"92","2012-11-20",12.91
"93","2012-11-21",12.93
"94","2012-11-23",13.03
"95","2012-11-26",13.05
"96","2012-11-27",13.07
"97","2012-11-28",13.16
"98","2012-11-29",13.15
"99","2012-11-30",12.84
"100","2012-12-03",13.22
"101","2012-12-04",13.16
"102","2012-12-05",13.13
"103","2012-12-06",13.08
"104","2012-12-07",13.04
"105","2012-12-10",12.98
"106","2012-12-11",13.02
"107","2012-12-12",13.09
"108","2012-12-13",12.99
"109","2012-12-14",13.06
"110","2012-12-17",13.1
"111","2012-12-18",13.2
"112","2012-12-19",13.2
