"","date","ATOM"
"1","2016-08-08",8
"2","2016-08-09",7.89
"3","2016-08-10",7.99
"4","2016-08-11",7.86
"5","2016-08-12",7.81
"6","2016-08-15",7.95
"7","2016-08-16",8.1
"8","2016-08-17",8.05
"9","2016-08-18",8.05
"10","2016-08-19",8.03
"11","2016-08-22",8.1
"12","2016-08-23",8.05
"13","2016-08-24",8.04
"14","2016-08-25",8.05
"15","2016-08-26",8.04
"16","2016-08-29",8.26
"17","2016-08-30",9.65
"18","2016-08-31",9.34
"19","2016-09-01",9.24
"20","2016-09-02",9.25
"21","2016-09-06",9.1
"22","2016-09-07",9.7
"23","2016-09-08",9.6
"24","2016-09-09",9.16
"25","2016-09-12",9.09
"26","2016-09-13",9
"27","2016-09-14",9.02
"28","2016-09-15",8.58
"29","2016-09-16",8.11
"30","2016-09-19",8.34
"31","2016-09-20",8.74
"32","2016-09-21",8.8
"33","2016-09-22",8.17
"34","2016-09-23",8.27
"35","2016-09-26",8.05
"36","2016-09-27",8.06
"37","2016-09-28",8.04
"38","2016-09-29",8.21
"39","2016-09-30",7.8
"40","2016-10-03",7.97
"41","2016-10-04",7.85
"42","2016-10-05",7.8
"43","2016-10-06",7.75
"44","2016-10-07",7.5
"45","2016-10-10",7.689
"46","2016-10-11",7.25
"47","2016-10-12",7.65
"48","2016-10-13",7.35
"49","2016-10-14",7.51
"50","2016-10-17",7.465
"51","2016-10-18",7.54
"52","2016-10-19",7.69
"53","2016-10-20",7.96
"54","2016-10-21",7.88
"55","2016-10-24",7.94
"56","2016-10-25",8
"57","2016-10-26",7.62
"58","2016-10-27",7.67
"59","2016-10-28",7.66
"60","2016-10-31",7.42
"61","2016-11-01",7
"62","2016-11-02",7.01
"63","2016-11-03",7.05
"64","2016-11-04",6.9
"65","2016-11-07",6.9
"66","2016-11-08",6.76
"67","2016-11-09",6.75
"68","2016-11-10",6.8
"69","2016-11-11",6.65
"70","2016-11-14",6.657
"71","2016-11-15",6.69
"72","2016-11-16",6.95
"73","2016-11-17",7.2
"74","2016-11-18",7.2
"75","2016-11-21",6.61
"76","2016-11-22",6.98
"77","2016-11-23",6.85
"78","2016-11-25",7.05
"79","2016-11-28",6.6
"80","2016-11-29",6.98
"81","2016-11-30",6.75
"82","2016-12-01",6.52
"83","2016-12-02",6.88
"84","2016-12-05",6.5
"85","2016-12-06",6.512
"86","2016-12-07",6.824
"87","2016-12-08",6.797
"88","2016-12-09",7
"89","2016-12-12",7.01
"90","2016-12-13",7.05
"91","2016-12-14",6.9
"92","2016-12-15",7
"93","2016-12-16",6.8
"94","2016-12-19",6.8
"95","2016-12-20",6.46
"96","2016-12-21",6
"97","2016-12-22",6.1
"98","2016-12-23",6
"99","2016-12-27",6.253
"100","2016-12-28",6.29
"101","2016-12-29",6.52
"102","2016-12-30",6.75
"103","2017-01-03",6.58
"104","2017-01-04",6.575
"105","2017-01-05",6.21
"106","2017-01-06",6.22
"107","2017-01-09",6.03
"108","2017-01-10",6.15
"109","2017-01-11",6
"110","2017-01-12",6.04
"111","2017-01-13",6
"112","2017-01-17",5.87
"113","2017-01-18",6.04
"114","2017-01-19",6.03
"115","2017-01-20",6.22
"116","2017-01-23",6.04
"117","2017-01-24",5.88
"118","2017-01-25",5.75
"119","2017-01-26",5.92
"120","2017-01-27",5.71
