"","date","SLDB"
"1","2018-01-26",22.620001
"2","2018-01-29",23.700001
"3","2018-01-30",22.5
"4","2018-01-31",25.620001
"5","2018-02-01",27.309999
"6","2018-02-02",29
"7","2018-02-05",26.450001
"8","2018-02-06",26.5
"9","2018-02-07",26.139999
"10","2018-02-08",26.35
"11","2018-02-09",25.66
"12","2018-02-12",26.01
"13","2018-02-13",26
"14","2018-02-14",26.23
"15","2018-02-15",26.27
"16","2018-02-16",24.93
"17","2018-02-20",23.860001
"18","2018-02-21",26.120001
"19","2018-02-22",27.5
"20","2018-02-23",29.559999
"21","2018-02-26",29.959999
"22","2018-02-27",29.57
"23","2018-02-28",29
"24","2018-03-01",30.4
"25","2018-03-02",33.169998
"26","2018-03-05",31.24
"27","2018-03-06",30.549999
"28","2018-03-07",29.01
"29","2018-03-08",27.58
"30","2018-03-09",28.190001
"31","2018-03-12",27.41
"32","2018-03-13",26.440001
"33","2018-03-14",26.309999
"34","2018-03-15",9.32
"35","2018-03-16",9.57
"36","2018-03-19",9.17
"37","2018-03-20",8.39
"38","2018-03-21",8.49
"39","2018-03-22",8.26
"40","2018-03-23",8.96
"41","2018-03-26",8.5
"42","2018-03-27",8.04
"43","2018-03-28",7.19
"44","2018-03-29",7.5
"45","2018-04-02",7.33
"46","2018-04-03",8.1
"47","2018-04-04",9
"48","2018-04-05",9.58
"49","2018-04-06",9.54
"50","2018-04-09",9.85
"51","2018-04-10",9.97
"52","2018-04-11",10.05
"53","2018-04-12",10.07
"54","2018-04-13",10.2
"55","2018-04-16",10.31
"56","2018-04-17",10.56
"57","2018-04-18",10.74
"58","2018-04-19",10.85
"59","2018-04-20",12.48
"60","2018-04-23",12.8
"61","2018-04-24",12.98
"62","2018-04-25",13.91
"63","2018-04-26",13.42
"64","2018-04-27",13.39
"65","2018-04-30",14.32
"66","2018-05-01",14.66
"67","2018-05-02",15.49
"68","2018-05-03",16.1
"69","2018-05-04",18.870001
"70","2018-05-07",17.799999
"71","2018-05-08",17.23
"72","2018-05-09",20.120001
"73","2018-05-10",22.43
"74","2018-05-11",22.459999
"75","2018-05-14",21.639999
"76","2018-05-15",23.17
"77","2018-05-16",23.5
"78","2018-05-17",22.709999
"79","2018-05-18",21.889999
"80","2018-05-21",20.5
"81","2018-05-22",20.6
"82","2018-05-23",19.629999
"83","2018-05-24",19.18
"84","2018-05-25",18.950001
"85","2018-05-29",20.370001
"86","2018-05-30",21.65
"87","2018-05-31",21.58
"88","2018-06-01",21.700001
"89","2018-06-04",22.780001
"90","2018-06-05",23.58
"91","2018-06-06",23.6
"92","2018-06-07",23.700001
"93","2018-06-08",24.059999
"94","2018-06-11",24.450001
"95","2018-06-12",24.08
"96","2018-06-13",23.049999
"97","2018-06-14",24.690001
"98","2018-06-15",26.5
"99","2018-06-18",29.379999
"100","2018-06-19",43
"101","2018-06-20",35.669998
"102","2018-06-21",42.34
"103","2018-06-22",42.07
"104","2018-06-25",43.150002
"105","2018-06-26",38.23
"106","2018-06-27",36.439999
"107","2018-06-28",34.75
