"","date","AUPH"
"1","2014-09-03",4
"2","2014-09-04",3.73
"3","2014-09-05",3.73
"4","2014-09-08",3.73
"5","2014-09-09",3.73
"6","2014-09-10",3.84
"7","2014-09-11",3.55
"8","2014-09-12",3.6
"9","2014-09-15",3.6
"10","2014-09-16",3.5
"11","2014-09-17",3.4
"12","2014-09-18",3.4
"13","2014-09-19",3.5
"14","2014-09-22",3.5
"15","2014-09-23",3.45
"16","2014-09-24",3.45
"17","2014-09-25",3.3
"18","2014-09-26",3.4
"19","2014-09-29",3.4
"20","2014-09-30",3.2
"21","2014-10-01",3.2
"22","2014-10-02",3.2
"23","2014-10-03",3.33
"24","2014-10-06",3.33
"25","2014-10-07",3.11
"26","2014-10-08",3.11
"27","2014-10-09",3.11
"28","2014-10-10",3.11
"29","2014-10-13",3.11
"30","2014-10-14",2.89
"31","2014-10-15",2.94
"32","2014-10-16",3.52
"33","2014-10-17",3.34
"34","2014-10-20",3.34
"35","2014-10-21",3.05
"36","2014-10-22",3.1
"37","2014-10-23",3.07
"38","2014-10-24",2.92
"39","2014-10-27",3.4
"40","2014-10-28",3.5
"41","2014-10-29",4
"42","2014-10-30",3.625
"43","2014-10-31",3.6
"44","2014-11-03",3.79
"45","2014-11-04",3.6
"46","2014-11-05",3.8
"47","2014-11-06",3.67
"48","2014-11-07",3.67
"49","2014-11-10",3.5
"50","2014-11-11",3.6
"51","2014-11-12",3.5
"52","2014-11-13",3.51
"53","2014-11-14",3.47
"54","2014-11-17",3.5
"55","2014-11-18",3.3
"56","2014-11-19",3.3
"57","2014-11-20",3.35
"58","2014-11-21",3.435
"59","2014-11-24",3.48
"60","2014-11-25",3.81
"61","2014-11-26",3.89
"62","2014-11-28",4.05
"63","2014-12-01",3.87
"64","2014-12-02",3.9
"65","2014-12-03",3.9
"66","2014-12-04",3.85
"67","2014-12-05",3.82
"68","2014-12-08",3.77
"69","2014-12-09",3.73
"70","2014-12-10",3.8
"71","2014-12-11",3.72
"72","2014-12-12",3.74
"73","2014-12-15",3.73
"74","2014-12-16",3.73
"75","2014-12-17",3.65
"76","2014-12-18",3.51
"77","2014-12-19",3.59
"78","2014-12-22",3.73
"79","2014-12-23",3.66
"80","2014-12-24",3.74
"81","2014-12-26",3.65
"82","2014-12-29",3.76
"83","2014-12-30",3.56
"84","2014-12-31",3.64
"85","2015-01-02",3.734
"86","2015-01-05",3.668
"87","2015-01-06",3.51
"88","2015-01-07",3.5
"89","2015-01-08",3.716
"90","2015-01-09",3.621
"91","2015-01-12",3.63
"92","2015-01-13",3.756
"93","2015-01-14",3.61
"94","2015-01-15",3.615
"95","2015-01-16",3.69
"96","2015-01-20",3.59
"97","2015-01-21",3.46
"98","2015-01-22",3.56
"99","2015-01-23",3.54
"100","2015-01-26",3.55
"101","2015-01-27",3.61
"102","2015-01-28",3.39
"103","2015-01-29",3.42
"104","2015-01-30",3.35
"105","2015-02-02",3.459
"106","2015-02-03",3.39
"107","2015-02-04",3.35
"108","2015-02-05",3.5
"109","2015-02-06",3.5
"110","2015-02-09",3.44
"111","2015-02-10",3.46
"112","2015-02-11",3.4
"113","2015-02-12",3.45
"114","2015-02-13",3.46
"115","2015-02-17",3.48
"116","2015-02-18",3.5
"117","2015-02-19",3.575
"118","2015-02-20",3.84
"119","2015-02-23",3.64
"120","2015-02-24",3.58
"121","2015-02-25",3.59
"122","2015-02-26",4.09
"123","2015-02-27",4.7
"124","2015-03-02",4.71
"125","2015-03-03",4.52
"126","2015-03-04",4.51
"127","2015-03-05",4.51
"128","2015-03-06",4.39
"129","2015-03-09",4.38
"130","2015-03-10",4.31
"131","2015-03-11",4.48
"132","2015-03-12",4.36
"133","2015-03-13",4.48
"134","2015-03-16",4.65
"135","2015-03-17",4.75
"136","2015-03-18",4.8
"137","2015-03-19",5.24
"138","2015-03-20",5.25
"139","2015-03-23",5.3
"140","2015-03-24",4.9
"141","2015-03-25",4.6
"142","2015-03-26",4.45
"143","2015-03-27",4.5
"144","2015-03-30",4.47
"145","2015-03-31",4.36
"146","2015-04-01",4.27
"147","2015-04-02",4.42
"148","2015-04-06",4.19
"149","2015-04-07",4.17
"150","2015-04-08",3.83
"151","2015-04-09",4.23
"152","2015-04-10",4.17
"153","2015-04-13",4.12
"154","2015-04-14",4.04
"155","2015-04-15",4.085
"156","2015-04-16",4.17
"157","2015-04-17",4.076
"158","2015-04-20",3.99
"159","2015-04-21",3.8
"160","2015-04-22",3.852
"161","2015-04-23",4
"162","2015-04-24",3.79
"163","2015-04-27",3.78
"164","2015-04-28",4.059
"165","2015-04-29",3.92
"166","2015-04-30",3.82
"167","2015-05-01",3.71
"168","2015-05-04",3.96
"169","2015-05-05",3.85
"170","2015-05-06",3.65
"171","2015-05-07",3.75
"172","2015-05-08",3.94
"173","2015-05-11",3.82
"174","2015-05-12",3.75
"175","2015-05-13",3.87
"176","2015-05-14",4
"177","2015-05-15",3.89
"178","2015-05-18",3.84
"179","2015-05-19",3.673
"180","2015-05-20",3.6
"181","2015-05-21",3.61
"182","2015-05-22",3.59
"183","2015-05-26",3.57
"184","2015-05-27",3.6
"185","2015-05-28",3.53
"186","2015-05-29",3.51
"187","2015-06-01",3.52
"188","2015-06-02",3.49
"189","2015-06-03",3.43
"190","2015-06-04",3.52
"191","2015-06-05",3.49
"192","2015-06-08",3.53
"193","2015-06-09",3.49
"194","2015-06-10",3.44
"195","2015-06-11",3.4
"196","2015-06-12",3.37
"197","2015-06-15",3.41
"198","2015-06-16",3.38
"199","2015-06-17",3.5
"200","2015-06-18",3.438
"201","2015-06-19",3.45
"202","2015-06-22",3.46
"203","2015-06-23",3.29
"204","2015-06-24",3.24
"205","2015-06-25",3.21
"206","2015-06-26",3.22
"207","2015-06-29",3.01
"208","2015-06-30",3.02
"209","2015-07-01",3.26
"210","2015-07-02",3.21
"211","2015-07-06",3.23
"212","2015-07-07",3.58
"213","2015-07-08",3.58
"214","2015-07-09",3.48
"215","2015-07-10",3.36
"216","2015-07-13",3.57
"217","2015-07-14",3.58
"218","2015-07-15",3.51
"219","2015-07-16",3.6
"220","2015-07-17",3.58
"221","2015-07-20",3.55
"222","2015-07-21",3.46
"223","2015-07-22",3.46
"224","2015-07-23",3.51
"225","2015-07-24",3.65
"226","2015-07-27",3.6
"227","2015-07-28",3.7
"228","2015-07-29",3.69
"229","2015-07-30",3.72
"230","2015-07-31",3.7
"231","2015-08-03",4
"232","2015-08-04",3.93
"233","2015-08-05",3.9
"234","2015-08-06",3.95
"235","2015-08-07",3.64
"236","2015-08-10",3.74
"237","2015-08-11",3.7
"238","2015-08-12",3.56
"239","2015-08-13",3.4
"240","2015-08-14",3.41
"241","2015-08-17",3.59
"242","2015-08-18",3.47
"243","2015-08-19",3.42
"244","2015-08-20",3.17
"245","2015-08-21",3.19
"246","2015-08-24",2.975
"247","2015-08-25",3
"248","2015-08-26",3
"249","2015-08-27",3.01
"250","2015-08-28",3.03
"251","2015-08-31",3.4
"252","2015-09-01",3.48
"253","2015-09-02",3.44
"254","2015-09-03",3.4
"255","2015-09-04",3.41
"256","2015-09-08",3.46
"257","2015-09-09",3.45
"258","2015-09-10",3.39
"259","2015-09-11",3.36
"260","2015-09-14",3.38
"261","2015-09-15",3.41
"262","2015-09-16",3.3
"263","2015-09-17",3.38
"264","2015-09-18",3.42
"265","2015-09-21",3.43
"266","2015-09-22",3.32
"267","2015-09-23",3.31
"268","2015-09-24",3.31
"269","2015-09-25",3.05
"270","2015-09-28",2.79
"271","2015-09-29",2.79
"272","2015-09-30",2.84
"273","2015-10-01",2.9
"274","2015-10-02",3.01
"275","2015-10-05",3.03
"276","2015-10-06",3.05
"277","2015-10-07",3.09
"278","2015-10-08",3.03
"279","2015-10-09",3.04
"280","2015-10-12",2.99
"281","2015-10-13",2.99
"282","2015-10-14",2.92
"283","2015-10-15",2.93
"284","2015-10-16",2.99
"285","2015-10-19",3.1
"286","2015-10-20",3.11
"287","2015-10-21",3.01
"288","2015-10-22",2.97
"289","2015-10-23",3.02
"290","2015-10-26",3
"291","2015-10-27",3
"292","2015-10-28",3
"293","2015-10-29",2.964
"294","2015-10-30",2.92
"295","2015-11-02",3.02
"296","2015-11-03",3.01
"297","2015-11-04",2.95
"298","2015-11-05",2.97
"299","2015-11-06",2.96
"300","2015-11-09",2.93
"301","2015-11-10",2.89
"302","2015-11-11",2.92
"303","2015-11-12",2.75
"304","2015-11-13",2.76
"305","2015-11-16",2.75
"306","2015-11-17",2.7
"307","2015-11-18",2.604
"308","2015-11-19",2.5
"309","2015-11-20",2.37
"310","2015-11-23",2.35
"311","2015-11-24",2.55
"312","2015-11-25",2.51
"313","2015-11-27",2.55
"314","2015-11-30",2.52
"315","2015-12-01",2.49
"316","2015-12-02",2.472
"317","2015-12-03",2.419
"318","2015-12-04",2.45
"319","2015-12-07",2.42
"320","2015-12-08",2.38
"321","2015-12-09",2.37
"322","2015-12-10",2.375
"323","2015-12-11",2.27
"324","2015-12-14",2.122
"325","2015-12-15",2.11
"326","2015-12-16",2.25
"327","2015-12-17",2.42
"328","2015-12-18",2.58
"329","2015-12-21",2.61
"330","2015-12-22",2.51
"331","2015-12-23",2.5
"332","2015-12-24",2.49
"333","2015-12-28",2.51
"334","2015-12-29",2.49
"335","2015-12-30",2.44
"336","2015-12-31",2.47
"337","2016-01-04",2.4
"338","2016-01-05",2.651
"339","2016-01-06",2.655
"340","2016-01-07",2.45
"341","2016-01-08",2.42
"342","2016-01-11",2.24
"343","2016-01-12",2.27
"344","2016-01-13",2.11
"345","2016-01-14",2.01
"346","2016-01-15",1.8
