"","date","REFR"
"1","2007-01-03",5.16
"2","2007-01-04",5.25
"3","2007-01-05",5.19
"4","2007-01-08",5.03
"5","2007-01-09",5.02
"6","2007-01-10",4.99
"7","2007-01-11",5.16
"8","2007-01-12",5.84
"9","2007-01-16",6.07
"10","2007-01-17",5.9
"11","2007-01-18",5.72
"12","2007-01-19",6.03
"13","2007-01-22",5.63
"14","2007-01-23",5.65
"15","2007-01-24",5.76
"16","2007-01-25",6.05
"17","2007-01-26",6.05
"18","2007-01-29",6
"19","2007-01-30",6.15
"20","2007-01-31",6.39
"21","2007-02-01",8.4
"22","2007-02-02",8.33
"23","2007-02-05",7.69
"24","2007-02-06",9.32
"25","2007-02-07",9.38
"26","2007-02-08",9.12
"27","2007-02-09",11.5
"28","2007-02-12",11.9
"29","2007-02-13",11.1
"30","2007-02-14",9.85
"31","2007-02-15",10.05
"32","2007-02-16",10.07
"33","2007-02-20",10.65
"34","2007-02-21",10.83
"35","2007-02-22",10.17
"36","2007-02-23",10.17
"37","2007-02-26",9.98
"38","2007-02-27",9.05
"39","2007-02-28",9.34
"40","2007-03-01",9.01
"41","2007-03-02",9.05
"42","2007-03-05",8.32
"43","2007-03-06",8.89
"44","2007-03-07",9.02
"45","2007-03-08",9
"46","2007-03-09",9.07
"47","2007-03-12",9.05
"48","2007-03-13",8.98
"49","2007-03-14",8.8
"50","2007-03-15",8.96
"51","2007-03-16",8.92
"52","2007-03-19",10.23
"53","2007-03-20",10.06
"54","2007-03-21",9.88
"55","2007-03-22",10.8
"56","2007-03-23",10.32
"57","2007-03-26",9.9
"58","2007-03-27",10.01
"59","2007-03-28",9.79
"60","2007-03-29",9.74
"61","2007-03-30",9.6
"62","2007-04-02",10.8
"63","2007-04-03",10.87
"64","2007-04-04",11.4
"65","2007-04-05",11.35
"66","2007-04-09",11.77
"67","2007-04-10",11.38
"68","2007-04-11",10.89
"69","2007-04-12",11.13
"70","2007-04-13",11.74
"71","2007-04-16",12.58
"72","2007-04-17",11.9
"73","2007-04-18",11.91
"74","2007-04-19",11.79
"75","2007-04-20",12
"76","2007-04-23",11.75
"77","2007-04-24",11.55
"78","2007-04-25",11.52
"79","2007-04-26",11.29
"80","2007-04-27",10.78
"81","2007-04-30",10.86
"82","2007-05-01",10.65
"83","2007-05-02",10.84
"84","2007-05-03",11.34
"85","2007-05-04",11.57
"86","2007-05-07",11.67
"87","2007-05-08",11.52
"88","2007-05-09",11.39
"89","2007-05-10",11.15
"90","2007-05-11",11.28
"91","2007-05-14",11.22
"92","2007-05-15",10.75
