"","date","GAINM"
"1","2016-09-21",24.969999
"2","2016-09-22",25.190001
"3","2016-09-23",25.25
"4","2016-09-26",25.4
"5","2016-09-27",25.26
"6","2016-09-28",25.43
"7","2016-09-29",25.4
"8","2016-09-30",25.42
"9","2016-10-03",25.49
"10","2016-10-04",25.559999
"11","2016-10-05",25.4
"12","2016-10-06",25.41
"13","2016-10-07",25.502001
"14","2016-10-10",25.6
"15","2016-10-11",25.4
"16","2016-10-12",25.26
"17","2016-10-13",25.280001
"18","2016-10-14",25.396999
"19","2016-10-17",25.391001
"20","2016-10-18",25.360001
"21","2016-10-19",25.379999
"22","2016-10-20",25.315001
"23","2016-10-21",25.4
"24","2016-10-24",25.309999
"25","2016-10-25",25.4
"26","2016-10-26",25.25
"27","2016-10-27",25.261999
"28","2016-10-28",25.23
"29","2016-10-31",25.325001
"30","2016-11-01",25.464001
"31","2016-11-02",25.27
"32","2016-11-03",25.35
"33","2016-11-04",25.285
"34","2016-11-07",25.33
"35","2016-11-08",25.450001
"36","2016-11-09",25.32
"37","2016-11-10",25.238001
"38","2016-11-11",25.462999
"39","2016-11-14",25.65
"40","2016-11-15",25.325001
"41","2016-11-16",25.158001
"42","2016-11-17",25.4
"43","2016-11-18",25.148001
"44","2016-11-21",25.030001
"45","2016-11-22",25.030001
"46","2016-11-23",25.27
"47","2016-11-25",25.27
"48","2016-11-28",25.455999
"49","2016-11-29",25.195
"50","2016-11-30",25.07
"51","2016-12-01",25.121
"52","2016-12-02",25.214001
"53","2016-12-05",25.1
"54","2016-12-06",25.110001
"55","2016-12-07",25.040001
"56","2016-12-08",25.1
"57","2016-12-09",25.174
"58","2016-12-12",25.299999
"59","2016-12-13",25.459
"60","2016-12-14",25.15
"61","2016-12-15",25.35
"62","2016-12-16",25.110001
"63","2016-12-19",25.1
"64","2016-12-20",25.4
"65","2016-12-21",25.049999
"66","2016-12-22",25.084
"67","2016-12-23",25.139999
"68","2016-12-27",25.049999
"69","2016-12-28",25.15
"70","2016-12-29",25.15
"71","2016-12-30",25.308001
"72","2017-01-03",25.32
"73","2017-01-04",25.316
"74","2017-01-05",25.297001
"75","2017-01-06",25.309
"76","2017-01-09",25.450001
"77","2017-01-10",25.26
"78","2017-01-11",25.48
"79","2017-01-12",25.4
"80","2017-01-13",25.43
"81","2017-01-17",25.42
"82","2017-01-18",25.299999
"83","2017-01-19",25.299999
"84","2017-01-20",25.225
"85","2017-01-23",25.385
"86","2017-01-24",25.4
"87","2017-01-25",25.41
"88","2017-01-26",25.200001
"89","2017-01-27",25.379999
"90","2017-01-30",25.450001
"91","2017-01-31",25.497999
"92","2017-02-01",25.51
"93","2017-02-02",25.530001
"94","2017-02-03",25.504999
"95","2017-02-06",25.540001
"96","2017-02-07",25.68
"97","2017-02-08",25.76
"98","2017-02-09",25.780001
"99","2017-02-10",25.75
"100","2017-02-13",25.65
"101","2017-02-14",25.459999
"102","2017-02-15",25.405001
"103","2017-02-16",25.5
"104","2017-02-17",25.51
"105","2017-02-21",25.5
"106","2017-02-22",25.450001
"107","2017-02-23",25.450001
"108","2017-02-24",25.530001
"109","2017-02-27",25.540001
"110","2017-02-28",25.469999
"111","2017-03-01",25.5
"112","2017-03-02",25.4
"113","2017-03-03",25.639999
"114","2017-03-06",25.469999
"115","2017-03-07",25.4
"116","2017-03-08",25.42
"117","2017-03-09",25.379999
"118","2017-03-10",25.530001
"119","2017-03-13",25.33
"120","2017-03-14",25.629999
"121","2017-03-15",25.620001
"122","2017-03-16",25.450001
"123","2017-03-17",25.389999
"124","2017-03-20",25.35
"125","2017-03-21",25.299999
"126","2017-03-22",25.35
"127","2017-03-23",25.299999
"128","2017-03-24",25.341
"129","2017-03-27",25.582001
"130","2017-03-28",25.504999
"131","2017-03-29",25.493999
"132","2017-03-30",25.549999
"133","2017-03-31",25.532
"134","2017-04-03",25.450001
"135","2017-04-04",25.450001
"136","2017-04-05",25.450001
"137","2017-04-06",25.41
"138","2017-04-07",25.48
"139","2017-04-10",25.542
"140","2017-04-11",25.542
"141","2017-04-12",25.379999
"142","2017-04-13",25.540001
"143","2017-04-17",25.4
"144","2017-04-18",25.419001
"145","2017-04-19",25.25
"146","2017-04-20",25.299999
"147","2017-04-21",25.386999
"148","2017-04-24",25.400999
"149","2017-04-25",25.325001
"150","2017-04-26",25.360001
"151","2017-04-27",25.52
"152","2017-04-28",25.476
"153","2017-05-01",25.476
"154","2017-05-02",25.620001
"155","2017-05-03",25.535
"156","2017-05-04",25.450001
"157","2017-05-05",25.450001
"158","2017-05-08",25.712
"159","2017-05-09",25.41
"160","2017-05-10",25.85
"161","2017-05-11",25.65
"162","2017-05-12",25.83
"163","2017-05-15",25.511999
"164","2017-05-16",25.49
"165","2017-05-17",25.469999
"166","2017-05-18",25.41
"167","2017-05-19",25.41
"168","2017-05-22",25.481001
"169","2017-05-23",25.41
"170","2017-05-24",25.41
"171","2017-05-25",25.450001
