"","date","GMHI"
"1","2019-03-25",9.8
"2","2019-03-26",9.81
"3","2019-03-27",9.81
"4","2019-03-28",9.75
"5","2019-03-29",9.75
"6","2019-04-01",9.825
"7","2019-04-02",9.81
"8","2019-04-03",9.81
"9","2019-04-04",9.79
"10","2019-04-05",9.82
"11","2019-04-08",9.83
"12","2019-04-09",9.83
"13","2019-04-10",9.8
"14","2019-04-11",9.8
"15","2019-04-12",9.85
"16","2019-04-15",9.85
"17","2019-04-16",9.85
"18","2019-04-17",9.83
"19","2019-04-18",9.82
"20","2019-04-22",9.8
"21","2019-04-23",9.85
"22","2019-04-24",9.8
"23","2019-04-25",9.85
"24","2019-04-26",9.83
"25","2019-04-29",9.83
"26","2019-04-30",9.83
"27","2019-05-01",9.83
"28","2019-05-02",9.9
"29","2019-05-03",9.9
"30","2019-05-06",9.9
"31","2019-05-07",9.9
"32","2019-05-08",9.9
"33","2019-05-09",9.9
"34","2019-05-10",9.9
"35","2019-05-13",9.9
"36","2019-05-14",9.9
"37","2019-05-15",9.9
"38","2019-05-16",9.9
"39","2019-05-17",9.97
"40","2019-05-20",9.93
"41","2019-05-21",9.93
"42","2019-05-22",9.93
"43","2019-05-23",9.93
"44","2019-05-24",9.93
"45","2019-05-28",9.9
"46","2019-05-29",9.9
"47","2019-05-30",9.9
"48","2019-05-31",9.9
"49","2019-06-03",9.95
"50","2019-06-04",9.9
"51","2019-06-05",9.9
"52","2019-06-06",9.9
"53","2019-06-07",9.9
"54","2019-06-10",10
"55","2019-06-11",9.95
"56","2019-06-12",9.93
"57","2019-06-13",9.93
"58","2019-06-14",9.99
"59","2019-06-17",10
"60","2019-06-18",9.95
"61","2019-06-19",10
"62","2019-06-20",10
"63","2019-06-21",10.05
"64","2019-06-24",10.279
"65","2019-06-25",10.1
"66","2019-06-26",10.211
"67","2019-06-27",10.08
"68","2019-06-28",10.07
"69","2019-07-01",10.05
"70","2019-07-02",10.07
"71","2019-07-03",10.07
"72","2019-07-05",10.1
"73","2019-07-08",10.08
"74","2019-07-09",10.1
"75","2019-07-10",10.1
"76","2019-07-11",10.06
"77","2019-07-12",10.06
"78","2019-07-15",10.06
"79","2019-07-16",10.06
"80","2019-07-17",10.06
"81","2019-07-18",10.06
"82","2019-07-19",10.06
"83","2019-07-22",10.06
"84","2019-07-23",10.06
"85","2019-07-24",10.05
"86","2019-07-25",10.05
"87","2019-07-26",10.05
