"","date","CFBK"
"1","2007-01-03",204.419891
"2","2007-01-04",205.524857
"3","2007-01-05",201.657455
"4","2007-01-08",201.933701
"5","2007-01-09",203.038681
"6","2007-01-10",202.762436
"7","2007-01-11",202.209946
"8","2007-01-12",204.419891
"9","2007-01-16",209.392258
"10","2007-01-17",201.933701
"11","2007-01-18",202.486191
"12","2007-01-19",200.828735
"13","2007-01-22",205.248611
"14","2007-01-23",199.44751
"15","2007-01-24",204.419891
"16","2007-01-25",201.38121
"17","2007-01-26",200.828735
"18","2007-01-29",203.867401
"19","2007-01-30",201.38121
"20","2007-01-31",203.314911
"21","2007-02-01",202.209946
"22","2007-02-02",204.419891
"23","2007-02-05",206.077347
"24","2007-02-06",207.734802
"25","2007-02-07",202.486191
"26","2007-02-08",206.077347
"27","2007-02-09",205.801102
"28","2007-02-12",205.801102
"29","2007-02-13",205.801102
"30","2007-02-14",202.486191
"31","2007-02-15",203.038681
"32","2007-02-16",204.143646
"33","2007-02-20",203.038681
"34","2007-02-21",204.419891
"35","2007-02-22",204.419891
"36","2007-02-23",203.314911
"37","2007-02-26",203.038681
"38","2007-02-27",203.038681
"39","2007-02-28",203.591156
"40","2007-03-01",203.591156
"41","2007-03-02",204.419891
"42","2007-03-05",203.314911
"43","2007-03-06",200.55249
"44","2007-03-07",200.828735
"45","2007-03-08",200.828735
"46","2007-03-09",200.276245
"47","2007-03-12",199.171265
"48","2007-03-13",201.657455
"49","2007-03-14",197.790054
"50","2007-03-15",197.790054
"51","2007-03-16",198.066299
"52","2007-03-19",198.895035
"53","2007-03-20",197.513809
"54","2007-03-21",193.370163
"55","2007-03-22",198.895035
"56","2007-03-23",198.342545
"57","2007-03-26",191.988953
"58","2007-03-27",189.226517
"59","2007-03-28",190.055252
"60","2007-03-29",189.779007
"61","2007-03-30",190.607742
"62","2007-04-02",188.950272
"63","2007-04-03",189.226517
"64","2007-04-04",187.016571
"65","2007-04-05",186.464081
"66","2007-04-09",184.53038
"67","2007-04-10",185.359116
"68","2007-04-11",185.08287
"69","2007-04-12",184.25415
"70","2007-04-13",185.08287
"71","2007-04-16",185.911606
"72","2007-04-17",183.70166
