"","date","OCC"
"1","2007-01-03",4.69
"2","2007-01-04",4.66
"3","2007-01-05",4.66
"4","2007-01-08",4.52
"5","2007-01-09",4.61
"6","2007-01-10",4.67
"7","2007-01-11",4.6
"8","2007-01-12",4.52
"9","2007-01-16",4.53
"10","2007-01-17",4.6
"11","2007-01-18",4.61
"12","2007-01-19",4.62
"13","2007-01-22",4.63
"14","2007-01-23",4.6
"15","2007-01-24",4.92
"16","2007-01-25",4.9
"17","2007-01-26",5.4
"18","2007-01-29",5.33
"19","2007-01-30",5.28
"20","2007-01-31",5.19
"21","2007-02-01",5.25
"22","2007-02-02",5.18
"23","2007-02-05",5.24
"24","2007-02-06",5.43
"25","2007-02-07",5.6
"26","2007-02-08",5.63
"27","2007-02-09",5.69
"28","2007-02-12",5.83
"29","2007-02-13",5.75
"30","2007-02-14",5.66
"31","2007-02-15",5.69
"32","2007-02-16",5.6
"33","2007-02-20",5.42
"34","2007-02-21",5.35
"35","2007-02-22",5.39
"36","2007-02-23",5.52
"37","2007-02-26",5.6
"38","2007-02-27",5.3
"39","2007-02-28",5.26
"40","2007-03-01",5.31
"41","2007-03-02",5.16
"42","2007-03-05",5.18
"43","2007-03-06",5.39
"44","2007-03-07",5.27
"45","2007-03-08",5.25
"46","2007-03-09",5.06
"47","2007-03-12",5.35
"48","2007-03-13",5.24
"49","2007-03-14",5.35
"50","2007-03-15",5.37
"51","2007-03-16",5.45
"52","2007-03-19",4.91
"53","2007-03-20",5.16
"54","2007-03-21",5.02
"55","2007-03-22",5.02
"56","2007-03-23",5.09
"57","2007-03-26",5.37
"58","2007-03-27",5.33
"59","2007-03-28",5.25
"60","2007-03-29",5.24
"61","2007-03-30",5.32
"62","2007-04-02",5.25
"63","2007-04-03",5.2
"64","2007-04-04",5.17
"65","2007-04-05",5.11
"66","2007-04-09",5.11
"67","2007-04-10",5.05
"68","2007-04-11",5.03
"69","2007-04-12",5.08
"70","2007-04-13",5.18
"71","2007-04-16",5.14
"72","2007-04-17",5.2
"73","2007-04-18",5.09
"74","2007-04-19",5.1
"75","2007-04-20",5.14
"76","2007-04-23",5.35
"77","2007-04-24",5.29
"78","2007-04-25",5.24
"79","2007-04-26",5.2
"80","2007-04-27",5.13
"81","2007-04-30",5.27
"82","2007-05-01",5.3
"83","2007-05-02",5.3
"84","2007-05-03",5.26
"85","2007-05-04",5.28
"86","2007-05-07",5.35
"87","2007-05-08",5.35
"88","2007-05-09",5.29
"89","2007-05-10",5.22
"90","2007-05-11",5.13
"91","2007-05-14",5.13
"92","2007-05-15",5.12
"93","2007-05-16",5.11
"94","2007-05-17",5.1
"95","2007-05-18",5.06
"96","2007-05-21",5.04
"97","2007-05-22",5.08
"98","2007-05-23",5
"99","2007-05-24",5
"100","2007-05-25",5.02
"101","2007-05-29",5.07
"102","2007-05-30",5.28
"103","2007-05-31",5.29
"104","2007-06-01",5.16
"105","2007-06-04",5.11
"106","2007-06-05",5.18
"107","2007-06-06",5.2
"108","2007-06-07",5.12
"109","2007-06-08",5.12
"110","2007-06-11",5.2
"111","2007-06-12",5.4
"112","2007-06-13",5.2
