"","date","CBMB"
"1","2018-09-28",12.8
"2","2018-10-01",12.69
"3","2018-10-02",12.63
"4","2018-10-03",12.65
"5","2018-10-04",12.58
"6","2018-10-05",12.62
"7","2018-10-08",12.61
"8","2018-10-09",12.57
"9","2018-10-10",12.61
"10","2018-10-11",12.58
"11","2018-10-12",12.58
"12","2018-10-15",12.52
"13","2018-10-16",12.5
"14","2018-10-17",12.39
"15","2018-10-18",12.43
"16","2018-10-19",12.37
"17","2018-10-22",12.39
"18","2018-10-23",12.39
"19","2018-10-24",12.3
"20","2018-10-25",12.25
"21","2018-10-26",12.12
"22","2018-10-29",12.06
"23","2018-10-30",12.2
"24","2018-10-31",12.15
"25","2018-11-01",12.25
"26","2018-11-02",12.3
"27","2018-11-05",12.35
"28","2018-11-06",12.36
"29","2018-11-07",12.45
"30","2018-11-08",12.5
"31","2018-11-09",12.65
"32","2018-11-12",12.65
"33","2018-11-13",12.6
"34","2018-11-14",12.61
"35","2018-11-15",12.65
"36","2018-11-16",12.65
"37","2018-11-19",12.65
"38","2018-11-20",12.62
"39","2018-11-21",12.84
"40","2018-11-23",12.84
"41","2018-11-26",12.84
"42","2018-11-27",12.84
"43","2018-11-28",12.85
"44","2018-11-29",12.85
"45","2018-11-30",12.73
"46","2018-12-03",12.63
"47","2018-12-04",12.63
"48","2018-12-06",12.43
"49","2018-12-07",12.51
"50","2018-12-10",12.42
"51","2018-12-11",12.51
"52","2018-12-12",12.63
"53","2018-12-13",12.53
"54","2018-12-14",12.63
"55","2018-12-17",12.73
"56","2018-12-18",13.05
"57","2018-12-19",12.38
"58","2018-12-20",12.48
"59","2018-12-21",12.22
"60","2018-12-24",12.33
"61","2018-12-26",12.35
"62","2018-12-27",12.45
"63","2018-12-28",12.55
"64","2018-12-31",12.52
"65","2019-01-02",12.75
"66","2019-01-03",12.65
"67","2019-01-04",12.65
"68","2019-01-07",12.65
"69","2019-01-08",12.56
"70","2019-01-09",12.65
"71","2019-01-10",12.65
"72","2019-01-11",12.65
"73","2019-01-14",12.65
"74","2019-01-15",12.65
"75","2019-01-16",12.63
"76","2019-01-17",12.66
"77","2019-01-18",12.75
"78","2019-01-22",12.73
"79","2019-01-23",12.84
"80","2019-01-24",12.83
"81","2019-01-25",12.83
"82","2019-01-28",12.76
"83","2019-01-29",12.76
"84","2019-01-30",12.71
"85","2019-01-31",12.7
"86","2019-02-01",12.67
"87","2019-02-04",12.7
"88","2019-02-05",12.7
"89","2019-02-06",12.71
"90","2019-02-07",12.75
"91","2019-02-08",12.76
"92","2019-02-11",12.72
"93","2019-02-12",12.73
"94","2019-02-13",12.78
"95","2019-02-14",12.72
"96","2019-02-15",12.75
"97","2019-02-19",13
"98","2019-02-20",13
"99","2019-02-21",12.88
"100","2019-02-22",12.88
"101","2019-02-25",13
"102","2019-02-26",13
"103","2019-02-27",13
"104","2019-02-28",12.96
"105","2019-03-01",12.95
"106","2019-03-04",12.95
"107","2019-03-05",13.02
"108","2019-03-06",13.17
"109","2019-03-07",13.13
"110","2019-03-08",13.17
"111","2019-03-11",13.22
"112","2019-03-12",13.22
"113","2019-03-13",13.18
"114","2019-03-14",13.18
"115","2019-03-15",13.1
"116","2019-03-18",13.23
"117","2019-03-19",13.2
"118","2019-03-20",13.2
"119","2019-03-21",13.07
"120","2019-03-22",13.02
"121","2019-03-25",12.99
"122","2019-03-26",12.89
"123","2019-03-27",12.89
"124","2019-03-28",13.2
"125","2019-03-29",12.95
"126","2019-04-01",12.95
"127","2019-04-02",13.1
"128","2019-04-03",13.1
"129","2019-04-04",13.1
"130","2019-04-05",12.98
"131","2019-04-08",13.11
"132","2019-04-09",13.11
"133","2019-04-10",13
"134","2019-04-11",13
"135","2019-04-12",13.05
"136","2019-04-15",12.97
"137","2019-04-16",12.97
"138","2019-04-17",12.93
"139","2019-04-18",12.93
"140","2019-04-22",12.91
"141","2019-04-23",12.98
"142","2019-04-24",12.99
"143","2019-04-25",12.99
"144","2019-04-26",13.2
"145","2019-04-29",13.12
"146","2019-04-30",13.1
"147","2019-05-01",13.1
"148","2019-05-02",13.2
"149","2019-05-03",13.24
"150","2019-05-06",13.08
"151","2019-05-07",13.2
"152","2019-05-08",13.13
"153","2019-05-09",13.13
"154","2019-05-10",13.13
"155","2019-05-13",13.13
"156","2019-05-14",13.4
"157","2019-05-15",13.4
"158","2019-05-16",13.38
"159","2019-05-17",13.38
"160","2019-05-20",13.38
"161","2019-05-21",13.38
"162","2019-05-22",13.37
"163","2019-05-23",13.38
"164","2019-05-24",13.6
"165","2019-05-28",13.72
"166","2019-05-29",13.8
"167","2019-05-30",14.2
"168","2019-05-31",13.86
"169","2019-06-03",13.76
"170","2019-06-04",13.74
"171","2019-06-05",13.75
"172","2019-06-06",13.75
"173","2019-06-07",13.7
"174","2019-06-10",13.65
"175","2019-06-11",13.67
"176","2019-06-12",13.95
"177","2019-06-13",14.01
"178","2019-06-14",13.91
"179","2019-06-17",13.95
"180","2019-06-18",13.93
"181","2019-06-19",13.95
"182","2019-06-20",13.94
"183","2019-06-21",13.96
"184","2019-06-24",14.01
"185","2019-06-25",13.85
"186","2019-06-26",14
"187","2019-06-27",13.95
"188","2019-06-28",13.8
"189","2019-07-01",13.8
"190","2019-07-02",13.58
"191","2019-07-03",13.58
"192","2019-07-05",13.58
"193","2019-07-08",13.67
"194","2019-07-09",13.67
"195","2019-07-10",13.62
"196","2019-07-11",13.61
"197","2019-07-12",13.57
"198","2019-07-15",13.67
"199","2019-07-16",13.57
"200","2019-07-17",13.63
"201","2019-07-18",13.68
"202","2019-07-19",13.73
"203","2019-07-22",13.59
"204","2019-07-23",13.66
"205","2019-07-24",13.67
"206","2019-07-25",14.8
"207","2019-07-26",13.97
"208","2019-07-29",13.62
"209","2019-07-30",13.87
"210","2019-07-31",13.64
"211","2019-08-01",13.65
"212","2019-08-02",13.65
"213","2019-08-05",13.64
"214","2019-08-06",13.64
"215","2019-08-07",13.79
"216","2019-08-08",13.61
"217","2019-08-09",13.67
"218","2019-08-12",13.67
"219","2019-08-13",13.67
"220","2019-08-14",13.6
"221","2019-08-15",13.65
"222","2019-08-16",13.67
"223","2019-08-19",13.66
"224","2019-08-20",13.66
"225","2019-08-21",13.8
"226","2019-08-22",13.61
"227","2019-08-23",13.51
"228","2019-08-26",13.5
"229","2019-08-27",13.47
"230","2019-08-28",13.47
"231","2019-08-29",13.65
"232","2019-08-30",13.8
"233","2019-09-03",13.8
"234","2019-09-04",13.8
"235","2019-09-05",13.85
"236","2019-09-06",13.77
"237","2019-09-09",14
"238","2019-09-10",13.96
"239","2019-09-11",13.98
"240","2019-09-12",14.08
"241","2019-09-13",14.06
"242","2019-09-16",14.04
"243","2019-09-17",14.04
"244","2019-09-18",14.1
"245","2019-09-19",14.14
"246","2019-09-20",14.02
"247","2019-09-23",14.08
"248","2019-09-24",14.18
"249","2019-09-25",14.17
"250","2019-09-26",14.25
"251","2019-09-27",14.17
"252","2019-09-30",14
"253","2019-10-01",14.02
"254","2019-10-02",13.81
"255","2019-10-03",13.96
"256","2019-10-04",13.9
"257","2019-10-07",13.9
"258","2019-10-08",13.9
"259","2019-10-09",14.07
"260","2019-10-10",13.95
"261","2019-10-11",13.98
"262","2019-10-14",13.98
"263","2019-10-15",14
"264","2019-10-16",14
"265","2019-10-17",14
"266","2019-10-18",14
"267","2019-10-21",13.96
"268","2019-10-22",13.95
"269","2019-10-23",13.96
"270","2019-10-24",13.93
"271","2019-10-25",13.99
"272","2019-10-28",13.97
"273","2019-10-29",13.97
"274","2019-10-30",13.95
"275","2019-10-31",13.95
"276","2019-11-01",13.95
"277","2019-11-04",13.98
"278","2019-11-05",14
"279","2019-11-06",14
"280","2019-11-07",14.1
"281","2019-11-08",14.07
"282","2019-11-11",14.05
"283","2019-11-12",14.05
"284","2019-11-13",14.02
"285","2019-11-14",14.01
"286","2019-11-15",14
"287","2019-11-18",14
"288","2019-11-19",14.05
"289","2019-11-20",14
"290","2019-11-21",14.05
"291","2019-11-22",14.05
"292","2019-11-25",14.02
"293","2019-11-26",14.02
"294","2019-11-27",14.01
"295","2019-11-29",14.01
"296","2019-12-02",14.01
"297","2019-12-03",14.01
"298","2019-12-04",14.01
"299","2019-12-05",14.06
"300","2019-12-06",14.07
"301","2019-12-09",14.07
"302","2019-12-10",14.04
"303","2019-12-11",14.04
"304","2019-12-12",14.14
"305","2019-12-13",14.13
"306","2019-12-16",14.12
"307","2019-12-17",14.11
"308","2019-12-18",14.13
"309","2019-12-19",14.21
"310","2019-12-20",14.4
"311","2019-12-23",14.2
"312","2019-12-24",14.2
"313","2019-12-26",14.12
"314","2019-12-27",14.15
"315","2019-12-30",14.19
"316","2019-12-31",14.12
"317","2020-01-02",14.16
"318","2020-01-03",14.15
"319","2020-01-06",14.22
"320","2020-01-07",14.22
"321","2020-01-08",14.22
"322","2020-01-09",14.16
"323","2020-01-10",14.16
"324","2020-01-13",14.17
"325","2020-01-14",14.19
"326","2020-01-15",14.17
"327","2020-01-16",14.17
"328","2020-01-17",14.17
"329","2020-01-21",14.17
"330","2020-01-22",14.2
"331","2020-01-23",14.2
"332","2020-01-24",14.18
"333","2020-01-27",14.12
"334","2020-01-28",14.19
"335","2020-01-29",14.12
"336","2020-01-30",14.2
"337","2020-01-31",14.2
"338","2020-02-03",14.19
"339","2020-02-04",14.25
"340","2020-02-05",14.31
"341","2020-02-06",14.31
"342","2020-02-07",14.25
"343","2020-02-10",14.25
"344","2020-02-11",14.35
"345","2020-02-12",14.35
"346","2020-02-13",14.35
"347","2020-02-14",14.35
"348","2020-02-18",14.3
"349","2020-02-19",14.3
"350","2020-02-20",14.3
"351","2020-02-21",14.3
"352","2020-02-24",14.39
"353","2020-02-25",14.36
"354","2020-02-26",14.36
