"","date","CAAP"
"1","2018-02-01",16.334661
"2","2018-02-02",16.6
"3","2018-02-05",16.49
"4","2018-02-06",16.5
"5","2018-02-07",16.49
"6","2018-02-08",15.82
"7","2018-02-09",16
"8","2018-02-12",16.15
"9","2018-02-13",16.200001
"10","2018-02-14",16.450001
"11","2018-02-15",16.4
"12","2018-02-16",16.549999
"13","2018-02-20",16.379999
"14","2018-02-21",16.200001
"15","2018-02-22",15.81
"16","2018-02-23",15.55
"17","2018-02-26",15.82
"18","2018-02-27",15.56
"19","2018-02-28",15.91
"20","2018-03-01",15.34
"21","2018-03-02",15.3
"22","2018-03-05",14.96
"23","2018-03-06",14.67
"24","2018-03-07",14.18
"25","2018-03-08",13.81
"26","2018-03-09",14.42
"27","2018-03-12",14.71
"28","2018-03-13",14.85
"29","2018-03-14",14.25
"30","2018-03-15",14.2
"31","2018-03-16",14.14
"32","2018-03-19",13.77
"33","2018-03-20",13.78
"34","2018-03-21",13.02
"35","2018-03-22",12.84
"36","2018-03-23",12.7
"37","2018-03-26",12.51
"38","2018-03-27",12.38
"39","2018-03-28",11.94
"40","2018-03-29",12.34
"41","2018-04-02",11.99
"42","2018-04-03",12.14
"43","2018-04-04",12.53
"44","2018-04-05",12.83
"45","2018-04-06",12.88
"46","2018-04-09",12.3
"47","2018-04-10",12.4
"48","2018-04-11",12.23
"49","2018-04-12",12.13
"50","2018-04-13",12.18
"51","2018-04-16",12.01
"52","2018-04-17",12.17
"53","2018-04-18",12.55
"54","2018-04-19",12.66
"55","2018-04-20",12.77
"56","2018-04-23",12.82
"57","2018-04-24",12.66
"58","2018-04-25",12.41
"59","2018-04-26",11.79
"60","2018-04-27",11.71
"61","2018-04-30",12.34
"62","2018-05-01",12.21
"63","2018-05-02",11.78
"64","2018-05-03",11.32
"65","2018-05-04",11.27
"66","2018-05-07",11.23
"67","2018-05-08",10.65
"68","2018-05-09",10.39
"69","2018-05-10",10.27
"70","2018-05-11",10.72
"71","2018-05-14",10.08
"72","2018-05-15",10.42
"73","2018-05-16",11.42
"74","2018-05-17",11.77
"75","2018-05-18",11.24
"76","2018-05-21",11.07
"77","2018-05-22",11.55
"78","2018-05-23",11.58
"79","2018-05-24",11.52
"80","2018-05-25",11.71
"81","2018-05-29",11.13
"82","2018-05-30",11.78
"83","2018-05-31",11.94
"84","2018-06-01",11.9
"85","2018-06-04",11.7
"86","2018-06-05",11.38
"87","2018-06-06",11.2
"88","2018-06-07",11.65
"89","2018-06-08",11.28
"90","2018-06-11",10.85
"91","2018-06-12",10.7
"92","2018-06-13",10.82
"93","2018-06-14",10.53
"94","2018-06-15",10.82
"95","2018-06-18",10.4
"96","2018-06-19",10.2
"97","2018-06-20",10.01
"98","2018-06-21",10.05
"99","2018-06-22",10.09
"100","2018-06-25",9.74
"101","2018-06-26",9.46
"102","2018-06-27",8.7
"103","2018-06-28",8.6
"104","2018-06-29",8.44
"105","2018-07-02",8.71
"106","2018-07-03",9.3
"107","2018-07-05",9.71
"108","2018-07-06",9.52
"109","2018-07-09",9.57
"110","2018-07-10",9.36
"111","2018-07-11",9.35
"112","2018-07-12",9.63
"113","2018-07-13",9.79
"114","2018-07-16",9.87
"115","2018-07-17",9.94
"116","2018-07-18",10.18
"117","2018-07-19",10.26
"118","2018-07-20",10.45
"119","2018-07-23",10.48
"120","2018-07-24",10.49
"121","2018-07-25",10.58
"122","2018-07-26",11.31
"123","2018-07-27",11.2
"124","2018-07-30",11.01
"125","2018-07-31",11.14
"126","2018-08-01",11.03
"127","2018-08-02",10.58
"128","2018-08-03",10.52
"129","2018-08-06",10.16
"130","2018-08-07",9.84
"131","2018-08-08",9.41
"132","2018-08-09",9.11
"133","2018-08-10",9.28
"134","2018-08-13",8.98
"135","2018-08-14",9.33
"136","2018-08-15",9.14
"137","2018-08-16",9.19
"138","2018-08-17",8.85
"139","2018-08-20",8.8
"140","2018-08-21",8.83
"141","2018-08-22",8.97
"142","2018-08-23",8.59
"143","2018-08-24",8.38
"144","2018-08-27",8.5
"145","2018-08-28",8.36
"146","2018-08-29",8.12
"147","2018-08-30",8.08
"148","2018-08-31",9.1
"149","2018-09-04",8.22
"150","2018-09-05",8.72
"151","2018-09-06",9.07
"152","2018-09-07",9.02
"153","2018-09-10",8.59
"154","2018-09-11",8.39
"155","2018-09-12",8.18
"156","2018-09-13",8.26
"157","2018-09-14",8.07
"158","2018-09-17",8.29
"159","2018-09-18",8.49
"160","2018-09-19",9.18
"161","2018-09-20",9.27
"162","2018-09-21",9.6
"163","2018-09-24",9.19
"164","2018-09-25",9.06
"165","2018-09-26",9.21
"166","2018-09-27",9
"167","2018-09-28",8.54
"168","2018-10-01",8.26
"169","2018-10-02",8.5
"170","2018-10-03",8.5
"171","2018-10-04",8.3
"172","2018-10-05",8.08
"173","2018-10-08",8.19
"174","2018-10-09",8.45
"175","2018-10-10",8.34
"176","2018-10-11",8.15
"177","2018-10-12",8.29
"178","2018-10-15",8.22
"179","2018-10-16",8.27
"180","2018-10-17",8.24
"181","2018-10-18",8.13
"182","2018-10-19",8.16
"183","2018-10-22",8.07
"184","2018-10-23",8.21
"185","2018-10-24",7.91
"186","2018-10-25",8.06
"187","2018-10-26",8.11
"188","2018-10-29",7.67
"189","2018-10-30",7.75
"190","2018-10-31",7.93
"191","2018-11-01",8.52
"192","2018-11-02",8.62
"193","2018-11-05",8.27
"194","2018-11-06",8.07
"195","2018-11-07",8.16
