"","date","SYKE"
"1","2007-01-03",16.709999
"2","2007-01-04",16.34
"3","2007-01-05",15.75
"4","2007-01-08",15.2
"5","2007-01-09",15.14
"6","2007-01-10",14.7
"7","2007-01-11",16.02
"8","2007-01-12",15.84
"9","2007-01-16",15.56
"10","2007-01-17",15.58
"11","2007-01-18",15.21
"12","2007-01-19",15.4
"13","2007-01-22",14.65
"14","2007-01-23",14.94
"15","2007-01-24",15.14
"16","2007-01-25",15.15
"17","2007-01-26",15.15
"18","2007-01-29",14.85
"19","2007-01-30",14.73
"20","2007-01-31",14.61
"21","2007-02-01",15.09
"22","2007-02-02",15.06
"23","2007-02-05",15.33
"24","2007-02-06",15.1
"25","2007-02-07",15.24
"26","2007-02-08",17.129999
"27","2007-02-09",17.309999
"28","2007-02-12",16.799999
"29","2007-02-13",16.809999
"30","2007-02-14",16.809999
"31","2007-02-15",16.65
"32","2007-02-16",16.66
"33","2007-02-20",16.75
"34","2007-02-21",16.469999
"35","2007-02-22",16.389999
"36","2007-02-23",16.48
"37","2007-02-26",16.25
"38","2007-02-27",15.76
"39","2007-02-28",16.040001
"40","2007-03-01",16.01
"41","2007-03-02",16.209999
"42","2007-03-05",15.82
"43","2007-03-06",19.49
"44","2007-03-07",19.360001
"45","2007-03-08",19.469999
"46","2007-03-09",19.299999
"47","2007-03-12",19.139999
"48","2007-03-13",18.700001
"49","2007-03-14",18.620001
"50","2007-03-15",19
"51","2007-03-16",19.07
"52","2007-03-19",19.48
"53","2007-03-20",19.450001
"54","2007-03-21",19.450001
"55","2007-03-22",19.389999
"56","2007-03-23",19.139999
"57","2007-03-26",18.950001
"58","2007-03-27",18.32
"59","2007-03-28",18.389999
"60","2007-03-29",18.290001
"61","2007-03-30",18.24
"62","2007-04-02",18.110001
"63","2007-04-03",18.52
"64","2007-04-04",18.25
"65","2007-04-05",18.48
"66","2007-04-09",18.709999
"67","2007-04-10",18.67
"68","2007-04-11",18.370001
"69","2007-04-12",18.5
"70","2007-04-13",18.799999
"71","2007-04-16",19.219999
"72","2007-04-17",19.27
"73","2007-04-18",19.25
"74","2007-04-19",19.110001
"75","2007-04-20",19.34
"76","2007-04-23",19.41
"77","2007-04-24",19.030001
"78","2007-04-25",19.25
"79","2007-04-26",19.200001
"80","2007-04-27",18.83
"81","2007-04-30",18.459999
"82","2007-05-01",18.24
"83","2007-05-02",18.85
"84","2007-05-03",18.92
"85","2007-05-04",19
"86","2007-05-07",19.25
"87","2007-05-08",19.74
"88","2007-05-09",20.370001
"89","2007-05-10",19.52
"90","2007-05-11",19.700001
"91","2007-05-14",19.389999
"92","2007-05-15",19.040001
