"","date","XPEV"
"1","2020-08-27",21.219999
"2","2020-08-28",22.790001
"3","2020-08-31",20.5
"4","2020-09-01",21.610001
"5","2020-09-02",21.09
"6","2020-09-03",20.030001
"7","2020-09-04",19.030001
"8","2020-09-08",17.73
"9","2020-09-09",18.07
"10","2020-09-10",19.280001
"11","2020-09-11",19.1
"12","2020-09-14",20.48
"13","2020-09-15",21.120001
"14","2020-09-16",19.92
"15","2020-09-17",19.24
"16","2020-09-18",18.9
"17","2020-09-21",18.15
"18","2020-09-22",19.309999
"19","2020-09-23",18.41
"20","2020-09-24",17.450001
"21","2020-09-25",17.93
"22","2020-09-28",19.059999
"23","2020-09-29",18.780001
"24","2020-09-30",20.07
"25","2020-10-01",18.67
"26","2020-10-02",18.190001
"27","2020-10-05",20.040001
"28","2020-10-06",19.700001
"29","2020-10-07",20.16
"30","2020-10-08",19.860001
"31","2020-10-09",20
"32","2020-10-12",19.879999
"33","2020-10-13",19.639999
"34","2020-10-14",22.049999
"35","2020-10-15",22.16
"36","2020-10-16",21.77
"37","2020-10-19",19.84
"38","2020-10-20",20.139999
"39","2020-10-21",20.42
"40","2020-10-22",20.82
"41","2020-10-23",20.049999
"42","2020-10-26",19.620001
"43","2020-10-27",19.9
"44","2020-10-28",19.02
"45","2020-10-29",20.719999
"46","2020-10-30",19.379999
"47","2020-11-02",20.719999
"48","2020-11-03",22.209999
"49","2020-11-04",27.389999
"50","2020-11-05",35.849998
"51","2020-11-06",34.810001
"52","2020-11-09",34.07
"53","2020-11-10",32.900002
"54","2020-11-11",33.529999
"55","2020-11-12",44.73
"56","2020-11-13",41.990002
"57","2020-11-16",44.099998
"58","2020-11-17",42.91
"59","2020-11-18",42.18
"60","2020-11-19",48.110001
"61","2020-11-20",53.889999
"62","2020-11-23",72.169998
"63","2020-11-24",70.629997
"64","2020-11-25",64.269997
"65","2020-11-27",64.279999
