"","date","FRSX"
"1","2017-06-15",11.365
"2","2017-06-16",11
"3","2017-06-19",10.53
"4","2017-06-20",10.5
"5","2017-06-21",10.48
"6","2017-06-22",10.47
"7","2017-06-23",10.4
"8","2017-06-26",9.49
"9","2017-06-27",8.7
"10","2017-06-28",8.26
"11","2017-06-29",8.48
"12","2017-06-30",8.36
"13","2017-07-03",9.06
"14","2017-07-05",10.1
"15","2017-07-06",10
"16","2017-07-07",10.08
"17","2017-07-10",9.99
"18","2017-07-11",9.5
"19","2017-07-12",8.96
"20","2017-07-13",8.602
"21","2017-07-14",8.793
"22","2017-07-17",9
"23","2017-07-18",8.75
"24","2017-07-19",8.75
"25","2017-07-20",8.6
"26","2017-07-21",8.55
"27","2017-07-24",8.42
"28","2017-07-25",8.4
"29","2017-07-26",8
"30","2017-07-27",7.799
"31","2017-07-28",7.6
"32","2017-07-31",7.4
"33","2017-08-01",7.38
"34","2017-08-02",6.99
"35","2017-08-03",6.41
"36","2017-08-04",6.5
"37","2017-08-07",5.64
"38","2017-08-08",5.09
"39","2017-08-09",4.288
"40","2017-08-10",4.56
"41","2017-08-11",4.6
"42","2017-08-14",6.36
"43","2017-08-15",6.48
"44","2017-08-16",5.69
"45","2017-08-17",5.98
"46","2017-08-18",5.88
"47","2017-08-21",6.09
"48","2017-08-22",5.55
"49","2017-08-23",5.152
"50","2017-08-24",5.33
"51","2017-08-25",5.15
"52","2017-08-28",5.83
"53","2017-08-29",5.725
"54","2017-08-30",5.84
"55","2017-08-31",5.675
"56","2017-09-01",5.76
"57","2017-09-05",5.35
"58","2017-09-06",5.46
"59","2017-09-07",5.84
"60","2017-09-08",5.65
"61","2017-09-11",5.81
"62","2017-09-12",5.568
"63","2017-09-13",5.72
"64","2017-09-14",5.65
"65","2017-09-15",5.411
"66","2017-09-18",5.52
"67","2017-09-19",5.515
"68","2017-09-20",6.07
"69","2017-09-21",5.72
"70","2017-09-22",5.69
"71","2017-09-25",6.23
"72","2017-09-26",6.04
"73","2017-09-27",5.81
"74","2017-09-28",5.55
"75","2017-09-29",5.73
"76","2017-10-02",5.69
"77","2017-10-03",5.612
"78","2017-10-04",5.82
"79","2017-10-05",5.8
"80","2017-10-06",5.65
"81","2017-10-09",5.61
"82","2017-10-10",5.79
"83","2017-10-11",6.7
"84","2017-10-12",6.68
"85","2017-10-13",7.13
"86","2017-10-16",6.65
"87","2017-10-17",6.06
"88","2017-10-18",5.922
"89","2017-10-19",5.4
"90","2017-10-20",5.65
"91","2017-10-23",5.49
"92","2017-10-24",5.77
"93","2017-10-25",5.56
"94","2017-10-26",5.48
"95","2017-10-27",5.65
"96","2017-10-30",5.49
"97","2017-10-31",5.66
"98","2017-11-01",5.598
"99","2017-11-02",5.55
"100","2017-11-03",5.51
"101","2017-11-06",5.41
"102","2017-11-07",5.4
"103","2017-11-08",5.59
"104","2017-11-09",5.5
"105","2017-11-10",5.3
"106","2017-11-13",5.25
"107","2017-11-14",5.08
"108","2017-11-15",4.92
"109","2017-11-16",5.08
"110","2017-11-17",5.16
"111","2017-11-20",5.06
"112","2017-11-21",4.94
"113","2017-11-22",5.12
"114","2017-11-24",5.2
"115","2017-11-27",5.06
"116","2017-11-28",5
"117","2017-11-29",4.79
"118","2017-11-30",4.74
"119","2017-12-01",4.71
"120","2017-12-04",4.28
"121","2017-12-05",3.99
"122","2017-12-06",3.54
"123","2017-12-07",4.13
"124","2017-12-08",4.06
"125","2017-12-11",3.75
"126","2017-12-12",3.703
"127","2017-12-13",3.8
"128","2017-12-14",4
"129","2017-12-15",3.94
"130","2017-12-18",3.76
"131","2017-12-19",3.6
"132","2017-12-20",3.82
"133","2017-12-21",4
"134","2017-12-22",4.03
"135","2017-12-26",4.33
"136","2017-12-27",4.16
"137","2017-12-28",4.084
"138","2017-12-29",4.03
"139","2018-01-02",4.54
"140","2018-01-03",4.69
"141","2018-01-04",5.03
"142","2018-01-05",5.01
"143","2018-01-08",6
"144","2018-01-09",4.87
"145","2018-01-10",4.99
"146","2018-01-11",4.875
"147","2018-01-12",4.98
"148","2018-01-16",4.86
"149","2018-01-17",4.75
"150","2018-01-18",4.86
"151","2018-01-19",4.78
"152","2018-01-22",5.02
"153","2018-01-23",4.97
"154","2018-01-24",4.84
"155","2018-01-25",4.63
"156","2018-01-26",4.86
"157","2018-01-29",5.02
"158","2018-01-30",4.775
"159","2018-01-31",4.51
"160","2018-02-01",4.38
"161","2018-02-02",4.251
"162","2018-02-05",3.95
"163","2018-02-06",3.93
"164","2018-02-07",4.03
"165","2018-02-08",3.7
"166","2018-02-09",3.8
"167","2018-02-12",3.92
"168","2018-02-13",3.852
"169","2018-02-14",3.97
"170","2018-02-15",3.8
"171","2018-02-16",3.74
"172","2018-02-20",3.85
"173","2018-02-21",3.81
"174","2018-02-22",3.71
"175","2018-02-23",3.761
"176","2018-02-26",4.1
"177","2018-02-27",4
"178","2018-02-28",3.974
"179","2018-03-01",3.838
"180","2018-03-02",4
"181","2018-03-05",4.14
"182","2018-03-06",4.162
"183","2018-03-07",4.12
"184","2018-03-08",4.03
"185","2018-03-09",4.03
"186","2018-03-12",4.1
"187","2018-03-13",4.36
"188","2018-03-14",4.07
"189","2018-03-15",4.11
"190","2018-03-16",4.11
"191","2018-03-19",4.029
"192","2018-03-20",3.9
"193","2018-03-21",3.99
"194","2018-03-22",4.06
"195","2018-03-23",3.7
"196","2018-03-26",3.82
"197","2018-03-27",3.79
"198","2018-03-28",3.52
"199","2018-03-29",3.57
"200","2018-04-02",3.31
"201","2018-04-03",3.06
"202","2018-04-04",2.8
"203","2018-04-05",3.06
"204","2018-04-06",2.92
"205","2018-04-09",3.2
"206","2018-04-10",3.14
"207","2018-04-11",2.99
"208","2018-04-12",3
"209","2018-04-13",3.01
"210","2018-04-16",2.98
"211","2018-04-17",3.04
"212","2018-04-18",3.04
"213","2018-04-19",2.97
"214","2018-04-20",3.02
"215","2018-04-23",3.61
"216","2018-04-24",3.5
"217","2018-04-25",3.39
"218","2018-04-26",3.4
"219","2018-04-27",3.53
"220","2018-04-30",3.15
"221","2018-05-01",3.16
"222","2018-05-02",3.11
"223","2018-05-03",3.12
"224","2018-05-04",3.04
"225","2018-05-07",3.02
"226","2018-05-08",2.933
"227","2018-05-09",3.05
"228","2018-05-10",3.24
"229","2018-05-11",3.15
