"","date","LSPD"
"1","2020-09-11",30.25
"2","2020-09-14",31.950001
"3","2020-09-15",31.129999
"4","2020-09-16",30.870001
"5","2020-09-17",30.610001
"6","2020-09-18",29.76
"7","2020-09-21",30.23
"8","2020-09-22",30.43
"9","2020-09-23",29.74
"10","2020-09-24",29.57
"11","2020-09-25",30.25
"12","2020-09-28",31.02
"13","2020-09-29",31.690001
"14","2020-09-30",32.02
"15","2020-10-01",32.740002
"16","2020-10-02",31.58
"17","2020-10-05",32.32
"18","2020-10-06",33.360001
"19","2020-10-07",35.740002
"20","2020-10-08",35.68
"21","2020-10-09",37.209999
"22","2020-10-12",38.049999
"23","2020-10-13",36.650002
"24","2020-10-14",36.07
"25","2020-10-15",35.77
"26","2020-10-16",35.779999
"27","2020-10-19",34.799999
"28","2020-10-20",34.630001
"29","2020-10-21",33.57
"30","2020-10-22",34.150002
"31","2020-10-23",34.34
"32","2020-10-26",34.169998
"33","2020-10-27",34.849998
"34","2020-10-28",31.5
"35","2020-10-29",31.889999
"36","2020-10-30",32.029999
"37","2020-11-02",31.24
"38","2020-11-03",32.830002
"39","2020-11-04",34.5
"40","2020-11-05",40.5
"41","2020-11-06",39.43
"42","2020-11-09",38.91
"43","2020-11-10",39.009998
"44","2020-11-11",40.169998
"45","2020-11-12",39.150002
"46","2020-11-13",39.380001
"47","2020-11-16",39.75
"48","2020-11-17",41.799999
"49","2020-11-18",42.990002
"50","2020-11-19",42.75
"51","2020-11-20",45.48
"52","2020-11-23",48.32
"53","2020-11-24",47.650002
"54","2020-11-25",51.169998
"55","2020-11-27",55.700001
