"","date","NBEV"
"1","2014-08-07",1.75
"2","2014-08-08",2
"3","2014-08-11",2.1
"4","2014-08-12",2
"5","2014-08-13",1.9
"6","2014-08-14",2
"7","2014-08-15",1.9
"8","2014-08-18",1.8
"9","2014-08-19",2
"10","2014-08-20",1.8
"11","2014-08-21",1.75
"12","2014-08-22",1.75
"13","2014-08-25",1.57
"14","2014-08-26",1.41
"15","2014-08-27",1.41
"16","2014-08-28",1.01
"17","2014-08-29",1.15
"18","2014-09-02",1.27
"19","2014-09-03",1.28
"20","2014-09-04",1.2
"21","2014-09-05",1.13
"22","2014-09-08",1.06
"23","2014-09-09",1.03
"24","2014-09-10",0.75
"25","2014-09-11",1
"26","2014-09-12",1
"27","2014-09-15",0.95
"28","2014-09-16",0.95
"29","2014-09-17",1
"30","2014-09-18",0.85
"31","2014-09-19",0.9
"32","2014-09-22",0.85
"33","2014-09-23",0.85
"34","2014-09-24",0.8
"35","2014-09-25",0.78
"36","2014-09-26",0.7
"37","2014-09-29",0.75
"38","2014-09-30",0.62
"39","2014-10-01",0.33
"40","2014-10-02",0.35
"41","2014-10-03",0.34
"42","2014-10-06",0.34
"43","2014-10-07",0.3
"44","2014-10-08",0.3
"45","2014-10-09",0.31
"46","2014-10-10",0.33
"47","2014-10-13",0.3
"48","2014-10-14",0.33
"49","2014-10-15",0.34
"50","2014-10-16",0.35
"51","2014-10-17",0.39
"52","2014-10-20",0.39
"53","2014-10-21",0.44
"54","2014-10-22",0.52
"55","2014-10-23",0.52
"56","2014-10-24",0.5
"57","2014-10-27",0.46
"58","2014-10-28",0.49
"59","2014-10-29",0.5
"60","2014-10-30",0.45
"61","2014-10-31",0.46
"62","2014-11-03",0.46
"63","2014-11-04",0.46
"64","2014-11-05",0.46
"65","2014-11-06",0.47
"66","2014-11-07",0.43
"67","2014-11-10",0.41
"68","2014-11-11",0.44
"69","2014-11-12",0.4
"70","2014-11-13",0.46
"71","2014-11-14",0.44
"72","2014-11-17",0.43
"73","2014-11-18",0.4
"74","2014-11-19",0.42
"75","2014-11-20",0.43
"76","2014-11-21",0.43
"77","2014-11-24",0.41
"78","2014-11-25",0.41
"79","2014-11-26",0.44
"80","2014-11-28",0.43
"81","2014-12-01",0.43
"82","2014-12-02",0.43
"83","2014-12-03",0.42
"84","2014-12-04",0.41
"85","2014-12-05",0.4
"86","2014-12-08",0.35
"87","2014-12-09",0.33
"88","2014-12-10",0.37
"89","2014-12-11",0.36
"90","2014-12-12",0.36
"91","2014-12-15",0.36
"92","2014-12-16",0.36
"93","2014-12-17",0.34
"94","2014-12-18",0.34
"95","2014-12-19",0.35
"96","2014-12-22",0.35
"97","2014-12-23",0.34
"98","2014-12-24",0.34
"99","2014-12-26",0.34
"100","2014-12-29",0.35
"101","2014-12-30",0.35
"102","2014-12-31",0.34
"103","2015-01-02",0.33
"104","2015-01-05",0.32
"105","2015-01-06",0.33
"106","2015-01-07",0.35
"107","2015-01-08",0.35
"108","2015-01-09",0.38
"109","2015-01-12",0.38
"110","2015-01-13",0.33
"111","2015-01-14",0.38
"112","2015-01-15",0.38
"113","2015-01-16",0.34
"114","2015-01-20",0.33
"115","2015-01-21",0.33
"116","2015-01-22",0.36
"117","2015-01-23",0.33
"118","2015-01-26",0.33
"119","2015-01-27",0.34
"120","2015-01-28",0.34
"121","2015-01-29",0.31
"122","2015-01-30",0.34
"123","2015-02-02",0.33
"124","2015-02-03",0.31
"125","2015-02-04",0.32
