"","date","NLS"
"1","2007-01-03",14.05
"2","2007-01-04",13.86
"3","2007-01-05",13.98
"4","2007-01-08",15.8
"5","2007-01-09",15.34
"6","2007-01-10",15.22
"7","2007-01-11",15.42
"8","2007-01-12",15.48
"9","2007-01-16",15.58
"10","2007-01-17",15.45
"11","2007-01-18",15.22
"12","2007-01-19",15.55
"13","2007-01-22",15.55
"14","2007-01-23",15.49
"15","2007-01-24",16.24
"16","2007-01-25",15.95
"17","2007-01-26",16.1
"18","2007-01-29",16.139999
"19","2007-01-30",16.129999
"20","2007-01-31",16.309999
"21","2007-02-01",16.41
"22","2007-02-02",16.629999
"23","2007-02-05",16.83
"24","2007-02-06",16.889999
"25","2007-02-07",16.639999
"26","2007-02-08",18.200001
"27","2007-02-09",17.83
"28","2007-02-12",18.1
"29","2007-02-13",18.139999
"30","2007-02-14",18.41
"31","2007-02-15",17.98
"32","2007-02-16",18.040001
"33","2007-02-20",18.02
"34","2007-02-21",18.290001
"35","2007-02-22",18.440001
"36","2007-02-23",18.530001
"37","2007-02-26",18.16
"38","2007-02-27",17.17
"39","2007-02-28",17.23
"40","2007-03-01",17.4
"41","2007-03-02",16.889999
"42","2007-03-05",16.469999
"43","2007-03-06",16.84
"44","2007-03-07",16.950001
"45","2007-03-08",16.950001
"46","2007-03-09",17.32
"47","2007-03-12",16.959999
"48","2007-03-13",16.48
"49","2007-03-14",16.41
"50","2007-03-15",16.799999
"51","2007-03-16",16.83
"52","2007-03-19",16.969999
"53","2007-03-20",17.25
"54","2007-03-21",17.57
"55","2007-03-22",17.120001
"56","2007-03-23",17.4
"57","2007-03-26",17.209999
"58","2007-03-27",17.1
"59","2007-03-28",16.5
"60","2007-03-29",15.73
"61","2007-03-30",15.43
"62","2007-04-02",15.58
"63","2007-04-03",15.24
"64","2007-04-04",15.4
"65","2007-04-05",15.53
"66","2007-04-09",15.81
"67","2007-04-10",16.07
"68","2007-04-11",16.01
"69","2007-04-12",13.67
"70","2007-04-13",14.3
"71","2007-04-16",14.24
"72","2007-04-17",14.19
"73","2007-04-18",14.09
"74","2007-04-19",13.81
"75","2007-04-20",14
"76","2007-04-23",13.98
"77","2007-04-24",13.97
"78","2007-04-25",13.78
"79","2007-04-26",14.5
"80","2007-04-27",14.08
"81","2007-04-30",13.81
"82","2007-05-01",13.89
"83","2007-05-02",14.12
"84","2007-05-03",13.77
"85","2007-05-04",13.75
"86","2007-05-07",13.6
"87","2007-05-08",13.46
"88","2007-05-09",13.45
"89","2007-05-10",13.17
"90","2007-05-11",13.27
"91","2007-05-14",13.45
"92","2007-05-15",13.14
"93","2007-05-16",12.9
"94","2007-05-17",12.94
"95","2007-05-18",12.85
