"","date","TCF"
"1","2007-01-03",33.470001
"2","2007-01-04",32.75
"3","2007-01-05",31.360001
"4","2007-01-08",31.030001
"5","2007-01-09",30.84
"6","2007-01-10",30.440001
"7","2007-01-11",30.620001
"8","2007-01-12",30.629999
"9","2007-01-16",30.51
"10","2007-01-17",30.23
"11","2007-01-18",29.950001
"12","2007-01-19",30.059999
"13","2007-01-22",29.860001
"14","2007-01-23",29.959999
"15","2007-01-24",30.290001
"16","2007-01-25",29.74
"17","2007-01-26",29.879999
"18","2007-01-29",30.110001
"19","2007-01-30",29.799999
"20","2007-01-31",29.799999
"21","2007-02-01",30.059999
"22","2007-02-02",30.120001
"23","2007-02-05",30.1
"24","2007-02-06",30.299999
"25","2007-02-07",30.440001
"26","2007-02-08",30.52
"27","2007-02-09",30.33
"28","2007-02-12",30.58
"29","2007-02-13",30.799999
"30","2007-02-14",30.76
"31","2007-02-15",30.559999
"32","2007-02-16",30.48
"33","2007-02-20",30.879999
"34","2007-02-21",30.620001
"35","2007-02-22",30.629999
"36","2007-02-23",30.309999
"37","2007-02-26",30.15
"38","2007-02-27",29.190001
"39","2007-02-28",29
"40","2007-03-01",28.84
"41","2007-03-02",28.42
"42","2007-03-05",27.9
"43","2007-03-06",28.82
"44","2007-03-07",28.32
"45","2007-03-08",28.309999
"46","2007-03-09",28.469999
"47","2007-03-12",29
"48","2007-03-13",27.639999
"49","2007-03-14",28.17
"50","2007-03-15",28.51
"51","2007-03-16",28.639999
"52","2007-03-19",28.950001
"53","2007-03-20",29.43
"54","2007-03-21",30.1
"55","2007-03-22",30.17
"56","2007-03-23",30.07
"57","2007-03-26",30.02
"58","2007-03-27",29.610001
"59","2007-03-28",29.23
"60","2007-03-29",29.540001
"61","2007-03-30",29.790001
"62","2007-04-02",29.790001
"63","2007-04-03",30.190001
"64","2007-04-04",30.25
"65","2007-04-05",30.18
"66","2007-04-09",29.83
"67","2007-04-10",30.16
"68","2007-04-11",29.51
"69","2007-04-12",29.940001
"70","2007-04-13",30.33
"71","2007-04-16",30.41
"72","2007-04-17",29.77
"73","2007-04-18",28.940001
"74","2007-04-19",28.440001
"75","2007-04-20",28.860001
"76","2007-04-23",28.110001
"77","2007-04-24",28.17
"78","2007-04-25",28.129999
"79","2007-04-26",27.889999
"80","2007-04-27",27.5
"81","2007-04-30",26.73
"82","2007-05-01",27.389999
"83","2007-05-02",27.969999
"84","2007-05-03",27.77
"85","2007-05-04",28.01
"86","2007-05-07",27.84
"87","2007-05-08",27.549999
"88","2007-05-09",27.76
"89","2007-05-10",26.879999
"90","2007-05-11",27.51
"91","2007-05-14",27.129999
"92","2007-05-15",26.59
"93","2007-05-16",26.92
"94","2007-05-17",26.51
"95","2007-05-18",26.6
"96","2007-05-21",26.75
"97","2007-05-22",27.02
"98","2007-05-23",27.030001
"99","2007-05-24",26.690001
"100","2007-05-25",26.84
"101","2007-05-29",27.18
"102","2007-05-30",26.92
"103","2007-05-31",26.889999
"104","2007-06-01",27.299999
"105","2007-06-04",27.4
"106","2007-06-05",27.129999
"107","2007-06-06",26.93
"108","2007-06-07",26.43
"109","2007-06-08",26.91
"110","2007-06-11",26.4
"111","2007-06-12",25.76
"112","2007-06-13",26.709999
"113","2007-06-14",26.57
"114","2007-06-15",27.9
"115","2007-06-18",28.07
"116","2007-06-19",27.48
"117","2007-06-20",26.959999
"118","2007-06-21",26.690001
"119","2007-06-22",26.200001
"120","2007-06-25",25.9
"121","2007-06-26",26.219999
"122","2007-06-27",26.889999
"123","2007-06-28",26.26
"124","2007-06-29",25.870001
"125","2007-07-02",25.940001
"126","2007-07-03",26.15
"127","2007-07-05",26.18
"128","2007-07-06",26.15
"129","2007-07-09",25.690001
"130","2007-07-10",24.700001
"131","2007-07-11",24.82
"132","2007-07-12",25.42
"133","2007-07-13",25.18
"134","2007-07-16",24.77
"135","2007-07-17",24.690001
"136","2007-07-18",24.57
"137","2007-07-19",24.76
"138","2007-07-20",24.780001
"139","2007-07-23",24.190001
"140","2007-07-24",22.33
"141","2007-07-25",22.030001
"142","2007-07-26",22.01
"143","2007-07-27",21.940001
"144","2007-07-30",22.379999
"145","2007-07-31",21.780001
"146","2007-08-01",22.389999
"147","2007-08-02",22.82
"148","2007-08-03",21.389999
"149","2007-08-06",22.91
"150","2007-08-07",23.43
"151","2007-08-08",24.65
"152","2007-08-09",24.93
"153","2007-08-10",24.07
"154","2007-08-13",24.040001
"155","2007-08-14",22.93
"156","2007-08-15",22.75
"157","2007-08-16",26.15
"158","2007-08-17",27.690001
"159","2007-08-20",27.35
"160","2007-08-21",27.42
"161","2007-08-22",27
"162","2007-08-23",26.530001
"163","2007-08-24",26.74
"164","2007-08-27",25.639999
"165","2007-08-28",24.690001
"166","2007-08-29",25.309999
"167","2007-08-30",25.110001
"168","2007-08-31",25.32
"169","2007-09-04",25.540001
