"","date","PVAC"
"1","2016-11-16",39
"2","2016-11-17",36.990002
"3","2016-11-18",39.75
"4","2016-11-21",40
"5","2016-11-22",41
"6","2016-11-23",41
"7","2016-11-25",41
"8","2016-11-28",43
"9","2016-11-29",41.25
"10","2016-11-30",43
"11","2016-12-01",42.5
"12","2016-12-02",42.5
"13","2016-12-05",44.5
"14","2016-12-06",43.099998
"15","2016-12-07",43.5
"16","2016-12-08",46
"17","2016-12-09",47
"18","2016-12-12",48
"19","2016-12-13",48.25
"20","2016-12-14",46
"21","2016-12-15",47.400002
"22","2016-12-16",46.740002
"23","2016-12-19",46.75
"24","2016-12-20",46.5
"25","2016-12-21",45
"26","2016-12-22",45.25
"27","2016-12-23",45.25
"28","2016-12-27",45.450001
"29","2016-12-28",48
"30","2016-12-29",48
"31","2016-12-30",49
"32","2017-01-03",57.900002
"33","2017-01-04",53
"34","2017-01-05",52
"35","2017-01-06",52.25
"36","2017-01-09",52
"37","2017-01-10",50.748001
"38","2017-01-11",52
"39","2017-01-12",52
"40","2017-01-13",52
"41","2017-01-17",52
"42","2017-01-18",49.900002
"43","2017-01-19",51.799999
"44","2017-01-20",51.73
"45","2017-01-23",51.939999
"46","2017-01-24",50.98
"47","2017-01-25",51
"48","2017-01-26",50.360001
"49","2017-01-27",49.900002
"50","2017-01-30",50.400002
"51","2017-01-31",51
"52","2017-02-01",48.98
"53","2017-02-02",49
"54","2017-02-03",49
"55","2017-02-06",49.25
"56","2017-02-07",48.889999
"57","2017-02-08",49
"58","2017-02-09",49.5
"59","2017-02-10",49
"60","2017-02-13",49
"61","2017-02-14",49.470001
"62","2017-02-15",49.040001
"63","2017-02-16",49
"64","2017-02-17",49.720001
"65","2017-02-21",48.98
"66","2017-02-22",49
"67","2017-02-23",49.220001
"68","2017-02-24",49
"69","2017-02-27",49.189999
"70","2017-02-28",48.75
"71","2017-03-01",49
"72","2017-03-02",48.82
"73","2017-03-03",49.080002
"74","2017-03-06",49
"75","2017-03-07",48.669998
"76","2017-03-08",49
"77","2017-03-09",47.695
"78","2017-03-10",47.27
"79","2017-03-13",44.035
"80","2017-03-14",43.939999
"81","2017-03-15",45.599998
"82","2017-03-16",47.84
"83","2017-03-17",44.799999
"84","2017-03-20",43.59
"85","2017-03-21",44
"86","2017-03-22",43
"87","2017-03-23",42.73
"88","2017-03-24",42.700001
"89","2017-03-27",44
"90","2017-03-28",43.959999
"91","2017-03-29",44.950001
"92","2017-03-30",44.439999
"93","2017-03-31",45.25
"94","2017-04-03",46.189999
"95","2017-04-04",46.5
"96","2017-04-05",47
"97","2017-04-06",46.5
"98","2017-04-07",48.830002
"99","2017-04-10",48.25
"100","2017-04-11",46.900002
"101","2017-04-12",46.98
"102","2017-04-13",46.959999
"103","2017-04-17",46.990002
"104","2017-04-18",46.5
"105","2017-04-19",44.990002
"106","2017-04-20",42.75
"107","2017-04-21",42.75
"108","2017-04-24",42.639999
"109","2017-04-25",42.419998
"110","2017-04-26",41.5
"111","2017-04-27",39.950001
"112","2017-04-28",39.59
"113","2017-05-01",38.990002
"114","2017-05-02",39.264999
"115","2017-05-03",40.700001
"116","2017-05-04",38.900002
"117","2017-05-05",42.07
"118","2017-05-08",44.049999
"119","2017-05-09",42.700001
"120","2017-05-10",43.599998
"121","2017-05-11",42.950001
"122","2017-05-12",43.799999
"123","2017-05-15",44
"124","2017-05-16",44.25
"125","2017-05-17",43.610001
"126","2017-05-18",43.200001
"127","2017-05-19",44.029999
"128","2017-05-22",44.450001
"129","2017-05-23",44.169998
"130","2017-05-24",44.290001
"131","2017-05-25",44.25
"132","2017-05-26",43.43
"133","2017-05-30",44.799999
"134","2017-05-31",42.799999
"135","2017-06-01",43.5
"136","2017-06-02",44.02
"137","2017-06-05",44.25
"138","2017-06-06",44.150002
"139","2017-06-07",42.82
"140","2017-06-08",43.419998
