"","date","ORGO"
"231","2017-12-04",9.85
"232","2017-12-05",9.83
"233","2017-12-06",9.88
"234","2017-12-07",9.85
"235","2017-12-08",9.98
"236","2017-12-11",9.45
"237","2017-12-12",9.84
"238","2017-12-13",9.84
"239","2017-12-14",9.85
"240","2017-12-15",9.83
"241","2017-12-18",9.83
"242","2017-12-19",9.83
"243","2017-12-20",9.77
"244","2017-12-21",9.887
"245","2017-12-22",9.887
"246","2017-12-26",9.887
"247","2017-12-27",9.887
"248","2017-12-28",9.74
"249","2017-12-29",9.92
"250","2018-01-02",9.91
"251","2018-01-03",9.94
"252","2018-01-04",9.94
"253","2018-01-05",9.97
"254","2018-01-08",9.94
"255","2018-01-09",9.94
"256","2018-01-10",9.97
"257","2018-01-11",9.98
"258","2018-01-12",9.98
"259","2018-01-16",9.9
"260","2018-01-17",9.9
"261","2018-01-18",9.91
"262","2018-01-19",9.92
"263","2018-01-22",9.98
"264","2018-01-23",10.03
"265","2018-01-24",10.03
"266","2018-01-25",10.07
"267","2018-01-26",10.04
"268","2018-01-29",10.04
"269","2018-01-30",9.95
"270","2018-01-31",9.95
"271","2018-02-01",9.95
"272","2018-02-02",10.04
"273","2018-02-05",10.04
"274","2018-02-06",10.05
"275","2018-02-07",10.05
"276","2018-02-08",10.04
"277","2018-02-09",9.96
"278","2018-02-12",9.9
"279","2018-02-13",9.9
"280","2018-02-14",9.92
"281","2018-02-15",9.92
"282","2018-02-16",9.92
"283","2018-02-20",9.92
"284","2018-02-21",9.92
"285","2018-02-22",9.92
"286","2018-02-23",9.9
"287","2018-02-26",9.9
"288","2018-02-27",9.89
"289","2018-02-28",9.89
"290","2018-03-01",9.89
"291","2018-03-02",9.9
"292","2018-03-05",9.9
"293","2018-03-06",9.9
"294","2018-03-07",9.9
"295","2018-03-08",9.89
"296","2018-03-09",9.9
"297","2018-03-12",9.9
"298","2018-03-13",9.9
"299","2018-03-14",9.9
"300","2018-03-15",9.9
"301","2018-03-16",9.91
"302","2018-03-19",10
"303","2018-03-20",10
"304","2018-03-21",10
"305","2018-03-22",10
"306","2018-03-23",10
"307","2018-03-26",10
"308","2018-03-27",10
"309","2018-03-28",10
"310","2018-03-29",10
"311","2018-04-02",10
"312","2018-04-03",10
"313","2018-04-04",10
"314","2018-04-05",10
"315","2018-04-06",10
"316","2018-04-09",10
"317","2018-04-10",9.99
"318","2018-04-11",9.9
"319","2018-04-12",9.9
"320","2018-04-13",9.9
"321","2018-04-16",10
"322","2018-04-17",9.9
"323","2018-04-18",10
"324","2018-04-19",9.93
"325","2018-04-20",10.02
"326","2018-04-23",10
"327","2018-04-24",10.05
"328","2018-04-25",10.02
"329","2018-04-26",10.02
"330","2018-04-27",9.99
"331","2018-04-30",9.99
"332","2018-05-01",9.99
"333","2018-05-02",9.99
"334","2018-05-03",9.99
"335","2018-05-04",9.99
"336","2018-05-07",9.99
"337","2018-05-08",9.99
"338","2018-05-09",9.99
"339","2018-05-10",9.99
"340","2018-05-11",9.992
"341","2018-05-14",10.03
"342","2018-05-15",10.03
"343","2018-05-16",10.03
"344","2018-05-17",10
"345","2018-05-18",10
"346","2018-05-21",10
"347","2018-05-22",10
"348","2018-05-23",10
"349","2018-05-24",10
"350","2018-05-25",10
"351","2018-05-29",10.015
"352","2018-05-30",10
"353","2018-05-31",10
"354","2018-06-01",10
"355","2018-06-04",10.02
"356","2018-06-05",10.02
"357","2018-06-06",10.02
"358","2018-06-07",10.02
"359","2018-06-08",10.02
"360","2018-06-11",10.02
"361","2018-06-12",10.02
"362","2018-06-13",10.026
"363","2018-06-14",10.03
"364","2018-06-15",10.04
"365","2018-06-18",10.05
"366","2018-06-19",10.08
"367","2018-06-20",10.03
"368","2018-06-21",10.031
"369","2018-06-22",10.05
"370","2018-06-25",10.037
"371","2018-06-26",10.05
"372","2018-06-27",10.04
"373","2018-06-28",10.03
"374","2018-06-29",10.03
"375","2018-07-02",10.01
"376","2018-07-03",10.04
"377","2018-07-05",10.04
"378","2018-07-06",10.05
"379","2018-07-09",10.05
"380","2018-07-10",10.05
"381","2018-07-11",10.06
"382","2018-07-12",10.05
"383","2018-07-13",10.05
"384","2018-07-16",10.07
"385","2018-07-17",10.08
"386","2018-07-18",10.07
"387","2018-07-19",10.06
"388","2018-07-20",10.06
"389","2018-07-23",10.06
"390","2018-07-24",10.06
"391","2018-07-25",10.06
"392","2018-07-26",10.07
"393","2018-07-27",10.05
"394","2018-07-30",10.05
"395","2018-07-31",10.1
"396","2018-08-01",10.1
"397","2018-08-02",10.1
"398","2018-08-03",10.1
"399","2018-08-06",10.1
"400","2018-08-07",10.1
"401","2018-08-08",10.13
"402","2018-08-09",10.13
"403","2018-08-10",10.12
"404","2018-08-13",10.12
"405","2018-08-14",10.12
"406","2018-08-15",10.12
"407","2018-08-16",10.12
"408","2018-08-17",10.108
"409","2018-08-20",10.08
"410","2018-08-21",10.09
"411","2018-08-22",10.1
"412","2018-08-23",10.1
"413","2018-08-24",10.1
"414","2018-08-27",10.1
