"","date","DOYU"
"1","2019-07-17",11.5
"2","2019-07-18",11.05
"3","2019-07-19",10.5
"4","2019-07-22",10.05
"5","2019-07-23",10.38
"6","2019-07-24",10.2
"7","2019-07-25",9.72
"8","2019-07-26",10.08
"9","2019-07-29",10.08
"10","2019-07-30",10.02
"11","2019-07-31",9.77
"12","2019-08-01",9.33
"13","2019-08-02",8.8
"14","2019-08-05",8.18
"15","2019-08-06",7.84
"16","2019-08-07",8.39
"17","2019-08-08",9.22
"18","2019-08-09",9.56
"19","2019-08-12",9.93
"20","2019-08-13",8.84
"21","2019-08-14",8.14
"22","2019-08-15",8.31
"23","2019-08-16",8.7
"24","2019-08-19",8.45
"25","2019-08-20",8.31
"26","2019-08-21",8.22
"27","2019-08-22",8.2
"28","2019-08-23",8.07
"29","2019-08-26",8.35
"30","2019-08-27",8.64
"31","2019-08-28",8.82
"32","2019-08-29",9.2
"33","2019-08-30",9.46
"34","2019-09-03",9.35
"35","2019-09-04",9.98
"36","2019-09-05",9.97
"37","2019-09-06",9.96
"38","2019-09-09",9.78
"39","2019-09-10",9.75
"40","2019-09-11",9.57
"41","2019-09-12",9.39
"42","2019-09-13",9.5
"43","2019-09-16",9.33
"44","2019-09-17",9.02
"45","2019-09-18",9.04
"46","2019-09-19",9.16
"47","2019-09-20",9.5
"48","2019-09-23",9.06
"49","2019-09-24",8.78
"50","2019-09-25",8.75
"51","2019-09-26",8.61
"52","2019-09-27",8.19
"53","2019-09-30",8.19
"54","2019-10-01",8.19
"55","2019-10-02",8.12
"56","2019-10-03",8.24
"57","2019-10-04",8.51
"58","2019-10-07",8.11
"59","2019-10-08",7.93
"60","2019-10-09",8.01
"61","2019-10-10",8.11
"62","2019-10-11",8.53
"63","2019-10-14",7.66
"64","2019-10-15",7.47
"65","2019-10-16",7.12
"66","2019-10-17",7.37
"67","2019-10-18",7.54
"68","2019-10-21",7.57
"69","2019-10-22",7.33
"70","2019-10-23",7.81
"71","2019-10-24",7.75
"72","2019-10-25",7.9
"73","2019-10-28",7.88
"74","2019-10-29",7.76
"75","2019-10-30",7.91
"76","2019-10-31",7.77
"77","2019-11-01",7.76
"78","2019-11-04",8.28
"79","2019-11-05",8.25
"80","2019-11-06",7.8
"81","2019-11-07",7.98
"82","2019-11-08",8.03
"83","2019-11-11",7.78
"84","2019-11-12",7.39
"85","2019-11-13",7.31
"86","2019-11-14",7.22
"87","2019-11-15",7.52
"88","2019-11-18",7.65
"89","2019-11-19",7.66
"90","2019-11-20",7.3
"91","2019-11-21",7.34
"92","2019-11-22",7.59
"93","2019-11-25",7.7
"94","2019-11-26",7.65
"95","2019-11-27",7.84
"96","2019-11-29",7.46
"97","2019-12-02",7.51
"98","2019-12-03",7.2
"99","2019-12-04",7.3
"100","2019-12-05",7.16
"101","2019-12-06",7.18
"102","2019-12-09",7.12
"103","2019-12-10",7.32
"104","2019-12-11",7.71
"105","2019-12-12",8.09
"106","2019-12-13",8.03
"107","2019-12-16",7.63
"108","2019-12-17",7.62
"109","2019-12-18",7.7
"110","2019-12-19",7.74
"111","2019-12-20",7.87
"112","2019-12-23",8.06
"113","2019-12-24",8.08
"114","2019-12-26",8.5
"115","2019-12-27",8.15
"116","2019-12-30",8.36
"117","2019-12-31",8.47
"118","2020-01-02",8.85
"119","2020-01-03",8.78
"120","2020-01-06",8.98
"121","2020-01-07",8.99
"122","2020-01-08",9.36
"123","2020-01-09",9.21
"124","2020-01-10",9.35
"125","2020-01-13",9.36
"126","2020-01-14",8.92
"127","2020-01-15",8.94
"128","2020-01-16",9.11
"129","2020-01-17",9.37
"130","2020-01-21",8.59
"131","2020-01-22",7.6
"132","2020-01-23",7.935
"133","2020-01-24",7.72
"134","2020-01-27",7.6
"135","2020-01-28",7.99
"136","2020-01-29",8
"137","2020-01-30",8.08
"138","2020-01-31",8.09
"139","2020-02-03",8.25
"140","2020-02-04",8.14
"141","2020-02-05",8.02
"142","2020-02-06",8.28
"143","2020-02-07",8.59
"144","2020-02-10",8.85
"145","2020-02-11",8.5
"146","2020-02-12",8.53
"147","2020-02-13",8.45
"148","2020-02-14",8.76
"149","2020-02-18",8.33
"150","2020-02-19",8.09
"151","2020-02-20",8.16
"152","2020-02-21",8.07
"153","2020-02-24",7.9
"154","2020-02-25",7.9
"155","2020-02-26",7.98
"156","2020-02-27",7.79
"157","2020-02-28",7.77
"158","2020-03-02",7.8
"159","2020-03-03",7.98
"160","2020-03-04",8.16
"161","2020-03-05",8.02
"162","2020-03-06",7.56
"163","2020-03-09",7.45
"164","2020-03-10",7.6
"165","2020-03-11",7.29
"166","2020-03-12",6.91
"167","2020-03-13",7.71
"168","2020-03-16",7.37
"169","2020-03-17",7.87
"170","2020-03-18",7.73
"171","2020-03-19",8.04
"172","2020-03-20",7.25
"173","2020-03-23",7
"174","2020-03-24",6.69
"175","2020-03-25",6.67
"176","2020-03-26",6.86
"177","2020-03-27",6.61
"178","2020-03-30",6.24
"179","2020-03-31",6.41
"180","2020-04-01",6.27
"181","2020-04-02",6.55
"182","2020-04-03",7.16
"183","2020-04-06",7.47
"184","2020-04-07",7.32
"185","2020-04-08",7
"186","2020-04-09",7.3
"187","2020-04-13",7.22
"188","2020-04-14",7.32
"189","2020-04-15",7.23
"190","2020-04-16",7.33
"191","2020-04-17",7.54
"192","2020-04-20",7.6
"193","2020-04-21",7
"194","2020-04-22",7.25
"195","2020-04-23",7.08
"196","2020-04-24",7.27
"197","2020-04-27",7.56
"198","2020-04-28",7.26
"199","2020-04-29",7.48
"200","2020-04-30",7.59
"201","2020-05-01",7
"202","2020-05-04",7
"203","2020-05-05",7.07
"204","2020-05-06",7.17
"205","2020-05-07",7.16
"206","2020-05-08",7.46
"207","2020-05-11",7.49
"208","2020-05-12",7.7
"209","2020-05-13",7.3
"210","2020-05-14",7.26
"211","2020-05-15",7.6
"212","2020-05-18",7.5
"213","2020-05-19",7.75
"214","2020-05-20",8.13
"215","2020-05-21",7.61
"216","2020-05-22",6.91
"217","2020-05-26",8.2
"218","2020-05-27",8.13
"219","2020-05-28",8.99
"220","2020-05-29",9
"221","2020-06-01",9
"222","2020-06-02",8.92
"223","2020-06-03",9.42
"224","2020-06-04",9.2
"225","2020-06-05",9.12
"226","2020-06-08",9.07
"227","2020-06-09",8.94
"228","2020-06-10",8.91
"229","2020-06-11",8.99
"230","2020-06-12",8.98
"231","2020-06-15",9.53
"232","2020-06-16",10.53
"233","2020-06-17",10.67
"234","2020-06-18",10.84
"235","2020-06-19",11.07
"236","2020-06-22",11.16
"237","2020-06-23",11.46
"238","2020-06-24",10.54
"239","2020-06-25",11.1
"240","2020-06-26",11.16
"241","2020-06-29",11.82
"242","2020-06-30",11.54
"243","2020-07-01",11.57
"244","2020-07-02",11.91
"245","2020-07-06",12.44
"246","2020-07-07",12.73
"247","2020-07-08",12.98
"248","2020-07-09",13.65
"249","2020-07-10",13.34
"250","2020-07-13",12.95
"251","2020-07-14",12.72
"252","2020-07-15",12.32
"253","2020-07-16",12.05
"254","2020-07-17",12.02
"255","2020-07-20",12.8
"256","2020-07-21",13.44
"257","2020-07-22",12.23
"258","2020-07-23",11.62
"259","2020-07-24",11.48
"260","2020-07-27",11.77
"261","2020-07-28",11.79
"262","2020-07-29",12.55
"263","2020-07-30",13.14
"264","2020-07-31",13.46
"265","2020-08-03",14.67
"266","2020-08-04",14.79
"267","2020-08-05",15.68
"268","2020-08-06",15.92
"269","2020-08-07",15.27
"270","2020-08-10",13.97
"271","2020-08-11",14.43
"272","2020-08-12",14.79
"273","2020-08-13",14.5
"274","2020-08-14",14.64
"275","2020-08-17",14.58
"276","2020-08-18",14.96
"277","2020-08-19",14.9
"278","2020-08-20",14.7
"279","2020-08-21",14.64
"280","2020-08-24",15.66
"281","2020-08-25",15.89
"282","2020-08-26",16.18
"283","2020-08-27",16.299999
"284","2020-08-28",16.690001
"285","2020-08-31",16.74
"286","2020-09-01",17.540001
"287","2020-09-02",16.940001
"288","2020-09-03",15.37
"289","2020-09-04",15.73
"290","2020-09-08",15.41
"291","2020-09-09",16.07
"292","2020-09-10",15.42
"293","2020-09-11",15.81
"294","2020-09-14",16.120001
"295","2020-09-15",16.360001
"296","2020-09-16",16.34
"297","2020-09-17",16.33
"298","2020-09-18",16.030001
"299","2020-09-21",15.22
"300","2020-09-22",14.88
"301","2020-09-23",14.45
"302","2020-09-24",14.29
"303","2020-09-25",14.16
"304","2020-09-28",13.96
"305","2020-09-29",13.45
"306","2020-09-30",13.21
"307","2020-10-01",13.85
"308","2020-10-02",13.99
"309","2020-10-05",13.29
"310","2020-10-06",13.22
"311","2020-10-07",13.23
"312","2020-10-08",13.44
"313","2020-10-09",14
"314","2020-10-12",15.68
"315","2020-10-13",15.39
"316","2020-10-14",15.22
"317","2020-10-15",15.22
"318","2020-10-16",15.28
"319","2020-10-19",15.88
"320","2020-10-20",15.18
"321","2020-10-21",15.1
"322","2020-10-22",14.7
"323","2020-10-23",15.07
"324","2020-10-26",14.71
"325","2020-10-27",15.23
"326","2020-10-28",14.29
"327","2020-10-29",15.13
"328","2020-10-30",15.3
"329","2020-11-02",15.08
"330","2020-11-03",15.13
"331","2020-11-04",15.38
"332","2020-11-05",15.35
"333","2020-11-06",14.91
"334","2020-11-09",14.28
"335","2020-11-10",13.61
"336","2020-11-11",13.8
"337","2020-11-12",14.09
"338","2020-11-13",14.21
"339","2020-11-16",14.13
"340","2020-11-17",14.25
"341","2020-11-18",13.57
"342","2020-11-19",13.59
"343","2020-11-20",13.83
"344","2020-11-23",13.99
"345","2020-11-24",14
"346","2020-11-25",13.99
"347","2020-11-27",13.97
