"","date","VRCA"
"1","2018-06-15",17.5
"2","2018-06-18",18.5
"3","2018-06-19",19.57
"4","2018-06-20",20.24
"5","2018-06-21",20.059999
"6","2018-06-22",20.030001
"7","2018-06-25",20.337
"8","2018-06-26",20.25
"9","2018-06-27",19.66
"10","2018-06-28",19.6
"11","2018-06-29",19.73
"12","2018-07-02",19.879999
"13","2018-07-03",19.65
"14","2018-07-05",19.77
"15","2018-07-06",19.82
"16","2018-07-09",19.790001
"17","2018-07-10",18.540001
"18","2018-07-11",18.639999
"19","2018-07-12",18.65
"20","2018-07-13",18.870001
"21","2018-07-16",18.42
"22","2018-07-17",18.309999
"23","2018-07-18",18.4
"24","2018-07-19",18.424999
"25","2018-07-20",18.450001
"26","2018-07-23",18.6
"27","2018-07-24",18.709999
"28","2018-07-25",18.25
"29","2018-07-26",17.6
"30","2018-07-27",17.68
"31","2018-07-30",17.6
"32","2018-07-31",17.4
"33","2018-08-01",16.33
"34","2018-08-02",14.31
"35","2018-08-03",13.94
"36","2018-08-06",14.7
"37","2018-08-07",14.36
"38","2018-08-08",14.57
"39","2018-08-09",15.2
"40","2018-08-10",15.1
"41","2018-08-13",15
"42","2018-08-14",16.18
"43","2018-08-15",16.139999
"44","2018-08-16",16.1
"45","2018-08-17",16.85
"46","2018-08-20",17.200001
"47","2018-08-21",17.25
"48","2018-08-22",17.74
"49","2018-08-23",17.5
"50","2018-08-24",17.59
"51","2018-08-27",17.35
"52","2018-08-28",17.950001
"53","2018-08-29",17.16
"54","2018-08-30",17.4
"55","2018-08-31",17.6
"56","2018-09-04",16.450001
"57","2018-09-05",15.96
"58","2018-09-06",16.73
"59","2018-09-07",16.65
"60","2018-09-10",16.4
"61","2018-09-11",16.209999
"62","2018-09-12",16.370001
"63","2018-09-13",16.59
"64","2018-09-14",16.42
"65","2018-09-17",16.360001
"66","2018-09-18",16.459999
"67","2018-09-19",17.200001
"68","2018-09-20",16.49
"69","2018-09-21",16.32
"70","2018-09-24",16.15
"71","2018-09-25",15.7
"72","2018-09-26",16
"73","2018-09-27",16.32
"74","2018-09-28",16.25
"75","2018-10-01",16.120001
"76","2018-10-02",15.93
"77","2018-10-03",15.93
"78","2018-10-04",14.96
"79","2018-10-05",13.99
"80","2018-10-08",14.15
"81","2018-10-09",14.33
"82","2018-10-10",14.05
"83","2018-10-11",13.21
"84","2018-10-12",13.95
"85","2018-10-15",13.92
"86","2018-10-16",13.92
"87","2018-10-17",13.5
"88","2018-10-18",13.81
"89","2018-10-19",13.79
"90","2018-10-22",13.24
"91","2018-10-23",13.14
"92","2018-10-24",12.66
"93","2018-10-25",12.95
"94","2018-10-26",12.51
"95","2018-10-29",13.02
"96","2018-10-30",12.96
"97","2018-10-31",13.2
"98","2018-11-01",13.35
"99","2018-11-02",13.36
"100","2018-11-05",13.43
"101","2018-11-06",13.26
"102","2018-11-07",13.34
"103","2018-11-08",12.76
"104","2018-11-09",11.99
"105","2018-11-12",14
"106","2018-11-13",15.23
"107","2018-11-14",13.57
"108","2018-11-15",13.64
"109","2018-11-16",13.45
"110","2018-11-19",13.26
"111","2018-11-20",12.34
"112","2018-11-21",12.05
"113","2018-11-23",12.24
"114","2018-11-26",11.7
"115","2018-11-27",11.36
"116","2018-11-28",11.68
"117","2018-11-29",11.62
"118","2018-11-30",12
"119","2018-12-03",11.79
"120","2018-12-04",10.86
"121","2018-12-06",10.25
"122","2018-12-07",10.25
"123","2018-12-10",10.21
"124","2018-12-11",10
"125","2018-12-12",10.34
"126","2018-12-13",10.22
"127","2018-12-14",10.04
"128","2018-12-17",9.6
"129","2018-12-18",8.78
"130","2018-12-19",8.48
"131","2018-12-20",7.34
"132","2018-12-21",6.75
"133","2018-12-24",6.85
"134","2018-12-26",9.13
"135","2018-12-27",8.33
"136","2018-12-28",8.78
"137","2018-12-31",8.15
"138","2019-01-02",7.95
"139","2019-01-03",8.5
"140","2019-01-04",9.92
"141","2019-01-07",11.54
"142","2019-01-08",10.47
"143","2019-01-09",11.75
"144","2019-01-10",11.5
"145","2019-01-11",11.01
"146","2019-01-14",10.45
"147","2019-01-15",10.47
"148","2019-01-16",10.48
"149","2019-01-17",10.3
"150","2019-01-18",10.42
"151","2019-01-22",9.89
"152","2019-01-23",10.35
"153","2019-01-24",10.34
"154","2019-01-25",11.07
"155","2019-01-28",11.11
"156","2019-01-29",11.61
"157","2019-01-30",12.01
"158","2019-01-31",11.97
"159","2019-02-01",12.27
"160","2019-02-04",12.93
"161","2019-02-05",13.5
"162","2019-02-06",13.5
"163","2019-02-07",13.51
"164","2019-02-08",14.07
"165","2019-02-11",12.99
"166","2019-02-12",12.73
"167","2019-02-13",12.37
"168","2019-02-14",11.97
"169","2019-02-15",12.71
"170","2019-02-19",11.09
"171","2019-02-20",11.12
"172","2019-02-21",11.09
"173","2019-02-22",10.82
"174","2019-02-25",11.01
"175","2019-02-26",10.77
"176","2019-02-27",10.86
"177","2019-02-28",11.32
"178","2019-03-01",12.11
"179","2019-03-04",12.66
"180","2019-03-05",12.7
"181","2019-03-06",11.87
"182","2019-03-07",11.76
"183","2019-03-08",10.98
"184","2019-03-11",11
"185","2019-03-12",12
"186","2019-03-13",12.57
"187","2019-03-14",13.02
"188","2019-03-15",12.9
"189","2019-03-18",12.3
"190","2019-03-19",12.78
"191","2019-03-20",12.07
"192","2019-03-21",12.29
"193","2019-03-22",11.54
"194","2019-03-25",11.25
"195","2019-03-26",11.09
"196","2019-03-27",10.95
"197","2019-03-28",11.3
"198","2019-03-29",10.81
"199","2019-04-01",10.34
"200","2019-04-02",10.23
"201","2019-04-03",10.49
"202","2019-04-04",10.35
"203","2019-04-05",10.92
"204","2019-04-08",10.94
"205","2019-04-09",10
"206","2019-04-10",9.99
"207","2019-04-11",10.35
"208","2019-04-12",10.48
"209","2019-04-15",10.31
"210","2019-04-16",10.33
"211","2019-04-17",10.58
"212","2019-04-18",10.64
"213","2019-04-22",9.6
"214","2019-04-23",9.92
"215","2019-04-24",10.01
"216","2019-04-25",9.56
"217","2019-04-26",9.99
"218","2019-04-29",9.99
"219","2019-04-30",10
"220","2019-05-01",9.8
"221","2019-05-02",9.645
"222","2019-05-03",9.46
"223","2019-05-06",9.41
"224","2019-05-07",9.05
"225","2019-05-08",9.5
"226","2019-05-09",9.37
"227","2019-05-10",9.1
"228","2019-05-13",9.15
"229","2019-05-14",9.43
"230","2019-05-15",9.25
"231","2019-05-16",9.12
"232","2019-05-17",8.8
"233","2019-05-20",8.79
"234","2019-05-21",8.9
"235","2019-05-22",8.71
"236","2019-05-23",8.95
