"","date","OPTN"
"1","2017-10-13",19
"2","2017-10-16",19.610001
"3","2017-10-17",19.219999
"4","2017-10-18",19.139999
"5","2017-10-19",19
"6","2017-10-20",19.01
"7","2017-10-23",19.040001
"8","2017-10-24",19.1
"9","2017-10-25",19.91
"10","2017-10-26",19.99
"11","2017-10-27",20.299999
"12","2017-10-30",20.01
"13","2017-10-31",20.16
"14","2017-11-01",19.709999
"15","2017-11-02",19.889999
"16","2017-11-03",20.08
"17","2017-11-06",20.76
"18","2017-11-07",19.02
"19","2017-11-08",19
"20","2017-11-09",17.34
"21","2017-11-10",17.32
"22","2017-11-13",16.85
"23","2017-11-14",15.2
"24","2017-11-15",16.120001
"25","2017-11-16",15.93
"26","2017-11-17",15.75
"27","2017-11-20",16.58
"28","2017-11-21",16.85
"29","2017-11-22",18.459999
"30","2017-11-24",20.02
"31","2017-11-27",19.219999
"32","2017-11-28",18.870001
"33","2017-11-29",18.92
"34","2017-11-30",19.09
"35","2017-12-01",18.530001
"36","2017-12-04",18.98
"37","2017-12-05",18.73
"38","2017-12-06",18.6
"39","2017-12-07",17.93
"40","2017-12-08",18.139999
"41","2017-12-11",18.99
"42","2017-12-12",17
"43","2017-12-13",18.66
"44","2017-12-14",18.809999
"45","2017-12-15",18.950001
"46","2017-12-18",19.49
"47","2017-12-19",19.200001
"48","2017-12-20",19.4
"49","2017-12-21",19.889999
"50","2017-12-22",19.76
"51","2017-12-26",19.610001
"52","2017-12-27",19.34
"53","2017-12-28",19.5
"54","2017-12-29",18.9
"55","2018-01-02",19.07
"56","2018-01-03",18.620001
"57","2018-01-04",17.42
"58","2018-01-05",17.200001
"59","2018-01-08",17.68
"60","2018-01-09",18.02
"61","2018-01-10",18.59
"62","2018-01-11",19.67
"63","2018-01-12",19.870001
"64","2018-01-16",19.360001
"65","2018-01-17",19.1
"66","2018-01-18",19.15
"67","2018-01-19",19.25
"68","2018-01-22",19.27
"69","2018-01-23",19.27
"70","2018-01-24",19.66
"71","2018-01-25",19.35
"72","2018-01-26",19.98
"73","2018-01-29",20.82
"74","2018-01-30",19.709999
"75","2018-01-31",18.950001
"76","2018-02-01",18.74
"77","2018-02-02",18.41
"78","2018-02-05",17.969999
"79","2018-02-06",18
"80","2018-02-07",18.41
"81","2018-02-08",18.440001
"82","2018-02-09",17.26
"83","2018-02-12",17.35
"84","2018-02-13",16.9
"85","2018-02-14",16.700001
"86","2018-02-15",16.42
"87","2018-02-16",16.209999
"88","2018-02-20",15.91
"89","2018-02-21",17.870001
"90","2018-02-22",17.59
"91","2018-02-23",17.309999
"92","2018-02-26",17.41
"93","2018-02-27",17.549999
"94","2018-02-28",17.709999
"95","2018-03-01",17.52
"96","2018-03-02",17.860001
"97","2018-03-05",17.870001
"98","2018-03-06",17.870001
"99","2018-03-07",18.17
"100","2018-03-08",17.41
"101","2018-03-09",17.690001
"102","2018-03-12",17.360001
"103","2018-03-13",17.110001
"104","2018-03-14",18.32
"105","2018-03-15",18.09
"106","2018-03-16",19.940001
"107","2018-03-19",19.959999
"108","2018-03-20",18.51
"109","2018-03-21",19.76
"110","2018-03-22",19.5
"111","2018-03-23",20
"112","2018-03-26",20.75
"113","2018-03-27",20.389999
"114","2018-03-28",20.219999
"115","2018-03-29",20.02
"116","2018-04-02",19.280001
"117","2018-04-03",19.540001
"118","2018-04-04",19
"119","2018-04-05",18.75
"120","2018-04-06",19.299999
"121","2018-04-09",19.110001
"122","2018-04-10",19.84
"123","2018-04-11",19.74
"124","2018-04-12",19.639999
"125","2018-04-13",19.57
"126","2018-04-16",19.719999
"127","2018-04-17",20.4
"128","2018-04-18",19.58
"129","2018-04-19",20.120001
"130","2018-04-20",20.139999
"131","2018-04-23",20.16
"132","2018-04-24",20.25
"133","2018-04-25",20.48
"134","2018-04-26",21.120001
"135","2018-04-27",21
"136","2018-04-30",21.4
"137","2018-05-01",21.15
"138","2018-05-02",21.26
"139","2018-05-03",21.040001
"140","2018-05-04",21.540001
"141","2018-05-07",21.41
"142","2018-05-08",22.1
"143","2018-05-09",22.01
"144","2018-05-10",22.200001
"145","2018-05-11",22.690001
"146","2018-05-14",25
"147","2018-05-15",25.74
"148","2018-05-16",24.58
"149","2018-05-17",24.02
"150","2018-05-18",24.059999
"151","2018-05-21",24.200001
"152","2018-05-22",24.200001
"153","2018-05-23",23.99
"154","2018-05-24",24.049999
"155","2018-05-25",23.799999
"156","2018-05-29",23.379999
"157","2018-05-30",23.67
"158","2018-05-31",23.07
"159","2018-06-01",22.4
"160","2018-06-04",22.73
"161","2018-06-05",22.76
"162","2018-06-06",23.129999
"163","2018-06-07",22.5
"164","2018-06-08",22.700001
"165","2018-06-11",22.549999
"166","2018-06-12",22.450001
"167","2018-06-13",22.459999
"168","2018-06-14",22.6
"169","2018-06-15",23.84
"170","2018-06-18",23.790001
"171","2018-06-19",24.469999
"172","2018-06-20",25.34
"173","2018-06-21",25.01
"174","2018-06-22",26.67
"175","2018-06-25",25.9
"176","2018-06-26",26.75
"177","2018-06-27",26.620001
"178","2018-06-28",28.459999
"179","2018-06-29",27.98
"180","2018-07-02",28.18
"181","2018-07-03",28.15
"182","2018-07-05",28.41
