"","date","ATO"
"1","2007-01-03",32.240002
"2","2007-01-04",32.060001
"3","2007-01-05",31.6
"4","2007-01-08",31.450001
"5","2007-01-09",31.469999
"6","2007-01-10",31.1
"7","2007-01-11",31.360001
"8","2007-01-12",31.299999
"9","2007-01-16",31.309999
"10","2007-01-17",31.440001
"11","2007-01-18",31.23
"12","2007-01-19",31.42
"13","2007-01-22",31.309999
"14","2007-01-23",31.49
"15","2007-01-24",31.59
"16","2007-01-25",31.049999
"17","2007-01-26",31.23
"18","2007-01-29",31.08
"19","2007-01-30",31.24
"20","2007-01-31",31.24
"21","2007-02-01",31.549999
"22","2007-02-02",31.5
"23","2007-02-05",31.469999
"24","2007-02-06",31.67
"25","2007-02-07",31.950001
"26","2007-02-08",32.360001
"27","2007-02-09",32.23
"28","2007-02-12",32.119999
"29","2007-02-13",32.75
"30","2007-02-14",32.939999
"31","2007-02-15",32.939999
"32","2007-02-16",32.869999
"33","2007-02-20",33
"34","2007-02-21",32.779999
"35","2007-02-22",32.529999
"36","2007-02-23",32.360001
"37","2007-02-26",32.32
"38","2007-02-27",31.709999
"39","2007-02-28",31.459999
"40","2007-03-01",31.4
"41","2007-03-02",31.280001
"42","2007-03-05",30.629999
"43","2007-03-06",31.23
"44","2007-03-07",31.290001
"45","2007-03-08",31.360001
"46","2007-03-09",31.18
"47","2007-03-12",31.469999
"48","2007-03-13",31
"49","2007-03-14",31.360001
"50","2007-03-15",31.75
"51","2007-03-16",31.74
"52","2007-03-19",32
"53","2007-03-20",31.9
"54","2007-03-21",32.290001
"55","2007-03-22",32.25
"56","2007-03-23",31.15
"57","2007-03-26",31.15
"58","2007-03-27",31.15
"59","2007-03-28",31.299999
"60","2007-03-29",31.389999
"61","2007-03-30",31.280001
"62","2007-04-02",31.299999
"63","2007-04-03",31.5
"64","2007-04-04",31.790001
"65","2007-04-05",31.620001
"66","2007-04-09",32.099998
"67","2007-04-10",32.580002
"68","2007-04-11",32.419998
"69","2007-04-12",32.450001
"70","2007-04-13",32.450001
"71","2007-04-16",32.560001
"72","2007-04-17",32.549999
"73","2007-04-18",32.32
"74","2007-04-19",32.189999
"75","2007-04-20",32.200001
"76","2007-04-23",32.139999
"77","2007-04-24",32.139999
"78","2007-04-25",32.27
