"","date","PBTS"
"1","2019-04-02",5.14
"2","2019-04-03",7.18
"3","2019-04-04",5.88
"4","2019-04-05",6.18
"5","2019-04-08",6.39
"6","2019-04-09",6.38
"7","2019-04-10",5.71
"8","2019-04-11",5.61
"9","2019-04-12",5.72
"10","2019-04-15",5.4
"11","2019-04-16",4.94
"12","2019-04-17",4.85
"13","2019-04-18",5.29
"14","2019-04-22",5.17
"15","2019-04-23",5.19
"16","2019-04-24",5.13
"17","2019-04-25",4.83
"18","2019-04-26",4.76
"19","2019-04-29",4.745
"20","2019-04-30",4.85
"21","2019-05-01",4.84
"22","2019-05-02",5.07
"23","2019-05-03",5.16
"24","2019-05-06",5.03
"25","2019-05-07",5.38
"26","2019-05-08",5.28
"27","2019-05-09",5.095
"28","2019-05-10",5
"29","2019-05-13",4.81
"30","2019-05-14",4.91
"31","2019-05-15",4.88
"32","2019-05-16",4.75
"33","2019-05-17",4.38
"34","2019-05-20",3.78
"35","2019-05-21",3.8
"36","2019-05-22",4.32
"37","2019-05-23",3.9
"38","2019-05-24",3.871
"39","2019-05-28",3.73
"40","2019-05-29",4.11
"41","2019-05-30",4
"42","2019-05-31",3.81
"43","2019-06-03",3.63
"44","2019-06-04",3.91
"45","2019-06-05",4
"46","2019-06-06",3.91
"47","2019-06-07",3.9
"48","2019-06-10",3.9
"49","2019-06-11",3.85
"50","2019-06-12",3.71
"51","2019-06-13",3.8
"52","2019-06-14",3.55
"53","2019-06-17",3.63
"54","2019-06-18",3.53
"55","2019-06-19",3.61
"56","2019-06-20",3.55
"57","2019-06-21",3.21
"58","2019-06-24",3.33
"59","2019-06-25",3.49
"60","2019-06-26",3.84
"61","2019-06-27",3.79
"62","2019-06-28",3.58
"63","2019-07-01",3.7
"64","2019-07-02",3.74
"65","2019-07-03",3.51
"66","2019-07-05",3.64
"67","2019-07-08",3.71
"68","2019-07-09",3.67
"69","2019-07-10",3.7
"70","2019-07-11",3.7
"71","2019-07-12",3.85
"72","2019-07-15",3.55
"73","2019-07-16",3.29
"74","2019-07-17",3.23
"75","2019-07-18",3.2
"76","2019-07-19",3.62
"77","2019-07-22",3.69
"78","2019-07-23",3.54
"79","2019-07-24",3.6
"80","2019-07-25",3.342
"81","2019-07-26",3.434
"82","2019-07-29",3.1
"83","2019-07-30",3.348
"84","2019-07-31",3.48
"85","2019-08-01",3.4
"86","2019-08-02",3.5
"87","2019-08-05",3.5
"88","2019-08-06",3.65
"89","2019-08-07",3.38
"90","2019-08-08",3.46
"91","2019-08-09",3.39
"92","2019-08-12",3.35
"93","2019-08-13",3.3
"94","2019-08-14",3.38
"95","2019-08-15",3.17
"96","2019-08-16",3.32
"97","2019-08-19",3.3
"98","2019-08-20",3.33
"99","2019-08-21",3.3
"100","2019-08-22",3.29
"101","2019-08-23",3.25
"102","2019-08-26",2.925
"103","2019-08-27",3.26
"104","2019-08-28",3.28
"105","2019-08-29",3.38
"106","2019-08-30",3.38
"107","2019-09-03",3.717
"108","2019-09-04",4.2
"109","2019-09-05",4.2
"110","2019-09-06",4.06
"111","2019-09-09",4.69
"112","2019-09-10",4.65
"113","2019-09-11",4.445
"114","2019-09-12",4.426
"115","2019-09-13",4.55
"116","2019-09-16",4.45
"117","2019-09-17",3.66
"118","2019-09-18",3.77
"119","2019-09-19",3.71
"120","2019-09-20",3.73
"121","2019-09-23",3.62
"122","2019-09-24",3.62
"123","2019-09-25",3.7
"124","2019-09-26",3.41
"125","2019-09-27",3.133
"126","2019-09-30",3.28
"127","2019-10-01",3.27
"128","2019-10-02",3.48
"129","2019-10-03",3.51
"130","2019-10-04",3.575
"131","2019-10-07",3.45
"132","2019-10-08",3.5
"133","2019-10-09",3.627
"134","2019-10-10",3.25
"135","2019-10-11",3.55
"136","2019-10-14",3.649
"137","2019-10-15",3.41
"138","2019-10-16",3.59
"139","2019-10-17",3.66
"140","2019-10-18",3.775
"141","2019-10-21",3.776
"142","2019-10-22",3.7
"143","2019-10-23",3.7
"144","2019-10-24",3.65
"145","2019-10-25",3.784
"146","2019-10-28",3.46
"147","2019-10-29",3.35
"148","2019-10-30",3.46
"149","2019-10-31",3.55
"150","2019-11-01",3.582
"151","2019-11-04",3.43
"152","2019-11-05",3.42
"153","2019-11-06",3.37
"154","2019-11-07",3.17
"155","2019-11-08",3.17
"156","2019-11-11",3.18
"157","2019-11-12",3.13
"158","2019-11-13",3.17
"159","2019-11-14",3
"160","2019-11-15",2.99
"161","2019-11-18",2.8
"162","2019-11-19",2.75
"163","2019-11-20",2.74
"164","2019-11-21",2.87
"165","2019-11-22",2.82
"166","2019-11-25",2.91
"167","2019-11-26",3.06
"168","2019-11-27",3.05
"169","2019-11-29",2.985
"170","2019-12-02",3.02
"171","2019-12-03",3.03
"172","2019-12-04",3.01
"173","2019-12-05",2.962
"174","2019-12-06",3
"175","2019-12-09",2.93
"176","2019-12-10",2.95
"177","2019-12-11",3
"178","2019-12-12",3.03
"179","2019-12-13",3.05
"180","2019-12-16",3.09
"181","2019-12-17",2.96
"182","2019-12-18",3.08
"183","2019-12-19",3.09
"184","2019-12-20",2.95
"185","2019-12-23",2.86
"186","2019-12-24",2.941
"187","2019-12-26",2.85
"188","2019-12-27",2.8
"189","2019-12-30",2.732
"190","2019-12-31",2.7
"191","2020-01-02",2.71
"192","2020-01-03",2.84
"193","2020-01-06",3
"194","2020-01-07",3.42
"195","2020-01-08",3.4
"196","2020-01-09",3.54
"197","2020-01-10",3.69
"198","2020-01-13",3.768
"199","2020-01-14",3.7
"200","2020-01-15",3.77
"201","2020-01-16",3.79
"202","2020-01-17",3.797
"203","2020-01-21",3.8
"204","2020-01-22",3.82
"205","2020-01-23",3.79
"206","2020-01-24",3.74
"207","2020-01-27",3.8
"208","2020-01-28",3.86
"209","2020-01-29",3.76
"210","2020-01-30",3.61
"211","2020-01-31",3.35
"212","2020-02-03",3.28
"213","2020-02-04",3.223
"214","2020-02-05",3.33
"215","2020-02-06",3.11
"216","2020-02-07",3.32
"217","2020-02-10",2.91
"218","2020-02-11",3
"219","2020-02-12",2.93
"220","2020-02-13",3.09
"221","2020-02-14",3.15
"222","2020-02-18",3.11
"223","2020-02-19",3.108
"224","2020-02-20",3.15
"225","2020-02-21",3.13
"226","2020-02-24",3.093
"227","2020-02-25",3.04
"228","2020-02-26",3.015
"229","2020-02-27",2.86
"230","2020-02-28",2.78
"231","2020-03-02",2.6
"232","2020-03-03",2.66
"233","2020-03-04",2.88
"234","2020-03-05",2.69
"235","2020-03-06",2.707
"236","2020-03-09",2.656
"237","2020-03-10",2.686
"238","2020-03-11",2.721
"239","2020-03-12",2.331
"240","2020-03-13",2.389
"241","2020-03-16",2.214
"242","2020-03-17",2.205
"243","2020-03-18",2.06
"244","2020-03-19",2.11
"245","2020-03-20",2.14
"246","2020-03-23",2.07
"247","2020-03-24",2.27
"248","2020-03-25",2.35
"249","2020-03-26",2.55
"250","2020-03-27",2.405
"251","2020-03-30",2.34
"252","2020-03-31",2.48
"253","2020-04-01",2.37
"254","2020-04-02",2.35
"255","2020-04-03",2.44
"256","2020-04-06",2.313
"257","2020-04-07",2.388
"258","2020-04-08",2.51
"259","2020-04-09",2.445
"260","2020-04-13",2.707
"261","2020-04-14",2.67
"262","2020-04-15",2.54
"263","2020-04-16",2.88
"264","2020-04-17",2.75
"265","2020-04-20",2.67
"266","2020-04-21",2.72
"267","2020-04-22",2.9
"268","2020-04-23",2.81
"269","2020-04-24",2.72
"270","2020-04-27",2.7
"271","2020-04-28",2.89
"272","2020-04-29",2.65
"273","2020-04-30",2.688
"274","2020-05-01",2.7
"275","2020-05-04",2.59
"276","2020-05-05",2.8
"277","2020-05-06",2.81
"278","2020-05-07",2.72
"279","2020-05-08",2.749
"280","2020-05-11",2.67
"281","2020-05-12",2.58
"282","2020-05-13",2.6
"283","2020-05-14",2.8
"284","2020-05-15",2.7
"285","2020-05-18",2.69
"286","2020-05-19",2.87
"287","2020-05-20",2.841
"288","2020-05-21",2.675
"289","2020-05-22",2.74
"290","2020-05-26",2.65
"291","2020-05-27",2.83
"292","2020-05-28",2.67
"293","2020-05-29",2.6
"294","2020-06-01",2.7
"295","2020-06-02",2.67
"296","2020-06-03",2.68
"297","2020-06-04",2.65
"298","2020-06-05",2.58
"299","2020-06-08",2.73
"300","2020-06-09",2.9
"301","2020-06-10",2.66
"302","2020-06-11",2.64
"303","2020-06-12",2.67
"304","2020-06-15",2.6
"305","2020-06-16",2.53
"306","2020-06-17",2.14
"307","2020-06-18",2.18
"308","2020-06-19",2.27
"309","2020-06-22",2.25
"310","2020-06-23",2.28
"311","2020-06-24",2.2
"312","2020-06-25",2.31
"313","2020-06-26",2.23
"314","2020-06-29",2.26
"315","2020-06-30",2.144
"316","2020-07-01",2.14
"317","2020-07-02",2.36
"318","2020-07-06",2.32
"319","2020-07-07",2.26
"320","2020-07-08",2.85
"321","2020-07-09",2.51
"322","2020-07-10",2.58
"323","2020-07-13",2.57
"324","2020-07-14",2.65
"325","2020-07-15",2.54
"326","2020-07-16",2.57
"327","2020-07-17",2.67
"328","2020-07-20",2.66
"329","2020-07-21",2.57
"330","2020-07-22",2.6
"331","2020-07-23",2.56
"332","2020-07-24",2.46
"333","2020-07-27",2.5
"334","2020-07-28",2.67
"335","2020-07-29",2.62
"336","2020-07-30",2.676
"337","2020-07-31",2.68
"338","2020-08-03",2.82
"339","2020-08-04",3.06
"340","2020-08-05",3.01
"341","2020-08-06",2.89
"342","2020-08-07",3.17
"343","2020-08-10",3.17
"344","2020-08-11",2.94
"345","2020-08-12",2.9
"346","2020-08-13",2.68
"347","2020-08-14",2.79
"348","2020-08-17",2.79
"349","2020-08-18",2.74
"350","2020-08-19",2.73
"351","2020-08-20",2.63
"352","2020-08-21",2.68
"353","2020-08-24",2.72
"354","2020-08-25",2.81
"355","2020-08-26",2.92
"356","2020-08-27",2.85
"357","2020-08-28",2.61
"358","2020-08-31",2.58
"359","2020-09-01",2.71
"360","2020-09-02",2.6
"361","2020-09-03",2.44
"362","2020-09-04",2.38
"363","2020-09-08",2.15
"364","2020-09-09",2.12
"365","2020-09-10",2.06
"366","2020-09-11",1.94
"367","2020-09-14",2.06
"368","2020-09-15",2.02
"369","2020-09-16",1.95
"370","2020-09-17",1.99
"371","2020-09-18",1.94
"372","2020-09-21",1.82
"373","2020-09-22",1.88
"374","2020-09-23",1.879
"375","2020-09-24",1.93
"376","2020-09-25",2.09
"377","2020-09-28",2.165
"378","2020-09-29",2.24
"379","2020-09-30",2.43
"380","2020-10-01",2.42
"381","2020-10-02",2.44
"382","2020-10-05",2.41
"383","2020-10-06",2.35
"384","2020-10-07",2.43
"385","2020-10-08",2.38
"386","2020-10-09",2.41
"387","2020-10-12",2.47
"388","2020-10-13",2.45
"389","2020-10-14",2.52
"390","2020-10-15",2.44
"391","2020-10-16",2.56
"392","2020-10-19",2.51
"393","2020-10-20",2.4
"394","2020-10-21",2.446
"395","2020-10-22",2.44
"396","2020-10-23",2.49
"397","2020-10-26",2.5
"398","2020-10-27",2.43
"399","2020-10-28",2.41
"400","2020-10-29",2.52
"401","2020-10-30",2.4
"402","2020-11-02",2.38
"403","2020-11-03",2.36
"404","2020-11-04",2.26
"405","2020-11-05",2.2
"406","2020-11-06",2.14
"407","2020-11-09",2.11
"408","2020-11-10",2.29
"409","2020-11-11",2.349
"410","2020-11-12",2.37
"411","2020-11-13",2.35
"412","2020-11-16",2.2
"413","2020-11-17",2.44
"414","2020-11-18",2.42
"415","2020-11-19",2.31
"416","2020-11-20",2.29
"417","2020-11-23",2.48
"418","2020-11-24",2.495
"419","2020-11-25",2.45
