"","date","COP"
"1","2007-01-03",51.982365
"2","2007-01-04",50.366257
"3","2007-01-05",51.395382
"4","2007-01-08",52.066219
"5","2007-01-09",50.701675
"6","2007-01-10",49.192287
"7","2007-01-11",47.126411
"8","2007-01-12",48.658665
"9","2007-01-16",47.881104
"10","2007-01-17",48.445217
"11","2007-01-18",47.728642
"12","2007-01-19",48.750145
"13","2007-01-22",48.315624
"14","2007-01-23",49.527706
"15","2007-01-24",50.023212
"16","2007-01-25",48.834
"17","2007-01-26",49.375244
"18","2007-01-29",49.260895
"19","2007-01-30",50.046082
"20","2007-01-31",50.625443
"21","2007-02-01",51.311527
"22","2007-02-02",51.29628
"23","2007-02-05",51.105701
"24","2007-02-06",50.800774
"25","2007-02-07",50.488224
"26","2007-02-08",50.976109
"27","2007-02-09",51.067585
"28","2007-02-12",50.335762
"29","2007-02-13",51.281036
"30","2007-02-14",51.425877
"31","2007-02-15",50.434864
"32","2007-02-16",50.427238
"33","2007-02-20",49.992722
"34","2007-02-21",50.533966
"35","2007-02-22",50.98373
"36","2007-02-23",51.227673
"37","2007-02-26",51.807034
"38","2007-02-27",49.588692
"39","2007-02-28",49.794518
"40","2007-03-01",50.274776
"41","2007-03-02",49.497215
"42","2007-03-05",49.161797
"43","2007-03-06",50.175674
"44","2007-03-07",51.197182
"45","2007-03-08",51.509731
"46","2007-03-09",51.685062
"47","2007-03-12",51.258167
"48","2007-03-13",50.762661
"49","2007-03-14",51.768917
"50","2007-03-15",50.709297
"51","2007-03-16",49.809765
"52","2007-03-19",50.046082
"53","2007-03-20",50.54921
"54","2007-03-21",51.204803
"55","2007-03-22",52.3559
"56","2007-03-23",52.790421
"57","2007-03-26",53.026741
"58","2007-03-27",52.965755
"59","2007-03-28",52.782799
"60","2007-03-29",52.729435
"61","2007-03-30",52.104336
"62","2007-04-02",51.982365
"63","2007-04-03",51.715557
"64","2007-04-04",51.639324
"65","2007-04-05",51.807034
"66","2007-04-09",52.1577
"67","2007-04-10",52.942886
"68","2007-04-11",52.775177
"69","2007-04-12",53.735695
"70","2007-04-13",53.773811
"71","2007-04-16",53.81955
"72","2007-04-17",53.689957
"73","2007-04-18",53.240189
"74","2007-04-19",52.81329
"75","2007-04-20",54.315056
"76","2007-04-23",53.81955
"77","2007-04-24",53.087727
"78","2007-04-25",53.987259
"79","2007-04-26",53.918652
"80","2007-04-27",53.392651
"81","2007-04-30",52.866653
"82","2007-05-01",52.744682
"83","2007-05-02",52.920017
"84","2007-05-03",53.354534
"85","2007-05-04",53.507
"86","2007-05-07",53.621346
"87","2007-05-08",53.552738
"88","2007-05-09",53.446014
"89","2007-05-10",52.660828
"90","2007-05-11",53.507
"91","2007-05-14",53.911026
"92","2007-05-15",53.911026
"93","2007-05-16",54.772446
"94","2007-05-17",55.839687
"95","2007-05-18",57.059395
"96","2007-05-21",57.829334
"97","2007-05-22",57.821712
"98","2007-05-23",58.477303
"99","2007-05-24",57.318581
"100","2007-05-25",58.256233
"101","2007-05-29",57.440552
"102","2007-05-30",58.927071
"103","2007-05-31",59.026173
"104","2007-06-01",60.116283
"105","2007-06-04",60.535557
"106","2007-06-05",60.44408
"107","2007-06-06",59.765617
"108","2007-06-07",58.896576
"109","2007-06-08",58.919445
"110","2007-06-11",59.361591
"111","2007-06-12",58.789852
"112","2007-06-13",59.270111
"113","2007-06-14",60.390717
"114","2007-06-15",61.381729
"115","2007-06-18",61.511322
"116","2007-06-19",61.160656
"117","2007-06-20",59.613155
"118","2007-06-21",60.733761
"119","2007-06-22",60.024807
"120","2007-06-25",59.491184
"121","2007-06-26",57.783596
"122","2007-06-27",58.896576
"123","2007-06-28",58.500172
"124","2007-06-29",59.84185
"125","2007-07-02",60.992947
