"","date","TAL"
"1","2010-10-20",2.5
"2","2010-10-21",2.46
"3","2010-10-22",2.75
"4","2010-10-25",2.945
"5","2010-10-26",3
"6","2010-10-27",2.916667
"7","2010-10-28",2.95
"8","2010-10-29",2.966667
"9","2010-11-01",2.775
"10","2010-11-02",2.508333
"11","2010-11-03",2.503333
"12","2010-11-04",2.481667
"13","2010-11-05",2.591667
"14","2010-11-08",2.673333
"15","2010-11-09",2.738333
"16","2010-11-10",2.813333
"17","2010-11-11",2.966667
"18","2010-11-12",2.855
"19","2010-11-15",2.728333
"20","2010-11-16",2.583333
"21","2010-11-17",2.646667
"22","2010-11-18",2.691667
"23","2010-11-19",2.598333
"24","2010-11-22",2.653333
"25","2010-11-23",2.673333
"26","2010-11-24",2.875
"27","2010-11-26",2.808333
"28","2010-11-29",2.666667
"29","2010-11-30",2.666667
"30","2010-12-01",2.74
"31","2010-12-02",2.786667
"32","2010-12-03",2.76
"33","2010-12-06",2.68
"34","2010-12-07",2.535
"35","2010-12-08",2.558333
"36","2010-12-09",2.516667
"37","2010-12-10",2.416667
"38","2010-12-13",2.426667
"39","2010-12-14",2.45
"40","2010-12-15",2.43
"41","2010-12-16",2.48
"42","2010-12-17",2.398333
"43","2010-12-20",2.381667
"44","2010-12-21",2.59
"45","2010-12-22",2.6
"46","2010-12-23",2.588333
"47","2010-12-27",2.625
"48","2010-12-28",2.633333
"49","2010-12-29",2.625
"50","2010-12-30",2.655
"51","2010-12-31",2.683333
"52","2011-01-03",2.636667
"53","2011-01-04",2.638333
"54","2011-01-05",2.65
"55","2011-01-06",2.681667
"56","2011-01-07",2.671667
"57","2011-01-10",2.606667
"58","2011-01-11",2.608333
"59","2011-01-12",2.66
"60","2011-01-13",2.666667
"61","2011-01-14",2.665
"62","2011-01-18",2.666667
"63","2011-01-19",2.69
"64","2011-01-20",2.603333
"65","2011-01-21",2.493333
"66","2011-01-24",2.54
"67","2011-01-25",2.173333
"68","2011-01-26",2.058333
"69","2011-01-27",2.258333
"70","2011-01-28",2.176667
"71","2011-01-31",2.166667
"72","2011-02-01",2.165
"73","2011-02-02",2.166667
"74","2011-02-03",2.17
"75","2011-02-04",2.168333
"76","2011-02-07",2.165
"77","2011-02-08",2.16
"78","2011-02-09",2.145
"79","2011-02-10",2.136667
"80","2011-02-11",2.091667
"81","2011-02-14",2.098333
"82","2011-02-15",2.075
"83","2011-02-16",2.006667
"84","2011-02-17",1.916667
"85","2011-02-18",1.983333
"86","2011-02-22",1.92
"87","2011-02-23",1.861667
"88","2011-02-24",1.755
"89","2011-02-25",1.748333
"90","2011-02-28",1.746667
"91","2011-03-01",1.723333
"92","2011-03-02",1.666667
"93","2011-03-03",1.691667
"94","2011-03-04",1.688333
"95","2011-03-07",1.725
"96","2011-03-08",1.766667
"97","2011-03-09",1.933333
"98","2011-03-10",1.833333
"99","2011-03-11",1.806667
"100","2011-03-14",1.865
"101","2011-03-15",1.88
"102","2011-03-16",1.805
"103","2011-03-17",1.806667
"104","2011-03-18",1.773333
"105","2011-03-21",1.825
"106","2011-03-22",1.773333
"107","2011-03-23",1.781667
"108","2011-03-24",1.786667
"109","2011-03-25",1.783333
"110","2011-03-28",1.823333
"111","2011-03-29",1.833333
"112","2011-03-30",1.836667
"113","2011-03-31",1.821667
"114","2011-04-01",1.726667
"115","2011-04-04",1.715
"116","2011-04-05",1.728333
"117","2011-04-06",1.748333
"118","2011-04-07",1.848333
"119","2011-04-08",1.91
"120","2011-04-11",1.95
"121","2011-04-12",1.928333
"122","2011-04-13",1.941667
"123","2011-04-14",1.956667
"124","2011-04-15",1.973333
"125","2011-04-18",1.958333
"126","2011-04-19",2.025
"127","2011-04-20",2.148333
"128","2011-04-21",2.163333
