"","date","SNY"
"1","2007-01-03",46.139999
"2","2007-01-04",46.049999
"3","2007-01-05",45.880001
"4","2007-01-08",45.130001
"5","2007-01-09",44.529999
"6","2007-01-10",44.799999
"7","2007-01-11",45.34
"8","2007-01-12",45.650002
"9","2007-01-16",45.669998
"10","2007-01-17",45.779999
"11","2007-01-18",45.869999
"12","2007-01-19",46.189999
"13","2007-01-22",45.630001
"14","2007-01-23",46
"15","2007-01-24",46.209999
"16","2007-01-25",45.68
"17","2007-01-26",45.34
"18","2007-01-29",44.57
"19","2007-01-30",44.439999
"20","2007-01-31",44.080002
"21","2007-02-01",44.119999
"22","2007-02-02",43.970001
"23","2007-02-05",44.209999
"24","2007-02-06",44.23
"25","2007-02-07",44.130001
"26","2007-02-08",44.330002
"27","2007-02-09",43.779999
"28","2007-02-12",44.290001
"29","2007-02-13",43.400002
"30","2007-02-14",43.759998
"31","2007-02-15",43.799999
"32","2007-02-16",43.759998
"33","2007-02-20",43.799999
"34","2007-02-21",43.889999
"35","2007-02-22",43.779999
"36","2007-02-23",43.860001
"37","2007-02-26",43.709999
"38","2007-02-27",42.84
"39","2007-02-28",42.41
"40","2007-03-01",41.91
"41","2007-03-02",41.950001
"42","2007-03-05",41.639999
"43","2007-03-06",42.32
"44","2007-03-07",42.5
"45","2007-03-08",43.290001
"46","2007-03-09",42.84
"47","2007-03-12",42.700001
"48","2007-03-13",42.139999
"49","2007-03-14",41.900002
"50","2007-03-15",41.900002
"51","2007-03-16",42.110001
"52","2007-03-19",42.369999
"53","2007-03-20",42.77
"54","2007-03-21",43.630001
"55","2007-03-22",43.52
"56","2007-03-23",43.400002
"57","2007-03-26",43.32
"58","2007-03-27",43.119999
"59","2007-03-28",42.93
"60","2007-03-29",43.41
"61","2007-03-30",43.509998
"62","2007-04-02",43.23
"63","2007-04-03",43.349998
"64","2007-04-04",43.860001
"65","2007-04-05",43.98
"66","2007-04-09",43.549999
"67","2007-04-10",43.830002
"68","2007-04-11",43.939999
"69","2007-04-12",44.380001
"70","2007-04-13",45.700001
"71","2007-04-16",46.189999
"72","2007-04-17",46.139999
"73","2007-04-18",46.139999
"74","2007-04-19",45.799999
"75","2007-04-20",46
"76","2007-04-23",45.27
"77","2007-04-24",45.610001
"78","2007-04-25",46.279999
