"","date","SGA"
"1","2007-01-03",29.1
"2","2007-01-04",28.5
"3","2007-01-05",29.34
"4","2007-01-08",29.07
"5","2007-01-09",29.610001
"6","2007-01-10",30.57
"7","2007-01-11",30.18
"8","2007-01-12",29.82
"9","2007-01-16",29.969999
"10","2007-01-17",30.450001
"11","2007-01-18",29.25
"12","2007-01-19",29.219999
"13","2007-01-22",30.09
"14","2007-01-23",29.43
"15","2007-01-24",29.52
"16","2007-01-25",29.219999
"17","2007-01-26",29.4
"18","2007-01-29",28.530001
"19","2007-01-30",28.5
"20","2007-01-31",27.75
"21","2007-02-01",28.860001
"22","2007-02-02",28.35
"23","2007-02-05",28.559999
"24","2007-02-06",28.469999
"25","2007-02-07",28.77
"26","2007-02-08",28.290001
"27","2007-02-09",27.93
"28","2007-02-12",27.780001
"29","2007-02-13",28.65
"30","2007-02-14",29.01
"31","2007-02-15",28.950001
"32","2007-02-16",28.92
"33","2007-02-20",28.41
"34","2007-02-21",28.26
"35","2007-02-22",28.08
"36","2007-02-23",27.99
"37","2007-02-26",28.469999
"38","2007-02-27",28.469999
"39","2007-02-28",29.190001
"40","2007-03-01",29.58
"41","2007-03-02",29.280001
"42","2007-03-05",29.25
"43","2007-03-06",29.67
"44","2007-03-07",29.52
"45","2007-03-08",29.549999
"46","2007-03-09",29.370001
"47","2007-03-12",29.4
"48","2007-03-13",29.67
"49","2007-03-14",29.639999
"50","2007-03-15",29.549999
"51","2007-03-16",29.309999
"52","2007-03-19",29.370001
"53","2007-03-20",29.4
"54","2007-03-21",29.4
"55","2007-03-22",29.4
"56","2007-03-23",29.49
"57","2007-03-26",29.309999
"58","2007-03-27",29.129999
"59","2007-03-28",29.549999
"60","2007-03-29",29.85
"61","2007-03-30",29.190001
"62","2007-04-02",29.4
"63","2007-04-03",29.91
"64","2007-04-04",30.030001
"65","2007-04-05",30.66
"66","2007-04-09",30.6
"67","2007-04-10",30.719999
"68","2007-04-11",30.719999
"69","2007-04-12",30.75
"70","2007-04-13",30.719999
"71","2007-04-16",30.540001
"72","2007-04-17",30.629999
"73","2007-04-18",30.719999
"74","2007-04-19",30.629999
"75","2007-04-20",30.360001
"76","2007-04-23",30.15
"77","2007-04-24",30.360001
"78","2007-04-25",30.57
"79","2007-04-26",30.299999
"80","2007-04-27",30.42
"81","2007-04-30",30
"82","2007-05-01",29.969999
"83","2007-05-02",30.030001
"84","2007-05-03",30.15
"85","2007-05-04",29.940001
"86","2007-05-07",29.969999
"87","2007-05-08",29.969999
