"","date","RNWK"
"1","2007-01-03",43.16
"2","2007-01-04",43.799999
"3","2007-01-05",44.040001
"4","2007-01-08",44.360001
"5","2007-01-09",44.560001
"6","2007-01-10",44.360001
"7","2007-01-11",44.080002
"8","2007-01-12",43.68
"9","2007-01-16",42.959999
"10","2007-01-17",43.279999
"11","2007-01-18",42.32
"12","2007-01-19",42.560001
"13","2007-01-22",42.599998
"14","2007-01-23",43.040001
"15","2007-01-24",44
"16","2007-01-25",43.040001
"17","2007-01-26",42.360001
"18","2007-01-29",42.279999
"19","2007-01-30",42.52
"20","2007-01-31",42.68
"21","2007-02-01",43.560001
"22","2007-02-02",44.119999
"23","2007-02-05",42.959999
"24","2007-02-06",43.119999
"25","2007-02-07",43.279999
"26","2007-02-08",43.560001
"27","2007-02-09",42.279999
"28","2007-02-12",41.720001
"29","2007-02-13",41.400002
"30","2007-02-14",42.68
"31","2007-02-15",35.880001
"32","2007-02-16",35.080002
"33","2007-02-20",35.48
"34","2007-02-21",34.16
"35","2007-02-22",33.959999
"36","2007-02-23",33.52
"37","2007-02-26",32.639999
"38","2007-02-27",32.040001
"39","2007-02-28",32.639999
"40","2007-03-01",32.400002
"41","2007-03-02",32.240002
"42","2007-03-05",31.559999
"43","2007-03-06",31.4
"44","2007-03-07",30.48
"45","2007-03-08",30.68
"46","2007-03-09",30.799999
"47","2007-03-12",31.559999
"48","2007-03-13",30.360001
"49","2007-03-14",30.68
"50","2007-03-15",31.120001
"51","2007-03-16",30.76
"52","2007-03-19",30.92
"53","2007-03-20",31.799999
"54","2007-03-21",32.16
"55","2007-03-22",31.959999
"56","2007-03-23",32.16
"57","2007-03-26",32
"58","2007-03-27",31.799999
"59","2007-03-28",31.52
"60","2007-03-29",31.040001
"61","2007-03-30",31.4
"62","2007-04-02",30.639999
"63","2007-04-03",31.24
"64","2007-04-04",30.92
"65","2007-04-05",30.76
"66","2007-04-09",30.48
"67","2007-04-10",30.120001
"68","2007-04-11",30.040001
"69","2007-04-12",30.4
"70","2007-04-13",30.92
"71","2007-04-16",31.52
"72","2007-04-17",31
"73","2007-04-18",30.639999
"74","2007-04-19",30.48
"75","2007-04-20",31.08
"76","2007-04-23",30.799999
"77","2007-04-24",30.4
"78","2007-04-25",30.879999
"79","2007-04-26",30.68
"80","2007-04-27",30.6
"81","2007-04-30",30.200001
"82","2007-05-01",30.08
"83","2007-05-02",30.360001
"84","2007-05-03",33.040001
"85","2007-05-04",34.68
"86","2007-05-07",34.759998
"87","2007-05-08",34.48
"88","2007-05-09",34.639999
"89","2007-05-10",33.599998
"90","2007-05-11",34
"91","2007-05-14",33.959999
"92","2007-05-15",33.439999
"93","2007-05-16",33.68
"94","2007-05-17",32.720001
"95","2007-05-18",33.799999
"96","2007-05-21",33.68
"97","2007-05-22",33.880001
"98","2007-05-23",33.48
"99","2007-05-24",33.16
"100","2007-05-25",33.560001
"101","2007-05-29",33.720001
"102","2007-05-30",33.48
"103","2007-05-31",33.880001
"104","2007-06-01",33.720001
"105","2007-06-04",33.959999
"106","2007-06-05",33.119999
