"","date","ALTG"
"1","2019-04-25",9.7
"2","2019-04-26",9.7
"3","2019-04-29",9.7
"4","2019-04-30",9.7
"5","2019-05-01",9.7
"6","2019-05-02",9.7
"7","2019-05-03",9.7
"8","2019-05-06",9.7
"9","2019-05-07",9.7
"10","2019-05-08",9.7
"11","2019-05-09",9.7
"12","2019-05-10",9.7
"13","2019-05-13",9.7
"14","2019-05-14",9.7
"15","2019-05-15",9.7
"16","2019-05-16",9.7
"17","2019-05-17",9.674
"18","2019-05-20",9.674
"19","2019-05-21",9.674
"20","2019-05-22",9.674
"21","2019-05-23",9.796
"22","2019-05-24",9.796
"23","2019-05-28",9.796
"24","2019-05-29",9.796
"25","2019-05-30",9.796
"26","2019-05-31",9.796
"27","2019-06-03",9.796
"28","2019-06-04",9.79
"29","2019-06-05",9.79
"30","2019-06-06",9.796
"31","2019-06-07",9.75
"32","2019-06-10",9.75
"33","2019-06-11",9.75
"34","2019-06-12",9.75
"35","2019-06-13",NA
"36","2019-06-14",9.75
"37","2019-06-17",9.75
"38","2019-06-18",9.85
"39","2019-06-19",9.813
"40","2019-06-20",9.77
"41","2019-06-21",9.77
"42","2019-06-24",9.79
"43","2019-06-25",9.75
"44","2019-06-26",9.75
"45","2019-06-27",9.73
"46","2019-06-28",9.75
"47","2019-07-01",9.74
"48","2019-07-02",9.75
"49","2019-07-03",9.75
"50","2019-07-05",9.75
"51","2019-07-08",9.75
"52","2019-07-09",9.75
"53","2019-07-10",9.76
"54","2019-07-11",9.77
"55","2019-07-12",9.77
"56","2019-07-15",9.79
"57","2019-07-16",9.79
"58","2019-07-17",9.79
"59","2019-07-18",9.79
"60","2019-07-19",9.79
"61","2019-07-22",9.77
"62","2019-07-23",9.77
"63","2019-07-24",9.77
"64","2019-07-25",9.77
"65","2019-07-26",9.77
"66","2019-07-29",9.77
"67","2019-07-30",9.77
"68","2019-07-31",9.77
"69","2019-08-01",9.79
"70","2019-08-02",9.79
"71","2019-08-05",9.79
"72","2019-08-06",9.788
"73","2019-08-07",9.788
"74","2019-08-08",9.788
"75","2019-08-09",9.82
"76","2019-08-12",9.82
"77","2019-08-13",9.82
"78","2019-08-14",9.8
"79","2019-08-15",9.77
"80","2019-08-16",9.77
"81","2019-08-19",9.77
"82","2019-08-20",9.79
"83","2019-08-21",9.79
"84","2019-08-22",9.79
"85","2019-08-23",9.77
"86","2019-08-26",9.77
"87","2019-08-27",9.78
"88","2019-08-28",9.8
"89","2019-08-29",9.8
"90","2019-08-30",9.83
"91","2019-09-03",9.82
"92","2019-09-04",9.82
"93","2019-09-05",9.85
"94","2019-09-06",9.85
"95","2019-09-09",9.83
"96","2019-09-10",9.98
"97","2019-09-11",9.89
"98","2019-09-12",9.92
"99","2019-09-13",9.88
"100","2019-09-16",9.89
"101","2019-09-17",9.94
"102","2019-09-18",9.9
"103","2019-09-19",9.92
"104","2019-09-20",9.92
"105","2019-09-23",9.92
"106","2019-09-24",9.92
"107","2019-09-25",9.92
"108","2019-09-26",9.92
"109","2019-09-27",9.92
"110","2019-09-30",9.92
"111","2019-10-01",9.92
"112","2019-10-02",9.92
"113","2019-10-03",9.92
"114","2019-10-04",9.92
"115","2019-10-07",9.92
"116","2019-10-08",9.92
"117","2019-10-09",9.9
"118","2019-10-10",9.85
"119","2019-10-11",9.87
"120","2019-10-14",9.87
"121","2019-10-15",9.87
"122","2019-10-16",9.87
"123","2019-10-17",9.91
"124","2019-10-18",9.91
"125","2019-10-21",9.86
"126","2019-10-22",9.86
"127","2019-10-23",9.86
"128","2019-10-24",9.9
"129","2019-10-25",9.92
"130","2019-10-28",9.88
"131","2019-10-29",9.87
"132","2019-10-30",9.88
"133","2019-10-31",9.88
"134","2019-11-01",9.88
"135","2019-11-04",9.88
"136","2019-11-05",9.88
"137","2019-11-06",9.88
"138","2019-11-07",9.88
"139","2019-11-08",9.88
"140","2019-11-11",9.88
"141","2019-11-12",9.88
"142","2019-11-13",9.88
"143","2019-11-14",9.88
"144","2019-11-15",9.88
"145","2019-11-18",9.88
"146","2019-11-19",9.88
"147","2019-11-20",9.92
"148","2019-11-21",9.92
"149","2019-11-22",9.95
"150","2019-11-25",9.94
"151","2019-11-26",9.94
"152","2019-11-27",9.94
"153","2019-11-29",9.94
"154","2019-12-02",9.94
"155","2019-12-03",9.94
"156","2019-12-04",9.94
"157","2019-12-05",9.94
"158","2019-12-06",9.97
"159","2019-12-09",9.97
"160","2019-12-10",9.97
"161","2019-12-11",9.97
"162","2019-12-12",9.99
"163","2019-12-13",10.1
"164","2019-12-16",10.1
"165","2019-12-17",10.1
"166","2019-12-18",10.053
"167","2019-12-19",10
"168","2019-12-20",10.15
"169","2019-12-23",10.09
"170","2019-12-24",10.09
"171","2019-12-26",10.05
"172","2019-12-27",10.08
"173","2019-12-30",10.09
"174","2019-12-31",10.01
"175","2020-01-02",10.01
"176","2020-01-03",10.09
"177","2020-01-06",10.09
"178","2020-01-07",10.11
"179","2020-01-08",10.11
"180","2020-01-09",10.12
"181","2020-01-10",10.14
"182","2020-01-13",10.17
"183","2020-01-14",10.18
"184","2020-01-15",10.185
"185","2020-01-16",10.32
"186","2020-01-17",10.32
"187","2020-01-21",10.26
"188","2020-01-22",10.28
"189","2020-01-23",10.237
"190","2020-01-24",10.23
"191","2020-01-27",10.205
"192","2020-01-28",10.2
"193","2020-01-29",10.2
"194","2020-01-30",10.22
"195","2020-01-31",10.24
"196","2020-02-03",10.22
"197","2020-02-04",10.22
"198","2020-02-05",10.27
"199","2020-02-06",10.21
"200","2020-02-07",10.3
"201","2020-02-10",10.34
"202","2020-02-11",10.35
"203","2020-02-12",10.34
"204","2020-02-13",10.35
"205","2020-02-14",10.38
"206","2020-02-18",10.499
"207","2020-02-19",10.6
"208","2020-02-20",10.45
"209","2020-02-21",10.35
"210","2020-02-24",9.51
"211","2020-02-25",9.32
"212","2020-02-26",9.41
"213","2020-02-27",9.24
"214","2020-02-28",8.81
"215","2020-03-02",8.71
"216","2020-03-03",8.45
"217","2020-03-04",8.84
"218","2020-03-05",8.66
"219","2020-03-06",8.73
"220","2020-03-09",8
"221","2020-03-10",8.18
"222","2020-03-11",7.35
"223","2020-03-12",5.86
"224","2020-03-13",5.64
"225","2020-03-16",4.51
"226","2020-03-17",4.39
"227","2020-03-18",3.75
"228","2020-03-19",3.75
"229","2020-03-20",3.76
"230","2020-03-23",4.25
"231","2020-03-24",4.43
"232","2020-03-25",4.54
"233","2020-03-26",4.4
"234","2020-03-27",4.32
"235","2020-03-30",4.12
"236","2020-03-31",4.27
