"","date","PSNL"
"1","2019-06-20",28.49
"2","2019-06-21",30.25
"3","2019-06-24",29.360001
"4","2019-06-25",27.799999
"5","2019-06-26",27
"6","2019-06-27",27.93
"7","2019-06-28",27.15
"8","2019-07-01",24.799999
"9","2019-07-02",23.110001
"10","2019-07-03",23
"11","2019-07-05",22.299999
"12","2019-07-08",22.950001
"13","2019-07-09",22.84
"14","2019-07-10",23.77
"15","2019-07-11",25.01
"16","2019-07-12",25.34
"17","2019-07-15",23.309999
"18","2019-07-16",22.57
"19","2019-07-17",20.309999
"20","2019-07-18",21.4
"21","2019-07-19",22.42
"22","2019-07-22",22.59
"23","2019-07-23",22.040001
"24","2019-07-24",21.370001
"25","2019-07-25",20.83
"26","2019-07-26",19.33
"27","2019-07-29",17.780001
"28","2019-07-30",18.25
"29","2019-07-31",17.91
"30","2019-08-01",15.89
"31","2019-08-02",15.79
"32","2019-08-05",14.64
"33","2019-08-06",15.23
"34","2019-08-07",16.9
"35","2019-08-08",18.27
"36","2019-08-09",18.43
"37","2019-08-12",19.25
"38","2019-08-13",19.709999
"39","2019-08-14",16.25
"40","2019-08-15",16.92
"41","2019-08-16",18.049999
"42","2019-08-19",19.07
"43","2019-08-20",19.809999
"44","2019-08-21",19.99
"45","2019-08-22",19.26
"46","2019-08-23",18.860001
"47","2019-08-26",19.48
"48","2019-08-27",19.370001
"49","2019-08-28",19.5
"50","2019-08-29",19.370001
"51","2019-08-30",19.35
"52","2019-09-03",18.549999
"53","2019-09-04",17.280001
"54","2019-09-05",17.120001
"55","2019-09-06",17.98
"56","2019-09-09",15.92
"57","2019-09-10",15.31
"58","2019-09-11",16.200001
"59","2019-09-12",17.01
"60","2019-09-13",16.73
"61","2019-09-16",16.24
"62","2019-09-17",16.16
"63","2019-09-18",16.040001
"64","2019-09-19",16.15
"65","2019-09-20",16.41
"66","2019-09-23",17.02
"67","2019-09-24",16.809999
"68","2019-09-25",16.41
"69","2019-09-26",15.53
"70","2019-09-27",14.16
"71","2019-09-30",14.675
"72","2019-10-01",12.74
"73","2019-10-02",12.61
"74","2019-10-03",12.95
"75","2019-10-04",12.71
"76","2019-10-07",12.81
"77","2019-10-08",11.84
"78","2019-10-09",11.1
"79","2019-10-10",11.34
"80","2019-10-11",10.94
"81","2019-10-14",11.29
"82","2019-10-15",11.51
"83","2019-10-16",12.02
"84","2019-10-17",12.23
"85","2019-10-18",11.9
"86","2019-10-21",11.92
"87","2019-10-22",11.75
"88","2019-10-23",11.78
"89","2019-10-24",11.32
"90","2019-10-25",11.5
