"","date","LINX"
"1","2019-06-26",9.13
"2","2019-06-27",8.89
"3","2019-06-28",9.12
"4","2019-07-01",9.03
"5","2019-07-02",8.86
"6","2019-07-03",8.9
"7","2019-07-05",9.07
"8","2019-07-08",9.03
"9","2019-07-09",9.09
"10","2019-07-10",9.15
"11","2019-07-11",9
"12","2019-07-12",8.93
"13","2019-07-15",8.87
"14","2019-07-16",9.04
"15","2019-07-17",9.22
"16","2019-07-18",9.24
"17","2019-07-19",9.1
"18","2019-07-22",9.21
"19","2019-07-23",9.13
"20","2019-07-24",8.99
"21","2019-07-25",8.74
"22","2019-07-26",8.52
"23","2019-07-29",8.49
"24","2019-07-30",8.54
"25","2019-07-31",8.39
"26","2019-08-01",8.35
"27","2019-08-02",8.17
"28","2019-08-05",7.76
"29","2019-08-06",7.92
"30","2019-08-07",8
"31","2019-08-08",8.53
"32","2019-08-09",8.7
"33","2019-08-12",8.72
"34","2019-08-13",8.58
"35","2019-08-14",8.19
"36","2019-08-15",7.91
"37","2019-08-16",7.72
"38","2019-08-19",7.38
"39","2019-08-20",7.23
"40","2019-08-21",7.28
"41","2019-08-22",7.17
"42","2019-08-23",6.86
"43","2019-08-26",6.84
"44","2019-08-27",6.65
"45","2019-08-28",6.96
"46","2019-08-29",7.2
"47","2019-08-30",7.61
"48","2019-09-03",7.36
"49","2019-09-04",7.33
"50","2019-09-05",7.65
"51","2019-09-06",7.62
"52","2019-09-09",7.31
"53","2019-09-10",7.49
"54","2019-09-11",7.84
"55","2019-09-12",7.61
"56","2019-09-13",7.57
"57","2019-09-16",7.53
"58","2019-09-17",7.75
"59","2019-09-18",7.82
"60","2019-09-19",8.13
"61","2019-09-20",8.04
"62","2019-09-23",7.92
"63","2019-09-24",7.94
"64","2019-09-25",7.8
"65","2019-09-26",7.92
"66","2019-09-27",7.93
"67","2019-09-30",7.73
"68","2019-10-01",7.74
"69","2019-10-02",7.74
"70","2019-10-03",8.16
"71","2019-10-04",8.28
"72","2019-10-07",8.09
"73","2019-10-08",7.95
"74","2019-10-09",8.2
"75","2019-10-10",8.02
"76","2019-10-11",8.32
"77","2019-10-14",8.22
"78","2019-10-15",8.18
"79","2019-10-16",8.22
"80","2019-10-17",8.19
"81","2019-10-18",8.18
"82","2019-10-21",8.19
"83","2019-10-22",8.12
"84","2019-10-23",8.15
"85","2019-10-24",8.16
"86","2019-10-25",8.3
"87","2019-10-28",8.28
"88","2019-10-29",8.31
"89","2019-10-30",8.52
"90","2019-10-31",8.6
"91","2019-11-01",8.83
"92","2019-11-04",8.6
"93","2019-11-05",8.41
"94","2019-11-06",8.3
"95","2019-11-07",8.21
"96","2019-11-08",7.82
"97","2019-11-11",8.19
"98","2019-11-12",8.04
"99","2019-11-13",7.9
"100","2019-11-14",7.1
"101","2019-11-15",7.08
"102","2019-11-18",7.08
"103","2019-11-19",7.01
"104","2019-11-20",6.94
"105","2019-11-21",7.17
"106","2019-11-22",7.21
"107","2019-11-25",7.1
"108","2019-11-26",7.02
"109","2019-11-27",7.39
"110","2019-11-29",7.34
"111","2019-12-02",7.31
"112","2019-12-03",7.38
"113","2019-12-04",7.62
"114","2019-12-05",7.73
"115","2019-12-06",7.63
"116","2019-12-09",7.6
"117","2019-12-10",7.5
"118","2019-12-11",7.52
"119","2019-12-12",7.92
"120","2019-12-13",7.68
"121","2019-12-16",7.66
"122","2019-12-17",7.67
"123","2019-12-18",7.66
"124","2019-12-19",7.93
"125","2019-12-20",7.97
"126","2019-12-23",8.23
"127","2019-12-24",8.25
"128","2019-12-26",8.52
"129","2019-12-27",8.58
"130","2019-12-30",8.81
"131","2019-12-31",8.76
"132","2020-01-02",9.17
"133","2020-01-03",9.4
"134","2020-01-06",8.98
"135","2020-01-07",8.63
"136","2020-01-08",8.51
"137","2020-01-09",8.44
"138","2020-01-10",8.32
"139","2020-01-13",8.48
"140","2020-01-14",8.76
"141","2020-01-15",8.81
"142","2020-01-16",8.77
"143","2020-01-17",9.04
"144","2020-01-21",8.9
"145","2020-01-22",8.87
"146","2020-01-23",8.88
"147","2020-01-24",8.7
"148","2020-01-27",8.44
"149","2020-01-28",8.45
"150","2020-01-29",8.22
"151","2020-01-30",8.12
"152","2020-01-31",7.91
"153","2020-02-03",8.14
"154","2020-02-04",8.2
"155","2020-02-05",8.25
"156","2020-02-06",8.16
"157","2020-02-07",7.86
"158","2020-02-10",7.66
"159","2020-02-11",7.76
"160","2020-02-12",7.97
"161","2020-02-13",8.26
"162","2020-02-14",7.97
"163","2020-02-18",8.14
"164","2020-02-19",8
"165","2020-02-20",7.8
"166","2020-02-21",7.73
"167","2020-02-24",7.35
"168","2020-02-25",7.1
"169","2020-02-26",7.23
"170","2020-02-27",6.95
"171","2020-02-28",6.95
"172","2020-03-02",7.17
"173","2020-03-03",7.13
"174","2020-03-04",6.56
"175","2020-03-05",6.12
"176","2020-03-06",6.07
"177","2020-03-09",5.32
"178","2020-03-10",5.93
"179","2020-03-11",5.3
"180","2020-03-12",4.23
"181","2020-03-13",4.33
"182","2020-03-16",4.04
"183","2020-03-17",4.41
"184","2020-03-18",3.24
"185","2020-03-19",3.49
"186","2020-03-20",3.71
"187","2020-03-23",3.56
"188","2020-03-24",3.66
"189","2020-03-25",3.99
"190","2020-03-26",4.19
"191","2020-03-27",3.86
"192","2020-03-30",3.67
"193","2020-03-31",3.24
"194","2020-04-01",3.21
"195","2020-04-02",3.2
"196","2020-04-03",3.04
"197","2020-04-06",3.45
"198","2020-04-07",3.86
"199","2020-04-08",4.3
"200","2020-04-09",4.29
"201","2020-04-13",4.28
"202","2020-04-14",4.37
"203","2020-04-15",4.36
"204","2020-04-16",4.37
"205","2020-04-17",4.62
"206","2020-04-20",4.53
"207","2020-04-21",4.4
"208","2020-04-22",4.33
"209","2020-04-23",4.14
"210","2020-04-24",3.62
"211","2020-04-27",3.81
"212","2020-04-28",4.24
"213","2020-04-29",4.23
"214","2020-04-30",3.96
"215","2020-05-01",3.65
"216","2020-05-04",3.7
"217","2020-05-05",3.49
"218","2020-05-06",3.48
"219","2020-05-07",3.27
"220","2020-05-08",3.33
"221","2020-05-11",3.21
"222","2020-05-12",3.04
"223","2020-05-13",2.96
"224","2020-05-14",3.01
"225","2020-05-15",3.27
"226","2020-05-18",3.52
"227","2020-05-19",3.45
"228","2020-05-20",3.51
"229","2020-05-21",3.65
"230","2020-05-22",3.49
"231","2020-05-26",3.8
"232","2020-05-27",3.9
"233","2020-05-28",3.9
"234","2020-05-29",3.72
"235","2020-06-01",3.93
"236","2020-06-02",4.19
"237","2020-06-03",4.37
"238","2020-06-04",4.21
"239","2020-06-05",4.14
"240","2020-06-08",4.25
"241","2020-06-09",4.12
"242","2020-06-10",4.1
"243","2020-06-11",3.9
"244","2020-06-12",3.75
"245","2020-06-15",3.63
"246","2020-06-16",3.45
"247","2020-06-17",3.7
"248","2020-06-18",3.74
"249","2020-06-19",4.02
"250","2020-06-22",4.21
"251","2020-06-23",4.37
"252","2020-06-24",4.24
"253","2020-06-25",4.39
"254","2020-06-26",4.25
"255","2020-06-29",4.31
"256","2020-06-30",4.58
"257","2020-07-01",4.7
"258","2020-07-02",4.58
"259","2020-07-06",4.72
"260","2020-07-07",4.65
"261","2020-07-08",4.87
"262","2020-07-09",4.95
"263","2020-07-10",4.84
"264","2020-07-13",4.67
"265","2020-07-14",4.6
"266","2020-07-15",4.58
"267","2020-07-16",4.59
"268","2020-07-17",4.66
"269","2020-07-20",4.9
"270","2020-07-21",5.37
"271","2020-07-22",5.29
"272","2020-07-23",5.09
"273","2020-07-24",5.12
"274","2020-07-27",5.19
"275","2020-07-28",5.18
"276","2020-07-29",5.24
"277","2020-07-30",5.16
"278","2020-07-31",4.96
"279","2020-08-03",4.71
"280","2020-08-04",4.7
"281","2020-08-05",4.85
"282","2020-08-06",4.89
"283","2020-08-07",4.85
"284","2020-08-10",4.64
"285","2020-08-11",6.26
"286","2020-08-12",5.92
"287","2020-08-13",5.92
"288","2020-08-14",6.7
"289","2020-08-17",6.42
"290","2020-08-18",6.56
"291","2020-08-19",6.43
"292","2020-08-20",6.42
"293","2020-08-21",6.34
"294","2020-08-24",6.27
"295","2020-08-25",6.39
"296","2020-08-26",6.32
"297","2020-08-27",6.38
"298","2020-08-28",6.6
"299","2020-08-31",6.51
"300","2020-09-01",6.91
"301","2020-09-02",6.89
"302","2020-09-03",6.92
"303","2020-09-04",6.72
"304","2020-09-08",6.61
"305","2020-09-09",6.72
"306","2020-09-10",6.62
"307","2020-09-11",6.64
"308","2020-09-14",6.83
"309","2020-09-15",6.84
"310","2020-09-16",6.91
"311","2020-09-17",6.83
"312","2020-09-18",6.68
"313","2020-09-21",6.54
"314","2020-09-22",6.5
"315","2020-09-23",6.31
"316","2020-09-24",6.41
"317","2020-09-25",6.27
"318","2020-09-28",6.15
"319","2020-09-29",6.16
"320","2020-09-30",6.15
"321","2020-10-01",6.25
"322","2020-10-02",6.23
"323","2020-10-05",6.34
"324","2020-10-06",6.15
"325","2020-10-07",6.16
"326","2020-10-08",6.25
"327","2020-10-09",6.38
"328","2020-10-12",6.52
"329","2020-10-13",6.41
"330","2020-10-14",6.4
"331","2020-10-15",6.34
"332","2020-10-16",6.45
"333","2020-10-19",6.59
"334","2020-10-20",6.7
"335","2020-10-21",6.56
"336","2020-10-22",6.6
"337","2020-10-23",6.45
"338","2020-10-26",6.44
