"","date","NBAC"
"1","2020-05-01",9.7
"2","2020-05-04",9.7
"3","2020-05-05",9.76
"4","2020-05-06",9.76
"5","2020-05-07",9.91
"6","2020-05-08",9.82
"7","2020-05-11",9.82
"8","2020-05-12",9.82
"9","2020-05-13",9.82
"10","2020-05-14",9.84
"11","2020-05-15",9.829
"12","2020-05-18",9.829
"13","2020-05-19",9.82
"14","2020-05-20",9.81
"15","2020-05-21",9.81
"16","2020-05-22",9.81
"17","2020-05-26",9.81
"18","2020-05-27",9.82
"19","2020-05-28",9.82
"20","2020-05-29",9.82
"21","2020-06-01",9.82
"22","2020-06-02",9.81
"23","2020-06-03",9.82
"24","2020-06-04",9.82
"25","2020-06-05",9.8
"26","2020-06-08",9.8
"27","2020-06-09",9.81
"28","2020-06-10",9.83
"29","2020-06-11",9.83
"30","2020-06-12",9.82
"31","2020-06-15",9.82
"32","2020-06-16",9.8
"33","2020-06-17",9.83
"34","2020-06-18",9.85
"35","2020-06-19",9.87
"36","2020-06-22",9.87
"37","2020-06-23",9.87
"38","2020-06-24",9.87
"39","2020-06-25",9.9
"40","2020-06-26",9.9
"41","2020-06-29",9.9
"42","2020-06-30",9.92
"43","2020-07-01",9.92
"44","2020-07-02",9.9
"45","2020-07-06",9.91
"46","2020-07-07",9.93
"47","2020-07-08",9.85
"48","2020-07-09",9.91
"49","2020-07-10",9.9
"50","2020-07-13",9.92
"51","2020-07-14",9.94
"52","2020-07-15",9.94
"53","2020-07-16",9.98
"54","2020-07-17",9.98
"55","2020-07-20",9.96
"56","2020-07-21",9.97
"57","2020-07-22",9.97
"58","2020-07-23",9.98
"59","2020-07-24",9.96
"60","2020-07-27",9.96
"61","2020-07-28",9.96
"62","2020-07-29",9.94
"63","2020-07-30",9.94
"64","2020-07-31",9.94
"65","2020-08-03",9.95
"66","2020-08-04",9.95
"67","2020-08-05",9.94
"68","2020-08-06",9.94
"69","2020-08-07",9.923
"70","2020-08-10",9.923
"71","2020-08-11",9.923
"72","2020-08-12",9.9
"73","2020-08-13",9.9
"74","2020-08-14",9.9
"75","2020-08-17",9.91
"76","2020-08-18",9.91
"77","2020-08-19",9.91
"78","2020-08-20",9.945
"79","2020-08-21",9.9
"80","2020-08-24",9.87
"81","2020-08-25",9.92
"82","2020-08-26",9.92
"83","2020-08-27",9.92
"84","2020-08-28",9.91
"85","2020-08-31",9.9
"86","2020-09-01",9.9
"87","2020-09-02",9.9
"88","2020-09-03",9.93
"89","2020-09-04",9.95
"90","2020-09-08",9.9
"91","2020-09-09",9.9
"92","2020-09-10",9.91
"93","2020-09-11",9.91
"94","2020-09-14",9.91
"95","2020-09-15",9.91
"96","2020-09-16",9.91
"97","2020-09-17",9.91
"98","2020-09-18",10.05
"99","2020-09-21",9.9
"100","2020-09-22",9.91
"101","2020-09-23",9.94
"102","2020-09-24",9.94
"103","2020-09-25",9.9
"104","2020-09-28",9.91
"105","2020-09-29",9.98
"106","2020-09-30",9.98
"107","2020-10-01",9.98
"108","2020-10-02",9.97
"109","2020-10-05",9.97
"110","2020-10-06",9.95
"111","2020-10-07",9.95
"112","2020-10-08",9.97
"113","2020-10-09",9.92
"114","2020-10-12",9.95
"115","2020-10-13",9.955
"116","2020-10-14",10
"117","2020-10-15",10
"118","2020-10-16",10
"119","2020-10-19",10
"120","2020-10-20",10
"121","2020-10-21",9.975
"122","2020-10-22",9.95
"123","2020-10-23",9.96
"124","2020-10-26",9.92
"125","2020-10-27",9.92
"126","2020-10-28",9.91
"127","2020-10-29",9.91
"128","2020-10-30",9.9
"129","2020-11-02",9.955
"130","2020-11-03",9.955
"131","2020-11-04",9.955
"132","2020-11-05",9.951
"133","2020-11-06",9.951
"134","2020-11-09",9.951
"135","2020-11-10",9.951
"136","2020-11-11",9.93
"137","2020-11-12",9.99
"138","2020-11-13",9.99
"139","2020-11-16",10.005
"140","2020-11-17",10
"141","2020-11-18",10.01
"142","2020-11-19",10.05
"143","2020-11-20",10.15
"144","2020-11-23",11.1
"145","2020-11-24",11.96
"146","2020-11-25",22.27
"147","2020-11-27",17.299999
