"","date","NI"
"1","2007-01-03",9.536345
"2","2007-01-04",9.500982
"3","2007-01-05",9.261296
"4","2007-01-08",9.24558
"5","2007-01-09",9.273085
"6","2007-01-10",9.335953
"7","2007-01-11",9.30059
"8","2007-01-12",9.265226
"9","2007-01-16",9.288801
"10","2007-01-17",9.257367
"11","2007-01-18",9.194499
"12","2007-01-19",9.147347
"13","2007-01-22",9.123772
"14","2007-01-23",9.202357
"15","2007-01-24",9.316306
"16","2007-01-25",9.410609
"17","2007-01-26",9.508841
"18","2007-01-29",9.355599
"19","2007-01-30",9.363458
"20","2007-01-31",9.35167
"21","2007-02-01",9.390963
"22","2007-02-02",9.40668
"23","2007-02-05",9.410609
"24","2007-02-06",9.449902
"25","2007-02-07",9.469548
"26","2007-02-08",9.555992
"27","2007-02-09",9.56778
"28","2007-02-12",9.497053
"29","2007-02-13",9.587426
"30","2007-02-14",9.662083
"31","2007-02-15",9.614931
"32","2007-02-16",9.552063
"33","2007-02-20",9.658154
"34","2007-02-21",9.559921
"35","2007-02-22",9.544205
"36","2007-02-23",9.548134
"37","2007-02-26",9.61886
"38","2007-02-27",9.40275
"39","2007-02-28",9.347741
"40","2007-03-01",9.363458
"41","2007-03-02",9.249509
"42","2007-03-05",9.155207
"43","2007-03-06",9.292731
"44","2007-03-07",9.202357
"45","2007-03-08",9.210217
"46","2007-03-09",9.253438
"47","2007-03-12",9.35167
"48","2007-03-13",9.210217
"49","2007-03-14",9.241651
"50","2007-03-15",9.383104
"51","2007-03-16",9.335953
"52","2007-03-19",9.394892
"53","2007-03-20",9.508841
"54","2007-03-21",9.524558
"55","2007-03-22",9.536345
"56","2007-03-23",9.56778
"57","2007-03-26",9.591355
"58","2007-03-27",9.634578
"59","2007-03-28",9.599215
"60","2007-03-29",9.67387
"61","2007-03-30",9.603144
"62","2007-04-02",9.78389
"63","2007-04-03",9.764244
"64","2007-04-04",9.72888
"65","2007-04-05",9.764244
"66","2007-04-09",9.8389
"67","2007-04-10",9.83497
"68","2007-04-11",9.795678
"69","2007-04-12",9.752456
"70","2007-04-13",9.827112
"71","2007-04-16",9.732809
"72","2007-04-17",9.772102
"73","2007-04-18",9.740668
"74","2007-04-19",9.72888
"75","2007-04-20",9.744597
"76","2007-04-23",9.732809
"77","2007-04-24",9.67387
"78","2007-04-25",9.882122
"79","2007-04-26",9.791749
"80","2007-04-27",9.779961
"81","2007-04-30",9.662083
"82","2007-05-01",9.744597
"83","2007-05-02",9.823183
"84","2007-05-03",9.854617
"85","2007-05-04",9.83497
"86","2007-05-07",9.941061
"87","2007-05-08",9.862475
"88","2007-05-09",9.858546
"89","2007-05-10",9.724951
"90","2007-05-11",9.776031
"91","2007-05-14",9.858546
"92","2007-05-15",9.827112
"93","2007-05-16",9.8389
"94","2007-05-17",9.791749
"95","2007-05-18",9.964637
"96","2007-05-21",9.882122
"97","2007-05-22",9.901768
"98","2007-05-23",9.685658
"99","2007-05-24",9.414538
"100","2007-05-25",9.394892
"101","2007-05-29",9.40668
"102","2007-05-30",8.671906
"103","2007-05-31",8.726915
"104","2007-06-01",8.656189
"105","2007-06-04",8.632613
"106","2007-06-05",8.550098
"107","2007-06-06",8.502947
"108","2007-06-07",8.231827
"109","2007-06-08",8.27112
"110","2007-06-11",8.404716
"111","2007-06-12",8.282907
"112","2007-06-13",8.345776
"113","2007-06-14",8.330059
"114","2007-06-15",8.447937
"115","2007-06-18",8.42829
"116","2007-06-19",8.377211
"117","2007-06-20",8.196464
"118","2007-06-21",8.243615
"119","2007-06-22",8.094302
"120","2007-06-25",8.106091
"121","2007-06-26",8.003929
"122","2007-06-27",8.051081
"123","2007-06-28",8.113949
"124","2007-06-29",8.137525
"125","2007-07-02",8.298625
"126","2007-07-03",8.282907
"127","2007-07-05",8.176817
"128","2007-07-06",8.192534
"129","2007-07-09",8.192534
"130","2007-07-10",8.133595
"131","2007-07-11",8.208251
"132","2007-07-12",8.282907
"133","2007-07-13",8.345776
"134","2007-07-16",8.235756
"135","2007-07-17",8.239686
"136","2007-07-18",8.267191
"137","2007-07-19",8.424361
"138","2007-07-20",8.282907
"139","2007-07-23",8.322201
"140","2007-07-24",7.968566
"141","2007-07-25",8
"142","2007-07-26",7.850688
"143","2007-07-27",7.555992
"144","2007-07-30",7.654224
"145","2007-07-31",7.493124
"146","2007-08-01",7.697446
"147","2007-08-02",7.980354
"148","2007-08-03",7.453831
"149","2007-08-06",7.548133
"150","2007-08-07",7.540275
"151","2007-08-08",7.422397
"152","2007-08-09",7.13163
"153","2007-08-10",7.62279
"154","2007-08-13",7.288802
"155","2007-08-14",7.280943
"156","2007-08-15",7.229863
"157","2007-08-16",7.257368
"158","2007-08-17",7.434185
"159","2007-08-20",7.371316
"160","2007-08-21",7.51277
"161","2007-08-22",7.552063
"162","2007-08-23",7.666012
"163","2007-08-24",7.799607
"164","2007-08-27",7.544204
"165","2007-08-28",7.328094
"166","2007-08-29",7.422397
"167","2007-08-30",7.387033
"168","2007-08-31",7.40275
"169","2007-09-04",7.493124
"170","2007-09-05",7.40668
"171","2007-09-06",7.434185
"172","2007-09-07",7.355599
"173","2007-09-10",7.35167
"174","2007-09-11",7.469548
"175","2007-09-12",7.591356
"176","2007-09-13",7.508841
"177","2007-09-14",7.532416
"178","2007-09-17",7.481336
"179","2007-09-18",7.658153
"180","2007-09-19",7.736739
"181","2007-09-20",7.642436
"182","2007-09-21",7.62279
"183","2007-09-24",7.634578
"184","2007-09-25",7.56778
"185","2007-09-26",7.634578
"186","2007-09-27",7.614931
"187","2007-09-28",7.520628
"188","2007-10-01",7.6778
"189","2007-10-02",7.701375
"190","2007-10-03",7.654224
"191","2007-10-04",7.685658
"192","2007-10-05",7.819253
"193","2007-10-08",7.88998
"194","2007-10-09",8.106091
"195","2007-10-10",8.078586
"196","2007-10-11",8.078586
"197","2007-10-12",8.070727
"198","2007-10-15",7.988212
"199","2007-10-16",7.897839
"200","2007-10-17",7.913556
"201","2007-10-18",7.88998
"202","2007-10-19",7.717093
"203","2007-10-22",7.740668
"204","2007-10-23",7.658153
"205","2007-10-24",7.709234
"206","2007-10-25",7.799607
"207","2007-10-26",7.850688
"208","2007-10-29",7.779961
"209","2007-10-30",7.905697
"210","2007-10-31",8.035363
"211","2007-11-01",7.842829
"212","2007-11-02",7.320236
"213","2007-11-05",7.174853
"214","2007-11-06",7.151277
"215","2007-11-07",6.880157
"216","2007-11-08",7.111984
"217","2007-11-09",7.041257
"218","2007-11-12",7.029469
"219","2007-11-13",7.068762
"220","2007-11-14",7.056974
"221","2007-11-15",7.056974
"222","2007-11-16",7.060904
"223","2007-11-19",7.041257
"224","2007-11-20",7.068762
"225","2007-11-21",7.072691
"226","2007-11-23",7.194499
"227","2007-11-26",7.021611
"228","2007-11-27",7.084479
"229","2007-11-28",7.222004
"230","2007-11-29",7.178782
"231","2007-11-30",7.273085
"232","2007-12-03",7.277014
"233","2007-12-04",7.261297
