"","date","SF"
"1","2007-01-03",17.32
"2","2007-01-04",17.315556
"3","2007-01-05",16.768888
"4","2007-01-08",16.928888
"5","2007-01-09",19.231112
"6","2007-01-10",19.133333
"7","2007-01-11",20.275555
"8","2007-01-12",21.035555
"9","2007-01-16",21.266666
"10","2007-01-17",20.595556
"11","2007-01-18",20.484444
"12","2007-01-19",20.546667
"13","2007-01-22",20.51111
"14","2007-01-23",20.377777
"15","2007-01-24",20.462223
"16","2007-01-25",20.493334
"17","2007-01-26",20.755556
"18","2007-01-29",20.933332
"19","2007-01-30",21.164444
"20","2007-01-31",21.413334
"21","2007-02-01",21.617777
"22","2007-02-02",21.324444
"23","2007-02-05",20.755556
"24","2007-02-06",20.964445
"25","2007-02-07",21.262222
"26","2007-02-08",20.955555
"27","2007-02-09",20.6
"28","2007-02-12",20.76
"29","2007-02-13",21.066668
"30","2007-02-14",22.333334
"31","2007-02-15",22.666666
"32","2007-02-16",22.48889
"33","2007-02-20",22.804445
"34","2007-02-21",22.973333
"35","2007-02-22",22.697779
"36","2007-02-23",22.235556
"37","2007-02-26",21.853333
"38","2007-02-27",20.306667
"39","2007-02-28",21.177778
"40","2007-03-01",20.764444
"41","2007-03-02",19.644444
"42","2007-03-05",18.297777
"43","2007-03-06",18.911112
"44","2007-03-07",19.244444
"45","2007-03-08",18.524445
"46","2007-03-09",19.262222
"47","2007-03-12",19.124445
"48","2007-03-13",18.053333
"49","2007-03-14",18.742222
"50","2007-03-15",18.973333
"51","2007-03-16",19.066668
"52","2007-03-19",19.337778
"53","2007-03-20",19.111111
"54","2007-03-21",19.884445
"55","2007-03-22",20.013334
"56","2007-03-23",20.008888
"57","2007-03-26",20.022223
"58","2007-03-27",20.057777
"59","2007-03-28",19.902222
"60","2007-03-29",20
"61","2007-03-30",19.688889
"62","2007-04-02",19.022223
"63","2007-04-03",19.693333
"64","2007-04-04",19.68
"65","2007-04-05",19.435556
"66","2007-04-09",19.622223
"67","2007-04-10",19.911112
"68","2007-04-11",20.524445
"69","2007-04-12",20.804445
"70","2007-04-13",20.924444
"71","2007-04-16",21.657778
"72","2007-04-17",21.639999
"73","2007-04-18",21.235556
"74","2007-04-19",20.862223
"75","2007-04-20",21.222221
"76","2007-04-23",21.284445
"77","2007-04-24",21.306667
"78","2007-04-25",21.324444
"79","2007-04-26",21.026667
"80","2007-04-27",20.831112
"81","2007-04-30",19.959999
"82","2007-05-01",20.799999
"83","2007-05-02",21.066668
"84","2007-05-03",20.951111
"85","2007-05-04",21.360001
"86","2007-05-07",20.902222
"87","2007-05-08",20.951111
"88","2007-05-09",21.084444
"89","2007-05-10",20.275555
"90","2007-05-11",21.831112
"91","2007-05-14",20.888889
"92","2007-05-15",20.737778
"93","2007-05-16",21.946667
"94","2007-05-17",21.653334
"95","2007-05-18",21.915556
"96","2007-05-21",22.066668
"97","2007-05-22",22.32
"98","2007-05-23",22.466667
"99","2007-05-24",22.040001
"100","2007-05-25",24.053333
"101","2007-05-29",24.484444
"102","2007-05-30",24.773333
"103","2007-05-31",26.76
"104","2007-06-01",26.595556
"105","2007-06-04",26.595556
"106","2007-06-05",26.542223
"107","2007-06-06",26.217777
"108","2007-06-07",25.133333
"109","2007-06-08",25.502222
"110","2007-06-11",25.466667
"111","2007-06-12",25.133333
"112","2007-06-13",26.008888
"113","2007-06-14",26.528889
"114","2007-06-15",26.813334
"115","2007-06-18",26.817778
