"","date","MMI"
"1","2013-10-31",13.42
"2","2013-11-01",13.91
"3","2013-11-04",14.02
"4","2013-11-05",13.59
"5","2013-11-06",13.92
"6","2013-11-07",14
"7","2013-11-08",13.66
"8","2013-11-11",13.66
"9","2013-11-12",13.4
"10","2013-11-13",13.57
"11","2013-11-14",13.15
"12","2013-11-15",13.15
"13","2013-11-18",13.6
"14","2013-11-19",13.48
"15","2013-11-20",13.82
"16","2013-11-21",13.96
"17","2013-11-22",14.2
"18","2013-11-25",14.18
"19","2013-11-26",13.87
"20","2013-11-27",13.86
"21","2013-11-29",13.72
"22","2013-12-02",14.24
"23","2013-12-03",14.75
"24","2013-12-04",14.75
"25","2013-12-05",14.52
"26","2013-12-06",13.88
"27","2013-12-09",14.48
"28","2013-12-10",14.48
"29","2013-12-11",14.41
"30","2013-12-12",14.09
"31","2013-12-13",14.26
"32","2013-12-16",14.45
"33","2013-12-17",14.38
"34","2013-12-18",14.91
"35","2013-12-19",14.97
"36","2013-12-20",14.8
"37","2013-12-23",15.21
"38","2013-12-24",14.95
"39","2013-12-26",14.6
"40","2013-12-27",14.68
"41","2013-12-30",14.07
"42","2013-12-31",14.9
"43","2014-01-02",14.54
"44","2014-01-03",14.6
"45","2014-01-06",14.52
"46","2014-01-07",13.88
"47","2014-01-08",14.49
"48","2014-01-09",14.43
"49","2014-01-10",14.44
"50","2014-01-13",14.31
"51","2014-01-14",14.46
"52","2014-01-15",14.84
"53","2014-01-16",14.84
"54","2014-01-17",14.87
"55","2014-01-21",14.71
"56","2014-01-22",15
"57","2014-01-23",14.88
"58","2014-01-24",14.98
"59","2014-01-27",15.72
"60","2014-01-28",15.34
"61","2014-01-29",15.9
"62","2014-01-30",15.93
"63","2014-01-31",16.67
"64","2014-02-03",15.96
"65","2014-02-04",16.41
"66","2014-02-05",15.91
"67","2014-02-06",16.35
"68","2014-02-07",16.200001
"69","2014-02-10",16.1
"70","2014-02-11",15.75
"71","2014-02-12",16.08
"72","2014-02-13",16.299999
"73","2014-02-14",16.139999
"74","2014-02-18",16.15
"75","2014-02-19",16.24
"76","2014-02-20",15.98
"77","2014-02-21",16.07
"78","2014-02-24",15.46
"79","2014-02-25",15.94
"80","2014-02-26",15.94
"81","2014-02-27",16.49
"82","2014-02-28",16.77
"83","2014-03-03",16.559999
"84","2014-03-04",17.280001
"85","2014-03-05",17.43
"86","2014-03-06",17.49
"87","2014-03-07",17.85
"88","2014-03-10",17.52
"89","2014-03-11",17.200001
"90","2014-03-12",16.99
"91","2014-03-13",16.83
"92","2014-03-14",17
"93","2014-03-17",16.42
"94","2014-03-18",16.809999
"95","2014-03-19",18.24
"96","2014-03-20",17.889999
"97","2014-03-21",17.4
"98","2014-03-24",17.59
"99","2014-03-25",17.6
"100","2014-03-26",17.33
"101","2014-03-27",17.18
"102","2014-03-28",17.370001
"103","2014-03-31",17.84
"104","2014-04-01",17.65
"105","2014-04-02",18.41
"106","2014-04-03",18.809999
"107","2014-04-04",18.41
"108","2014-04-07",18.15
"109","2014-04-08",18.27
"110","2014-04-09",17.860001
"111","2014-04-10",17.629999
"112","2014-04-11",17.459999
"113","2014-04-14",17.41
"114","2014-04-15",17.389999
"115","2014-04-16",17.110001
"116","2014-04-17",17.1
"117","2014-04-21",17.16
"118","2014-04-22",16.969999
"119","2014-04-23",16.92
"120","2014-04-24",17.110001
"121","2014-04-25",16.98
"122","2014-04-28",17.6
"123","2014-04-29",16.620001
"124","2014-04-30",16.530001
"125","2014-05-01",16
"126","2014-05-02",16.34
"127","2014-05-05",16.440001
"128","2014-05-06",15.73
"129","2014-05-07",15.73
"130","2014-05-08",15.75
"131","2014-05-09",17.459999
"132","2014-05-12",18.41
"133","2014-05-13",17.969999
"134","2014-05-14",18.120001
"135","2014-05-15",18
"136","2014-05-16",18.219999
"137","2014-05-19",18.48
"138","2014-05-20",18.129999
"139","2014-05-21",18.99
"140","2014-05-22",18.959999
"141","2014-05-23",18.92
"142","2014-05-27",19.92
"143","2014-05-28",21.01
"144","2014-05-29",20.700001
"145","2014-05-30",20.35
"146","2014-06-02",20.809999
"147","2014-06-03",20.33
"148","2014-06-04",20.790001
"149","2014-06-05",21.5
"150","2014-06-06",22.49
"151","2014-06-09",23.68
"152","2014-06-10",24.690001
"153","2014-06-11",25.74
"154","2014-06-12",25.450001
"155","2014-06-13",24.049999
"156","2014-06-16",24.299999
"157","2014-06-17",24.799999
"158","2014-06-18",24.959999
"159","2014-06-19",22.889999
"160","2014-06-20",23.32
"161","2014-06-23",23.709999
"162","2014-06-24",24.030001
"163","2014-06-25",25.1
"164","2014-06-26",25.73
"165","2014-06-27",25.75
"166","2014-06-30",25.51
"167","2014-07-01",25.530001
"168","2014-07-02",23.48
"169","2014-07-03",24.25
"170","2014-07-07",23.41
"171","2014-07-08",23.559999
"172","2014-07-09",23.940001
"173","2014-07-10",23.93
"174","2014-07-11",24.030001
"175","2014-07-14",24.610001
"176","2014-07-15",23.74
