"","date","KNOP"
"1","2013-04-10",21.790001
"2","2013-04-11",21.969999
"3","2013-04-12",22.23
"4","2013-04-15",22.24
"5","2013-04-16",22.190001
"6","2013-04-17",22.059999
"7","2013-04-18",22.040001
"8","2013-04-19",22.07
"9","2013-04-22",22.200001
"10","2013-04-23",22.219999
"11","2013-04-24",22.129999
"12","2013-04-25",22.280001
"13","2013-04-26",22.299999
"14","2013-04-29",22.440001
"15","2013-04-30",22.4
"16","2013-05-01",22.49
"17","2013-05-02",22.700001
"18","2013-05-03",22.85
"19","2013-05-06",22.99
"20","2013-05-07",23.4
"21","2013-05-08",23.51
"22","2013-05-09",23.41
"23","2013-05-10",23.389999
"24","2013-05-13",23.75
"25","2013-05-14",23.5
"26","2013-05-15",23.299999
"27","2013-05-16",23.299999
"28","2013-05-17",23.639999
"29","2013-05-20",24.120001
"30","2013-05-21",24.549999
"31","2013-05-22",24.5
"32","2013-05-23",24.049999
"33","2013-05-24",24.110001
"34","2013-05-28",24.15
"35","2013-05-29",24.02
"36","2013-05-30",24
"37","2013-05-31",23.34
"38","2013-06-03",23.379999
"39","2013-06-04",23.52
"40","2013-06-05",22.82
"41","2013-06-06",22.809999
"42","2013-06-07",22.98
"43","2013-06-10",22.860001
"44","2013-06-11",22.5
"45","2013-06-12",22.6
"46","2013-06-13",22.74
"47","2013-06-14",22.879999
"48","2013-06-17",22.85
"49","2013-06-18",22.75
"50","2013-06-19",22.540001
"51","2013-06-20",22.09
"52","2013-06-21",21.82
"53","2013-06-24",21.5
"54","2013-06-25",21.1
"55","2013-06-26",21.75
"56","2013-06-27",22.190001
"57","2013-06-28",22.02
"58","2013-07-01",22.35
"59","2013-07-02",22.75
"60","2013-07-03",22.5
"61","2013-07-05",22.16
"62","2013-07-08",22.4
"63","2013-07-09",22.5
"64","2013-07-10",22.559999
"65","2013-07-11",22.93
"66","2013-07-12",23.58
"67","2013-07-15",23.610001
"68","2013-07-16",23.719999
"69","2013-07-17",23.219999
"70","2013-07-18",23.940001
"71","2013-07-19",23.6
"72","2013-07-22",23.969999
"73","2013-07-23",25.379999
"74","2013-07-24",24.379999
"75","2013-07-25",24.299999
"76","2013-07-26",23.99
"77","2013-07-29",24.6
"78","2013-07-30",24.35
"79","2013-07-31",24.24
"80","2013-08-01",23.98
"81","2013-08-02",23.860001
"82","2013-08-05",23.27
"83","2013-08-06",23
"84","2013-08-07",23.42
"85","2013-08-08",23
"86","2013-08-09",22.35
"87","2013-08-12",23.18
"88","2013-08-13",22.92
"89","2013-08-14",23.209999
"90","2013-08-15",23.6
"91","2013-08-16",23.799999
"92","2013-08-19",23.459999
"93","2013-08-20",23.65
"94","2013-08-21",23.559999
"95","2013-08-22",24.02
"96","2013-08-23",24.059999
"97","2013-08-26",24.110001
"98","2013-08-27",24.049999
"99","2013-08-28",24.65
"100","2013-08-29",24.209999
"101","2013-08-30",24.049999
"102","2013-09-03",24.110001
"103","2013-09-04",24.01
"104","2013-09-05",24.24
"105","2013-09-06",24.15
"106","2013-09-09",24.309999
"107","2013-09-10",24
"108","2013-09-11",24.25
"109","2013-09-12",24.25
"110","2013-09-13",24.049999
"111","2013-09-16",24.6
"112","2013-09-17",24.139999
"113","2013-09-18",24.15
"114","2013-09-19",24.6
"115","2013-09-20",25
"116","2013-09-23",24.99
"117","2013-09-24",25.25
"118","2013-09-25",25.23
"119","2013-09-26",24.129999
