"","date","PROG"
"1","2020-06-19",13.12
"2","2020-06-22",11.97
"3","2020-06-23",11.3
"4","2020-06-24",11.52
"5","2020-06-25",10.5
"6","2020-06-26",9.98
"7","2020-06-29",9.75
"8","2020-06-30",9
"9","2020-07-01",7.98
"10","2020-07-02",8.8
"11","2020-07-06",8.73
"12","2020-07-07",9.42
"13","2020-07-08",10.05
"14","2020-07-09",9.25
"15","2020-07-10",9.53
"16","2020-07-13",8.74
"17","2020-07-14",9.29
"18","2020-07-15",10.2
"19","2020-07-16",10.79
"20","2020-07-17",10.71
"21","2020-07-20",10.29
"22","2020-07-21",9.05
"23","2020-07-22",9.04
"24","2020-07-23",9.01
"25","2020-07-24",8.94
"26","2020-07-27",8.7
"27","2020-07-28",8.52
"28","2020-07-29",8.29
"29","2020-07-30",8.77
"30","2020-07-31",9.11
"31","2020-08-03",9.08
"32","2020-08-04",9.09
"33","2020-08-05",8.74
"34","2020-08-06",9
"35","2020-08-07",9.09
"36","2020-08-10",9.1
"37","2020-08-11",8.96
"38","2020-08-12",9.13
"39","2020-08-13",8.95
"40","2020-08-14",7.71
"41","2020-08-17",9.54
"42","2020-08-18",9.56
"43","2020-08-19",8.85
"44","2020-08-20",9.55
"45","2020-08-21",9.07
"46","2020-08-24",9.15
"47","2020-08-25",8.78
"48","2020-08-26",8.98
"49","2020-08-27",8.9
"50","2020-08-28",9.1
"51","2020-08-31",9.23
"52","2020-09-01",9.05
"53","2020-09-02",8.99
"54","2020-09-03",8.29
"55","2020-09-04",8.9
"56","2020-09-08",8.99
"57","2020-09-09",9.6
"58","2020-09-10",8.64
"59","2020-09-11",8.92
"60","2020-09-14",9.45
"61","2020-09-15",9.16
"62","2020-09-16",9.21
"63","2020-09-17",9.19
"64","2020-09-18",8.48
"65","2020-09-21",8.31
"66","2020-09-22",8.3
"67","2020-09-23",8.71
"68","2020-09-24",8.53
"69","2020-09-25",8.75
"70","2020-09-28",8.85
"71","2020-09-29",8.87
"72","2020-09-30",9.02
"73","2020-10-01",9.35
"74","2020-10-02",9.29
"75","2020-10-05",9.1
"76","2020-10-06",9.09
"77","2020-10-07",9.22
"78","2020-10-08",9.48
"79","2020-10-09",9.26
"80","2020-10-12",9.13
"81","2020-10-13",9.14
"82","2020-10-14",8.98
"83","2020-10-15",9
"84","2020-10-16",9.03
"85","2020-10-19",8.96
"86","2020-10-20",8.13
"87","2020-10-21",7.99
"88","2020-10-22",7.8
"89","2020-10-23",7.91
"90","2020-10-26",7.95
"91","2020-10-27",7.91
"92","2020-10-28",7.69
"93","2020-10-29",5.96
"94","2020-10-30",4.99
"95","2020-11-02",4.27
"96","2020-11-03",4.3
"97","2020-11-04",4.32
"98","2020-11-05",5.1
"99","2020-11-06",4.88
"100","2020-11-09",4.87
"101","2020-11-10",4.6
"102","2020-11-11",4.72
"103","2020-11-12",4.39
"104","2020-11-13",4.47
"105","2020-11-16",4.39
"106","2020-11-17",4.21
"107","2020-11-18",4.16
"108","2020-11-19",4
"109","2020-11-20",3.92
"110","2020-11-23",3.64
"111","2020-11-24",3.9
"112","2020-11-25",3.91
"113","2020-11-27",3.9
