"","date","MWK"
"1","2019-06-12",10
"2","2019-06-13",9.17
"3","2019-06-14",8.5
"4","2019-06-17",7.05
"5","2019-06-18",7.15
"6","2019-06-19",6.5
"7","2019-06-20",6.22
"8","2019-06-21",6.31
"9","2019-06-24",6.7
"10","2019-06-25",7.07
"11","2019-06-26",7.61
"12","2019-06-27",7.98
"13","2019-06-28",8.07
"14","2019-07-01",7.84
"15","2019-07-02",7.35
"16","2019-07-03",7.31
"17","2019-07-05",7.64
"18","2019-07-08",7.16
"19","2019-07-09",7.5
"20","2019-07-10",7.44
"21","2019-07-11",7.25
"22","2019-07-12",7.28
"23","2019-07-15",7.28
"24","2019-07-16",7.5
"25","2019-07-17",7.35
"26","2019-07-18",7.41
"27","2019-07-19",7.5
"28","2019-07-22",7.495
"29","2019-07-23",7.5
"30","2019-07-24",7.24
"31","2019-07-25",7.05
"32","2019-07-26",7.27
"33","2019-07-29",7.125
"34","2019-07-30",6.96
"35","2019-07-31",7.02
"36","2019-08-01",6.409
"37","2019-08-02",6.24
"38","2019-08-05",6.3
"39","2019-08-06",6.65
"40","2019-08-07",6.23
"41","2019-08-08",6.5
"42","2019-08-09",6.82
"43","2019-08-12",7.25
"44","2019-08-13",7.3
"45","2019-08-14",6.93
"46","2019-08-15",7.29
"47","2019-08-16",7.075
"48","2019-08-19",7.1
"49","2019-08-20",6.71
"50","2019-08-21",7.4
"51","2019-08-22",7.99
"52","2019-08-23",8.43
"53","2019-08-26",8.41
"54","2019-08-27",8.44
"55","2019-08-28",8.78
"56","2019-08-29",9.24
"57","2019-08-30",8.86
"58","2019-09-03",8.2
"59","2019-09-04",8.09
"60","2019-09-05",9.43
"61","2019-09-06",9.02
"62","2019-09-09",8.27
"63","2019-09-10",7.975
"64","2019-09-11",7.96
"65","2019-09-12",7.49
"66","2019-09-13",7.96
"67","2019-09-16",7.99
"68","2019-09-17",7.84
"69","2019-09-18",7.51
"70","2019-09-19",7.17
"71","2019-09-20",7.23
"72","2019-09-23",7.37
"73","2019-09-24",7.27
"74","2019-09-25",7.16
"75","2019-09-26",7.75
"76","2019-09-27",7.69
"77","2019-09-30",7.82
"78","2019-10-01",7.45
"79","2019-10-02",7.1
"80","2019-10-03",7.05
"81","2019-10-04",7.09
"82","2019-10-07",6.75
"83","2019-10-08",6.67
"84","2019-10-09",6.65
"85","2019-10-10",6.86
"86","2019-10-11",6.8
"87","2019-10-14",6.68
"88","2019-10-15",6.7
"89","2019-10-16",7
"90","2019-10-17",7.06
"91","2019-10-18",6.96
"92","2019-10-21",6.86
"93","2019-10-22",6.8
"94","2019-10-23",6.8
"95","2019-10-24",6.73
"96","2019-10-25",6.5
"97","2019-10-28",6.73
"98","2019-10-29",6.38
"99","2019-10-30",6.05
"100","2019-10-31",5.85
"101","2019-11-01",6.03
"102","2019-11-04",6.49
"103","2019-11-05",6.52
"104","2019-11-06",6.59
"105","2019-11-07",6.55
"106","2019-11-08",6.42
"107","2019-11-11",6.49
"108","2019-11-12",6.38
"109","2019-11-13",5.95
"110","2019-11-14",6.14
"111","2019-11-15",6
"112","2019-11-18",5.23
"113","2019-11-19",5.35
"114","2019-11-20",5.67
"115","2019-11-21",5.65
"116","2019-11-22",5.547
"117","2019-11-25",5.5
"118","2019-11-26",5.43
"119","2019-11-27",5.45
"120","2019-11-29",6
"121","2019-12-02",5.85
"122","2019-12-03",5.581
"123","2019-12-04",5.57
"124","2019-12-05",5.43
"125","2019-12-06",5.5
"126","2019-12-09",5.12
"127","2019-12-10",4.43
"128","2019-12-11",4.624
"129","2019-12-12",4.53
"130","2019-12-13",4.42
"131","2019-12-16",4.59
"132","2019-12-17",4.46
"133","2019-12-18",4.338
"134","2019-12-19",4.305
"135","2019-12-20",4.82
"136","2019-12-23",5
"137","2019-12-24",5.065
"138","2019-12-26",5.4
"139","2019-12-27",6.15
"140","2019-12-30",6.29
"141","2019-12-31",5.89
"142","2020-01-02",5.56
"143","2020-01-03",5.65
"144","2020-01-06",5.514
"145","2020-01-07",5.73
"146","2020-01-08",5.61
"147","2020-01-09",5.79
"148","2020-01-10",5.718
"149","2020-01-13",5.5
"150","2020-01-14",5.84
"151","2020-01-15",5.6
"152","2020-01-16",5.71
"153","2020-01-17",5.59
"154","2020-01-21",5.71
"155","2020-01-22",5.55
"156","2020-01-23",5.41
"157","2020-01-24",5.53
"158","2020-01-27",5.31
"159","2020-01-28",5.435
"160","2020-01-29",5.285
"161","2020-01-30",5.07
"162","2020-01-31",4.6
"163","2020-02-03",4.55
"164","2020-02-04",4.211
"165","2020-02-05",4.295
"166","2020-02-06",4.19
"167","2020-02-07",4.37
"168","2020-02-10",4.409
"169","2020-02-11",4.17
"170","2020-02-12",4.1
"171","2020-02-13",3.889
"172","2020-02-14",4.03
"173","2020-02-18",3.99
"174","2020-02-19",4.276
"175","2020-02-20",4.016
"176","2020-02-21",4.05
"177","2020-02-24",4
"178","2020-02-25",3.9
"179","2020-02-26",3.825
"180","2020-02-27",3.75
"181","2020-02-28",3.75
"182","2020-03-02",3.61
"183","2020-03-03",3.551
"184","2020-03-04",3.81
"185","2020-03-05",4
"186","2020-03-06",3.68
"187","2020-03-09",3.45
"188","2020-03-10",3.72
"189","2020-03-11",3.44
"190","2020-03-12",2.83
"191","2020-03-13",3.05
"192","2020-03-16",3.07
"193","2020-03-17",2.665
"194","2020-03-18",2.72
"195","2020-03-19",2.15
"196","2020-03-20",1.8
"197","2020-03-23",1.796
"198","2020-03-24",1.699
"199","2020-03-25",1.84
"200","2020-03-26",1.929
"201","2020-03-27",1.935
"202","2020-03-30",1.78
"203","2020-03-31",1.69
"204","2020-04-01",1.61
"205","2020-04-02",1.7
"206","2020-04-03",1.99
"207","2020-04-06",1.78
"208","2020-04-07",1.69
"209","2020-04-08",1.758
"210","2020-04-09",2.14
"211","2020-04-13",2.01
"212","2020-04-14",2.357
"213","2020-04-15",2.4
"214","2020-04-16",2.35
"215","2020-04-17",2.5
"216","2020-04-20",2.58
"217","2020-04-21",2.54
"218","2020-04-22",2.44
"219","2020-04-23",2.31
"220","2020-04-24",2.25
"221","2020-04-27",2.02
"222","2020-04-28",2.23
"223","2020-04-29",3.4
"224","2020-04-30",4.25
"225","2020-05-01",4.5
"226","2020-05-04",4
"227","2020-05-05",3.9
"228","2020-05-06",4
"229","2020-05-07",4.18
"230","2020-05-08",4.05
"231","2020-05-11",4.3
"232","2020-05-12",4.23
"233","2020-05-13",4.07
"234","2020-05-14",3.84
"235","2020-05-15",4.16
"236","2020-05-18",4.26
"237","2020-05-19",4.37
"238","2020-05-20",4.3
"239","2020-05-21",4.41
"240","2020-05-22",4.34
"241","2020-05-26",4.9
"242","2020-05-27",5.44
"243","2020-05-28",5.54
"244","2020-05-29",5.15
"245","2020-06-01",4.95
"246","2020-06-02",4.94
"247","2020-06-03",4.75
"248","2020-06-04",5.2
"249","2020-06-05",5.23
"250","2020-06-08",5.32
"251","2020-06-09",5.31
"252","2020-06-10",5.38
"253","2020-06-11",4.92
"254","2020-06-12",4.98
"255","2020-06-15",5.09
"256","2020-06-16",5.21
"257","2020-06-17",5.44
"258","2020-06-18",5.62
"259","2020-06-19",5.7
"260","2020-06-22",5.75
"261","2020-06-23",5.78
"262","2020-06-24",5.61
"263","2020-06-25",5.63
"264","2020-06-26",5.75
"265","2020-06-29",5.44
"266","2020-06-30",5.49
"267","2020-07-01",5.6
"268","2020-07-02",5.54
"269","2020-07-06",5.5
"270","2020-07-07",5.3
"271","2020-07-08",5.33
"272","2020-07-09",5.41
"273","2020-07-10",5.35
"274","2020-07-13",4.9
"275","2020-07-14",5.15
"276","2020-07-15",5.35
"277","2020-07-16",5.25
"278","2020-07-17",5.905
"279","2020-07-20",5.885
"280","2020-07-21",6.21
"281","2020-07-22",6.9
"282","2020-07-23",7.1
"283","2020-07-24",7.59
"284","2020-07-27",7.6
"285","2020-07-28",7.87
"286","2020-07-29",8.31
"287","2020-07-30",8.39
"288","2020-07-31",7.8
"289","2020-08-03",7.57
"290","2020-08-04",7.72
"291","2020-08-05",7.7
"292","2020-08-06",7.11
"293","2020-08-07",7.74
"294","2020-08-10",7.9
"295","2020-08-11",6.94
"296","2020-08-12",7.34
"297","2020-08-13",7.75
"298","2020-08-14",8.44
"299","2020-08-17",8.62
"300","2020-08-18",9.09
"301","2020-08-19",9.29
"302","2020-08-20",9.68
"303","2020-08-21",8.78
"304","2020-08-24",7.95
"305","2020-08-25",7.63
"306","2020-08-26",8.1
"307","2020-08-27",8.45
"308","2020-08-28",8.69
"309","2020-08-31",8.08
"310","2020-09-01",7.55
"311","2020-09-02",7.69
"312","2020-09-03",6.77
"313","2020-09-04",6.72
"314","2020-09-08",6.96
"315","2020-09-09",7.44
"316","2020-09-10",7.68
"317","2020-09-11",7.69
"318","2020-09-14",7.85
"319","2020-09-15",7.87
"320","2020-09-16",7.9
"321","2020-09-17",7.94
"322","2020-09-18",7.89
"323","2020-09-21",7.73
"324","2020-09-22",8.25
"325","2020-09-23",7.72
"326","2020-09-24",7.78
"327","2020-09-25",7.73
"328","2020-09-28",8.08
"329","2020-09-29",8.47
"330","2020-09-30",8.25
"331","2020-10-01",8.33
"332","2020-10-02",8.15
"333","2020-10-05",8.43
"334","2020-10-06",8.19
"335","2020-10-07",8.74
"336","2020-10-08",8.93
"337","2020-10-09",8.89
"338","2020-10-12",8.71
"339","2020-10-13",9.25
"340","2020-10-14",9.03
"341","2020-10-15",8.62
"342","2020-10-16",8.77
"343","2020-10-19",9.03
"344","2020-10-20",8.94
"345","2020-10-21",8.84
"346","2020-10-22",8.61
"347","2020-10-23",8.24
"348","2020-10-26",8.17
"349","2020-10-27",8.05
"350","2020-10-28",8.1
"351","2020-10-29",8.16
"352","2020-10-30",8.04
"353","2020-11-02",8.38
"354","2020-11-03",8.44
"355","2020-11-04",8.69
"356","2020-11-05",9.1
"357","2020-11-06",9.15
"358","2020-11-09",8.46
"359","2020-11-10",8.3
"360","2020-11-11",8.01
"361","2020-11-12",7.57
"362","2020-11-13",7.75
"363","2020-11-16",7.32
"364","2020-11-17",7.03
"365","2020-11-18",7.12
"366","2020-11-19",7.1
"367","2020-11-20",7.32
"368","2020-11-23",7.1
"369","2020-11-24",7.13
"370","2020-11-25",7.42
"371","2020-11-27",7.4
