"","date","AMTI"
"1","2020-06-05",17.98
"2","2020-06-08",18.99
"3","2020-06-09",20.49
"4","2020-06-10",25.48
"5","2020-06-11",24.040001
"6","2020-06-12",25.719999
"7","2020-06-15",27.18
"8","2020-06-16",27.73
"9","2020-06-17",27.98
"10","2020-06-18",27
"11","2020-06-19",26.99
"12","2020-06-22",27.35
"13","2020-06-23",24.860001
"14","2020-06-24",27.52
"15","2020-06-25",28
"16","2020-06-26",26.15
"17","2020-06-29",25.799999
"18","2020-06-30",25.139999
"19","2020-07-01",25.719999
"20","2020-07-02",27
"21","2020-07-06",26.58
"22","2020-07-07",25
"23","2020-07-08",22.469999
"24","2020-07-09",22
"25","2020-07-10",22.370001
"26","2020-07-13",21.370001
"27","2020-07-14",20.639999
"28","2020-07-15",20.52
"29","2020-07-16",21
"30","2020-07-17",20.99
"31","2020-07-20",20.49
"32","2020-07-21",21.48
"33","2020-07-22",21.5
"34","2020-07-23",21.58
"35","2020-07-24",21.35
"36","2020-07-27",21.389999
"37","2020-07-28",21.139999
"38","2020-07-29",20.92
"39","2020-07-30",22.959999
"40","2020-07-31",22.23
"41","2020-08-03",22.690001
"42","2020-08-04",22
"43","2020-08-05",21.879999
"44","2020-08-06",21.26
"45","2020-08-07",21.26
"46","2020-08-10",21.58
"47","2020-08-11",21.74
"48","2020-08-12",22.190001
"49","2020-08-13",22.969999
"50","2020-08-14",22.940001
"51","2020-08-17",22.940001
"52","2020-08-18",22.18
"53","2020-08-19",21.700001
"54","2020-08-20",22.110001
"55","2020-08-21",21.469999
"56","2020-08-24",20.91
"57","2020-08-25",21.209999
"58","2020-08-26",21.15
"59","2020-08-27",21.34
"60","2020-08-28",24
"61","2020-08-31",25.620001
"62","2020-09-01",25.559999
"63","2020-09-02",25.73
"64","2020-09-03",24.91
"65","2020-09-04",25.299999
"66","2020-09-08",24.08
"67","2020-09-09",26.450001
"68","2020-09-10",27.16
"69","2020-09-11",26.780001
"70","2020-09-14",31.110001
"71","2020-09-15",31.09
"72","2020-09-16",31.51
"73","2020-09-17",33.009998
"74","2020-09-18",33.580002
"75","2020-09-21",31.290001
"76","2020-09-22",29.940001
"77","2020-09-23",29.85
"78","2020-09-24",30.700001
"79","2020-09-25",32.200001
"80","2020-09-28",32.189999
"81","2020-09-29",30.98
"82","2020-09-30",31.82
"83","2020-10-01",30.959999
"84","2020-10-02",31.459999
"85","2020-10-05",31.73
"86","2020-10-06",33.23
"87","2020-10-07",32.990002
"88","2020-10-08",32.91
"89","2020-10-09",35
"90","2020-10-12",32.799999
"91","2020-10-13",33.650002
"92","2020-10-14",33
"93","2020-10-15",32.439999
"94","2020-10-16",32
"95","2020-10-19",31.52
"96","2020-10-20",32.93
"97","2020-10-21",32.400002
"98","2020-10-22",32.400002
"99","2020-10-23",32.68
"100","2020-10-26",32.080002
"101","2020-10-27",32.139999
"102","2020-10-28",31.99
"103","2020-10-29",31.25
"104","2020-10-30",29.389999
"105","2020-11-02",30.200001
"106","2020-11-03",30.809999
"107","2020-11-04",31.9
"108","2020-11-05",31.219999
"109","2020-11-06",29.690001
"110","2020-11-09",30.24
"111","2020-11-10",30.1
"112","2020-11-11",30.18
"113","2020-11-12",29.41
"114","2020-11-13",29.860001
"115","2020-11-16",30.33
"116","2020-11-17",30.860001
"117","2020-11-18",29.549999
"118","2020-11-19",30.129999
"119","2020-11-20",30.43
"120","2020-11-23",30.02
"121","2020-11-24",29.43
"122","2020-11-25",31.379999
"123","2020-11-27",32.970001
