"","date","KRON"
"1","2020-10-09",27.07
"2","2020-10-12",29
"3","2020-10-13",29.290001
"4","2020-10-14",31.57
"5","2020-10-15",31.790001
"6","2020-10-16",32.060001
"7","2020-10-19",33.099998
"8","2020-10-20",32.59
"9","2020-10-21",32.279999
"10","2020-10-22",33.169998
"11","2020-10-23",32.419998
"12","2020-10-26",29.030001
"13","2020-10-27",30
"14","2020-10-28",30.129999
"15","2020-10-29",28.690001
"16","2020-10-30",28.09
"17","2020-11-02",26.93
"18","2020-11-03",26.68
"19","2020-11-04",27.540001
"20","2020-11-05",27.76
"21","2020-11-06",30.4
"22","2020-11-09",29.370001
"23","2020-11-10",29.18
"24","2020-11-11",28.98
"25","2020-11-12",28.700001
"26","2020-11-13",27.889999
"27","2020-11-16",30.530001
"28","2020-11-17",32.84
"29","2020-11-18",30.5
"30","2020-11-19",33.27
"31","2020-11-20",35.23
"32","2020-11-23",38.09
"33","2020-11-24",38.23
"34","2020-11-25",33.84
"35","2020-11-27",34.68
