"","date","HOL"
"1","2020-10-07",9.9
"2","2020-10-08",9.9
"3","2020-10-09",9.8
"4","2020-10-12",9.86
"5","2020-10-13",9.85
"6","2020-10-14",9.85
"7","2020-10-15",9.8
"8","2020-10-16",9.8
"9","2020-10-19",9.8
"10","2020-10-20",9.85
"11","2020-10-21",9.85
"12","2020-10-22",9.85
"13","2020-10-23",9.85
"14","2020-10-26",9.8
"15","2020-10-27",9.8
"16","2020-10-28",9.79
"17","2020-10-29",9.79
"18","2020-10-30",9.79
"19","2020-11-02",9.79
"20","2020-11-03",9.79
"21","2020-11-04",9.79
"22","2020-11-05",9.75
"23","2020-11-06",9.765
"24","2020-11-09",9.75
"25","2020-11-10",9.795
"26","2020-11-11",9.795
"27","2020-11-12",9.795
"28","2020-11-13",9.85
"29","2020-11-16",10.34
"30","2020-11-17",9.84
"31","2020-11-18",9.84
"32","2020-11-19",9.8
"33","2020-11-20",9.82
"34","2020-11-23",9.82
"35","2020-11-24",9.98
"36","2020-11-25",9.98
"37","2020-11-27",9.85
