"","date","ROG"
"1","2007-01-03",59.990002
"2","2007-01-04",61.450001
"3","2007-01-05",58.040001
"4","2007-01-08",58.630001
"5","2007-01-09",57.16
"6","2007-01-10",56.779999
"7","2007-01-11",57.799999
"8","2007-01-12",54.189999
"9","2007-01-16",53.189999
"10","2007-01-17",53.169998
"11","2007-01-18",52.07
"12","2007-01-19",51.950001
"13","2007-01-22",49.84
"14","2007-01-23",51.009998
"15","2007-01-24",52.279999
"16","2007-01-25",51.66
"17","2007-01-26",51.75
"18","2007-01-29",51.5
"19","2007-01-30",51.52
"20","2007-01-31",51.68
"21","2007-02-01",52.040001
"22","2007-02-02",51.950001
"23","2007-02-05",51.57
"24","2007-02-06",51.549999
"25","2007-02-07",52.040001
"26","2007-02-08",51.959999
"27","2007-02-09",51.400002
"28","2007-02-12",51.150002
"29","2007-02-13",52.209999
"30","2007-02-14",52.509998
"31","2007-02-15",53.099998
"32","2007-02-16",53.57
"33","2007-02-20",54.5
"34","2007-02-21",54.330002
"35","2007-02-22",52.110001
"36","2007-02-23",51.02
"37","2007-02-26",50.540001
"38","2007-02-27",49.150002
"39","2007-02-28",48.41
"40","2007-03-01",47.889999
"41","2007-03-02",48.139999
"42","2007-03-05",47.290001
"43","2007-03-06",47.93
"44","2007-03-07",48.110001
"45","2007-03-08",48.549999
"46","2007-03-09",49.139999
"47","2007-03-12",48.740002
"48","2007-03-13",46.830002
"49","2007-03-14",46.869999
"50","2007-03-15",47.349998
"51","2007-03-16",45.599998
"52","2007-03-19",46.57
"53","2007-03-20",46.580002
"54","2007-03-21",46.900002
"55","2007-03-22",46.349998
"56","2007-03-23",46.259998
"57","2007-03-26",46.299999
"58","2007-03-27",45.57
"59","2007-03-28",45.34
"60","2007-03-29",45.189999
"61","2007-03-30",44.349998
"62","2007-04-02",43.869999
"63","2007-04-03",44.540001
"64","2007-04-04",44.450001
"65","2007-04-05",44.419998
"66","2007-04-09",44.349998
"67","2007-04-10",44.380001
"68","2007-04-11",44.66
"69","2007-04-12",44.43
"70","2007-04-13",44.700001
"71","2007-04-16",45.73
"72","2007-04-17",45.98
"73","2007-04-18",45.049999
"74","2007-04-19",44.689999
"75","2007-04-20",44.740002
"76","2007-04-23",44.880001
"77","2007-04-24",45.84
"78","2007-04-25",46.27
"79","2007-04-26",46.869999
"80","2007-04-27",46.77
"81","2007-04-30",45.34
"82","2007-05-01",49.099998
"83","2007-05-02",48.68
"84","2007-05-03",44.07
"85","2007-05-04",42.880001
"86","2007-05-07",41.77
"87","2007-05-08",42.290001
"88","2007-05-09",41.990002
"89","2007-05-10",41.099998
"90","2007-05-11",41.369999
"91","2007-05-14",40.939999
"92","2007-05-15",40.639999
"93","2007-05-16",40.419998
"94","2007-05-17",40.099998
"95","2007-05-18",40.619999
