"","date","LMRK"
"1","2014-11-14",19.09
"2","2014-11-17",19.049999
"3","2014-11-18",19
"4","2014-11-19",19.25
"5","2014-11-20",19.040001
"6","2014-11-21",19.049999
"7","2014-11-24",19
"8","2014-11-25",19
"9","2014-11-26",19.040001
"10","2014-11-28",19
"11","2014-12-01",19.030001
"12","2014-12-02",18.52
"13","2014-12-03",18.75
"14","2014-12-04",18.74
"15","2014-12-05",18.559999
"16","2014-12-08",18.549999
"17","2014-12-09",18.5
"18","2014-12-10",18.700001
"19","2014-12-11",18.48
"20","2014-12-12",18.462999
"21","2014-12-15",18.74
"22","2014-12-16",18.65
"23","2014-12-17",18.700001
"24","2014-12-18",18.43
"25","2014-12-19",18.5
"26","2014-12-22",18.405001
"27","2014-12-23",18.014
"28","2014-12-24",17.75
"29","2014-12-26",17.93
"30","2014-12-29",17.5
"31","2014-12-30",16.639999
"32","2014-12-31",16.92
"33","2015-01-02",17.35
"34","2015-01-05",17.35
"35","2015-01-06",17.110001
"36","2015-01-07",16.700001
"37","2015-01-08",17.08
"38","2015-01-09",17.690001
"39","2015-01-12",17.6
"40","2015-01-13",16.9
"41","2015-01-14",16.59
"42","2015-01-15",17.6
"43","2015-01-16",16.870001
"44","2015-01-20",17.190001
"45","2015-01-21",16.24
"46","2015-01-22",16.780001
"47","2015-01-23",16.43
"48","2015-01-26",17.209999
"49","2015-01-27",16.75
"50","2015-01-28",17
"51","2015-01-29",17.25
"52","2015-01-30",17.469999
"53","2015-02-02",17.879999
"54","2015-02-03",17.83
"55","2015-02-04",17.219999
"56","2015-02-05",17.09
"57","2015-02-06",17.25
"58","2015-02-09",17.32
"59","2015-02-10",17.33
"60","2015-02-11",17.209999
"61","2015-02-12",17.049999
"62","2015-02-13",17.4
"63","2015-02-17",16.82
"64","2015-02-18",17.110001
"65","2015-02-19",16.959999
"66","2015-02-20",16.66
"67","2015-02-23",16.739
"68","2015-02-24",16.92
"69","2015-02-25",16.85
"70","2015-02-26",17.125
"71","2015-02-27",17.702
"72","2015-03-02",17.85
"73","2015-03-03",17.870001
"74","2015-03-04",17.459999
"75","2015-03-05",18.02
"76","2015-03-06",17.905001
"77","2015-03-09",18.030001
"78","2015-03-10",16.76
"79","2015-03-11",18.26
"80","2015-03-12",18.540001
"81","2015-03-13",18.26
"82","2015-03-16",18.040001
"83","2015-03-17",17.620001
"84","2015-03-18",17.834999
"85","2015-03-19",17.68
"86","2015-03-20",17.950001
"87","2015-03-23",18.030001
"88","2015-03-24",17.530001
"89","2015-03-25",17.780001
"90","2015-03-26",18.5
"91","2015-03-27",18.389999
"92","2015-03-30",17.91
"93","2015-03-31",18.190001
"94","2015-04-01",17.305
"95","2015-04-02",17.860001
"96","2015-04-06",17.07
"97","2015-04-07",16.950001
"98","2015-04-08",17.040001
"99","2015-04-09",17.120001
"100","2015-04-10",17.24
"101","2015-04-13",17.4
"102","2015-04-14",17.42
"103","2015-04-15",17.82
"104","2015-04-16",17.469999
"105","2015-04-17",17.620001
"106","2015-04-20",17.530001
"107","2015-04-21",17.620001
"108","2015-04-22",17.77
"109","2015-04-23",17.92
"110","2015-04-24",18
"111","2015-04-27",18.200001
"112","2015-04-28",18.17
