"","date","SNDE"
"1","2016-09-07",151
"2","2016-09-08",145
"3","2016-09-09",158.399994
"4","2016-09-12",158.399994
"5","2016-09-13",118
"6","2016-09-14",97.5
"7","2016-09-15",122.599998
"8","2016-09-16",110.099998
"9","2016-09-19",110.199997
"10","2016-09-20",112.5
"11","2016-09-21",110
"12","2016-09-22",111.199997
"13","2016-09-23",120
"14","2016-09-26",118
"15","2016-09-27",116.970001
"16","2016-09-28",160
"17","2016-09-29",132.690002
"18","2016-09-30",133
"19","2016-10-03",132
"20","2016-10-04",138
"21","2016-10-05",150.389999
"22","2016-10-06",148
"23","2016-10-07",145
"24","2016-10-10",146
"25","2016-10-11",142
"26","2016-10-12",141
"27","2016-10-13",142
"28","2016-10-14",142
"29","2016-10-17",140.800003
"30","2016-10-18",144
"31","2016-10-19",150
"32","2016-10-20",147.399994
"33","2016-10-21",142
"34","2016-10-24",146.100006
"35","2016-10-25",145
"36","2016-10-26",145
"37","2016-10-27",137.300003
"38","2016-10-28",138.600006
"39","2016-10-31",138.600006
"40","2016-11-01",135
"41","2016-11-02",127.5
"42","2016-11-03",135.100006
"43","2016-11-04",135
"44","2016-11-07",126
"45","2016-11-08",130
"46","2016-11-09",127.330002
"47","2016-11-10",127.330002
"48","2016-11-11",115.599998
"49","2016-11-14",115.809998
"50","2016-11-15",121.889999
"51","2016-11-16",118.989998
"52","2016-11-17",118.099998
"53","2016-11-18",125
"54","2016-11-21",127.099998
"55","2016-11-22",134.149994
"56","2016-11-23",138.800003
"57","2016-11-25",138.800003
"58","2016-11-28",138.800003
"59","2016-11-29",135.160004
"60","2016-11-30",142.5
"61","2016-12-01",150.460007
"62","2016-12-02",145
"63","2016-12-05",147.300003
"64","2016-12-06",145.220001
"65","2016-12-07",145.100006
"66","2016-12-08",145.100006
"67","2016-12-09",152.5
"68","2016-12-12",155
"69","2016-12-13",158.240005
"70","2016-12-14",157.600006
"71","2016-12-15",150
"72","2016-12-16",154
"73","2016-12-19",154
"74","2016-12-20",150.289993
"75","2016-12-21",150.779999
"76","2016-12-22",147.5
"77","2016-12-23",150
"78","2016-12-27",150.100006
"79","2016-12-28",151
"80","2016-12-29",157
"81","2016-12-30",159.199997
"82","2017-01-03",161.100006
"83","2017-01-04",164.5
"84","2017-01-05",167
"85","2017-01-06",170.550003
"86","2017-01-09",179.899994
"87","2017-01-10",170
"88","2017-01-11",174
"89","2017-01-12",174
"90","2017-01-13",175.740005
"91","2017-01-17",174.729996
"92","2017-01-18",166.130005
"93","2017-01-19",165.809998
"94","2017-01-20",171.5
"95","2017-01-23",165.100006
"96","2017-01-24",170
"97","2017-01-25",168.839996
"98","2017-01-26",167.5
"99","2017-01-27",160
"100","2017-01-30",154.789993
"101","2017-01-31",140
"102","2017-02-01",127.75
"103","2017-02-02",125.5
"104","2017-02-03",120.099998
"105","2017-02-06",120
"106","2017-02-07",116.900002
"107","2017-02-08",118.300003
"108","2017-02-09",119
"109","2017-02-10",120.800003
"110","2017-02-13",115.900002
"111","2017-02-14",118.099998
"112","2017-02-15",118
"113","2017-02-16",110.25
"114","2017-02-17",110.839996
"115","2017-02-21",114
"116","2017-02-22",107.489998
"117","2017-02-23",106
"118","2017-02-24",99.800003
"119","2017-02-27",91.5
"120","2017-02-28",90.300003
"121","2017-03-01",90.099998
"122","2017-03-02",97.470001
"123","2017-03-03",107.5
"124","2017-03-06",107.599998
"125","2017-03-07",104
"126","2017-03-08",104.699997
"127","2017-03-09",96.5
"128","2017-03-10",94.099998
"129","2017-03-13",91.099998
"130","2017-03-14",92.199997
"131","2017-03-15",87.449997
"132","2017-03-16",90
"133","2017-03-17",93
"134","2017-03-20",92.029999
"135","2017-03-21",87.970001
"136","2017-03-22",103.900002
"137","2017-03-23",101.400002
"138","2017-03-24",96.5
"139","2017-03-27",96.599998
"140","2017-03-28",96.800003
"141","2017-03-29",102.300003
"142","2017-03-30",98
"143","2017-03-31",99
"144","2017-04-03",95.5
"145","2017-04-04",94.5
"146","2017-04-05",95.900002
"147","2017-04-06",95
"148","2017-04-07",92
"149","2017-04-10",89.5
"150","2017-04-11",83.400002
"151","2017-04-12",80
"152","2017-04-13",84.080002
"153","2017-04-17",85
"154","2017-04-18",83
"155","2017-04-19",82.599998
"156","2017-04-20",77.599998
"157","2017-04-21",80
"158","2017-04-24",85.099998
"159","2017-04-25",81.5
"160","2017-04-26",75.099998
"161","2017-04-27",76.230003
"162","2017-04-28",77.07
"163","2017-05-01",72.300003
"164","2017-05-02",72.800003
"165","2017-05-03",75
"166","2017-05-04",71.900002
"167","2017-05-05",71.900002
"168","2017-05-08",71.699997
"169","2017-05-09",65.5
"170","2017-05-10",69.300003
"171","2017-05-11",68.199997
"172","2017-05-12",68
"173","2017-05-15",67.599998
"174","2017-05-16",67.440002
"175","2017-05-17",68
"176","2017-05-18",68
"177","2017-05-19",68
"178","2017-05-22",63.099998
"179","2017-05-23",61.599998
"180","2017-05-24",61
"181","2017-05-25",60
"182","2017-05-26",59.509998
"183","2017-05-30",50.799999
"184","2017-05-31",49.619999
"185","2017-06-01",53.450001
"186","2017-06-02",50
"187","2017-06-05",50.5
"188","2017-06-06",48.299999
"189","2017-06-07",50.009998
"190","2017-06-08",57.599998
"191","2017-06-09",57.599998
"192","2017-06-12",57.5
"193","2017-06-13",62.91
"194","2017-06-14",66
"195","2017-06-15",62.290001
"196","2017-06-16",55.200001
"197","2017-06-19",54.200001
"198","2017-06-20",51.59
"199","2017-06-21",50
"200","2017-06-22",48.5
"201","2017-06-23",51
"202","2017-06-26",51.099998
"203","2017-06-27",49.799999
"204","2017-06-28",51.959999
