"","date","HRMY"
"1","2020-08-19",37.009998
"2","2020-08-20",36.099998
"3","2020-08-21",36
"4","2020-08-24",34
"5","2020-08-25",35.34
"6","2020-08-26",34
"7","2020-08-27",32.650002
"8","2020-08-28",35.200001
"9","2020-08-31",35.419998
"10","2020-09-01",38.599998
"11","2020-09-02",42.400002
"12","2020-09-03",40.389999
"13","2020-09-04",41.389999
"14","2020-09-08",41.279999
"15","2020-09-09",43
"16","2020-09-10",44.389999
"17","2020-09-11",44.139999
"18","2020-09-14",39.82
"19","2020-09-15",35.599998
"20","2020-09-16",36.48
"21","2020-09-17",34.52
"22","2020-09-18",33.599998
"23","2020-09-21",30.959999
"24","2020-09-22",31.879999
"25","2020-09-23",33.310001
"26","2020-09-24",32.470001
"27","2020-09-25",33.810001
"28","2020-09-28",34.93
"29","2020-09-29",31.25
"30","2020-09-30",33.900002
"31","2020-10-01",32.77
"32","2020-10-02",32.849998
"33","2020-10-05",32.470001
"34","2020-10-06",32.150002
"35","2020-10-07",31.790001
"36","2020-10-08",31.74
"37","2020-10-09",34.27
"38","2020-10-12",33.700001
"39","2020-10-13",35.119999
"40","2020-10-14",37.599998
"41","2020-10-15",37.200001
"42","2020-10-16",39.540001
"43","2020-10-19",38.990002
"44","2020-10-20",37.860001
"45","2020-10-21",38
"46","2020-10-22",39.139999
"47","2020-10-23",40.560001
"48","2020-10-26",39.889999
"49","2020-10-27",41.439999
"50","2020-10-28",39.599998
"51","2020-10-29",41.360001
"52","2020-10-30",38.900002
"53","2020-11-02",38.560001
"54","2020-11-03",38.970001
"55","2020-11-04",43.130001
"56","2020-11-05",47.77
"57","2020-11-06",45.650002
"58","2020-11-09",48.790001
"59","2020-11-10",51.34
"60","2020-11-11",47.470001
"61","2020-11-12",43.939999
"62","2020-11-13",44.244999
"63","2020-11-16",42.919998
"64","2020-11-17",43.939999
"65","2020-11-18",42.82
"66","2020-11-19",42.529999
"67","2020-11-20",43.66
"68","2020-11-23",42.599998
"69","2020-11-24",46.650002
"70","2020-11-25",49.560001
"71","2020-11-27",47.490002
