"","date","CIZN"
"1","2007-01-03",22.35
"2","2007-01-04",22.35
"3","2007-01-05",22.5
"4","2007-01-08",22.5
"5","2007-01-09",21.440001
"6","2007-01-10",22.450001
"7","2007-01-11",22.450001
"8","2007-01-12",21.5
"9","2007-01-16",21.32
"10","2007-01-17",21.32
"11","2007-01-18",21.32
"12","2007-01-19",22.299999
"13","2007-01-22",22.299999
"14","2007-01-23",22.299999
"15","2007-01-24",21.75
"16","2007-01-25",21.209999
"17","2007-01-26",21.299999
"18","2007-01-29",21.280001
"19","2007-01-30",21.25
"20","2007-01-31",21.290001
"21","2007-02-01",21.209999
"22","2007-02-02",21.18
"23","2007-02-05",21.02
"24","2007-02-06",21.25
"25","2007-02-07",21.110001
"26","2007-02-08",21.15
"27","2007-02-09",21.5
"28","2007-02-12",21.41
"29","2007-02-13",21.200001
"30","2007-02-14",21
"31","2007-02-15",20.77
"32","2007-02-16",20.950001
"33","2007-02-20",21
"34","2007-02-21",21.35
"35","2007-02-22",21.5
"36","2007-02-23",21.5
"37","2007-02-26",21
"38","2007-02-27",21
"39","2007-02-28",21.959999
"40","2007-03-01",21.99
"41","2007-03-02",22
"42","2007-03-05",21.969999
"43","2007-03-06",21.969999
"44","2007-03-07",21.969999
"45","2007-03-08",21.51
"46","2007-03-09",21.51
"47","2007-03-12",21.51
"48","2007-03-13",21.51
"49","2007-03-14",21.51
"50","2007-03-15",21.51
"51","2007-03-16",21.51
"52","2007-03-19",21.879999
"53","2007-03-20",21.879999
"54","2007-03-21",21.309999
"55","2007-03-22",21.889999
"56","2007-03-23",21.5
"57","2007-03-26",21.5
"58","2007-03-27",21.5
"59","2007-03-28",21.5
"60","2007-03-29",21.5
"61","2007-03-30",21.84
"62","2007-04-02",21.889999
"63","2007-04-03",21.309999
"64","2007-04-04",21.309999
"65","2007-04-05",21.309999
"66","2007-04-09",21.129999
"67","2007-04-10",20.85
"68","2007-04-11",20.559999
"69","2007-04-12",20.110001
"70","2007-04-13",21.879999
"71","2007-04-16",21.879999
"72","2007-04-17",21.879999
"73","2007-04-18",21.889999
"74","2007-04-19",21.280001
"75","2007-04-20",21.59
"76","2007-04-23",22
"77","2007-04-24",22
"78","2007-04-25",22
"79","2007-04-26",21.889999
"80","2007-04-27",21.889999
"81","2007-04-30",21.299999
"82","2007-05-01",21.299999
"83","2007-05-02",21.299999
"84","2007-05-03",21.299999
"85","2007-05-04",21.299999
"86","2007-05-07",21.059999
"87","2007-05-08",21.059999
"88","2007-05-09",21.059999
"89","2007-05-10",21.059999
"90","2007-05-11",21.059999
"91","2007-05-14",21.059999
"92","2007-05-15",20
"93","2007-05-16",20.370001
"94","2007-05-17",20.690001
"95","2007-05-18",20.690001
"96","2007-05-21",20.690001
"97","2007-05-22",20.75
"98","2007-05-23",21.620001
"99","2007-05-24",21.620001
"100","2007-05-25",21.620001
"101","2007-05-29",21.75
"102","2007-05-30",21.93
"103","2007-05-31",22
"104","2007-06-01",22
"105","2007-06-04",22.5
"106","2007-06-05",22.5
"107","2007-06-06",22.5
"108","2007-06-07",22.129999
"109","2007-06-08",22.01
"110","2007-06-11",21.950001
"111","2007-06-12",22.82
"112","2007-06-13",22.82
"113","2007-06-14",22.950001
"114","2007-06-15",22.950001
"115","2007-06-18",22.950001
"116","2007-06-19",22.75
"117","2007-06-20",21.120001
"118","2007-06-21",22.049999
"119","2007-06-22",22.049999
"120","2007-06-25",22
