"","date","SLRX"
"1","2015-01-29",373.75
"2","2015-01-30",368.5
"3","2015-02-02",355.25
"4","2015-02-03",337
"5","2015-02-04",318.5
"6","2015-02-05",320.5
"7","2015-02-06",329.25
"8","2015-02-09",339.25
"9","2015-02-10",340
"10","2015-02-11",351
"11","2015-02-12",351.75
"12","2015-02-13",347.25
"13","2015-02-17",360.5
"14","2015-02-18",362
"15","2015-02-19",362.25
"16","2015-02-20",367.75
"17","2015-02-23",398.75
"18","2015-02-24",430
"19","2015-02-25",422
"20","2015-02-26",438.25
"21","2015-02-27",434.625
"22","2015-03-02",444.5
"23","2015-03-03",492.5
"24","2015-03-04",487.5
"25","2015-03-05",462.5
"26","2015-03-06",441.75
"27","2015-03-09",456.5
"28","2015-03-10",452
"29","2015-03-11",454
"30","2015-03-12",465.75
"31","2015-03-13",459.75
"32","2015-03-16",540.75
"33","2015-03-17",574.25
"34","2015-03-18",550.75
"35","2015-03-19",498.5
"36","2015-03-20",503.75
"37","2015-03-23",510.5
"38","2015-03-24",538.25
"39","2015-03-25",501.25
"40","2015-03-26",511.25
"41","2015-03-27",504.75
"42","2015-03-30",475
"43","2015-03-31",490
"44","2015-04-01",495.5
"45","2015-04-02",530.25
"46","2015-04-06",541.25
"47","2015-04-07",505
"48","2015-04-08",493.75
"49","2015-04-09",498.25
"50","2015-04-10",489.75
"51","2015-04-13",486.5
"52","2015-04-14",491.5
"53","2015-04-15",497.75
"54","2015-04-16",486.25
"55","2015-04-17",509
"56","2015-04-20",558.5
"57","2015-04-21",604.25
"58","2015-04-22",571
"59","2015-04-23",572.75
"60","2015-04-24",564
"61","2015-04-27",499.25
"62","2015-04-28",477.5
"63","2015-04-29",447.5
"64","2015-04-30",418
"65","2015-05-01",440.75
"66","2015-05-04",435.25
"67","2015-05-05",434.75
"68","2015-05-06",442.5
"69","2015-05-07",431.25
"70","2015-05-08",439.5
"71","2015-05-11",428.5
"72","2015-05-12",425.75
"73","2015-05-13",429.25
"74","2015-05-14",424.5
"75","2015-05-15",429.25
"76","2015-05-18",424.75
"77","2015-05-19",425.5
"78","2015-05-20",428
"79","2015-05-21",438
"80","2015-05-22",451.5
"81","2015-05-26",451.25
"82","2015-05-27",454
"83","2015-05-28",455
"84","2015-05-29",446.25
"85","2015-06-01",465
"86","2015-06-02",462
"87","2015-06-03",462
"88","2015-06-04",447.25
"89","2015-06-05",444.25
"90","2015-06-08",445.25
"91","2015-06-09",452
"92","2015-06-10",469.5
"93","2015-06-11",488
"94","2015-06-12",486.5
"95","2015-06-15",485
"96","2015-06-16",495
"97","2015-06-17",498
"98","2015-06-18",496.25
"99","2015-06-19",493.75
"100","2015-06-22",487.25
"101","2015-06-23",495
"102","2015-06-24",492.75
"103","2015-06-25",470
"104","2015-06-26",487
"105","2015-06-29",435.75
"106","2015-06-30",430
"107","2015-07-01",416.5
"108","2015-07-02",405.75
"109","2015-07-06",399.5
"110","2015-07-07",387
"111","2015-07-08",388
"112","2015-07-09",412.5
"113","2015-07-10",425.5
"114","2015-07-13",448.75
"115","2015-07-14",448.5
"116","2015-07-15",425
"117","2015-07-16",411.5
"118","2015-07-17",411
"119","2015-07-20",420
"120","2015-07-21",407
"121","2015-07-22",406.25
"122","2015-07-23",408.25
"123","2015-07-24",402.25
