"","date","EXTR"
"1","2007-01-03",4.16
"2","2007-01-04",4.21
"3","2007-01-05",4.1
"4","2007-01-08",4.1
"5","2007-01-09",4.09
"6","2007-01-10",4.11
"7","2007-01-11",4.1
"8","2007-01-12",4.09
"9","2007-01-16",4.11
"10","2007-01-17",4.12
"11","2007-01-18",4.01
"12","2007-01-19",4.03
"13","2007-01-22",3.97
"14","2007-01-23",3.96
"15","2007-01-24",3.99
"16","2007-01-25",3.94
"17","2007-01-26",4.25
"18","2007-01-29",4.26
"19","2007-01-30",4.18
"20","2007-01-31",4.15
"21","2007-02-01",4.22
"22","2007-02-02",4.24
"23","2007-02-05",4.36
"24","2007-02-06",4.35
"25","2007-02-07",4.4
"26","2007-02-08",4.4
"27","2007-02-09",4.36
"28","2007-02-12",4.44
"29","2007-02-13",4.46
"30","2007-02-14",4.65
"31","2007-02-15",4.62
"32","2007-02-16",4.62
"33","2007-02-20",4.65
"34","2007-02-21",4.6
"35","2007-02-22",4.63
"36","2007-02-23",4.55
"37","2007-02-26",4.55
"38","2007-02-27",4.36
"39","2007-02-28",4.41
"40","2007-03-01",4.37
"41","2007-03-02",4.24
"42","2007-03-05",4.19
"43","2007-03-06",4.32
"44","2007-03-07",4.31
"45","2007-03-08",4.3
"46","2007-03-09",4.29
"47","2007-03-12",4.29
"48","2007-03-13",4.19
"49","2007-03-14",4.2
"50","2007-03-15",4.17
"51","2007-03-16",4.14
"52","2007-03-19",4.15
"53","2007-03-20",4.14
"54","2007-03-21",4.17
"55","2007-03-22",4.14
"56","2007-03-23",4.12
"57","2007-03-26",4.2
"58","2007-03-27",4.28
"59","2007-03-28",4.21
"60","2007-03-29",4.18
"61","2007-03-30",4.23
"62","2007-04-02",4.21
"63","2007-04-03",4.28
"64","2007-04-04",4.4
"65","2007-04-05",4.38
"66","2007-04-09",4.31
"67","2007-04-10",4.38
"68","2007-04-11",4.33
"69","2007-04-12",4.39
"70","2007-04-13",4.35
"71","2007-04-16",4.47
"72","2007-04-17",4.4
"73","2007-04-18",4.39
"74","2007-04-19",4.34
"75","2007-04-20",4.34
"76","2007-04-23",4.27
"77","2007-04-24",4.37
"78","2007-04-25",4.37
"79","2007-04-26",4.35
"80","2007-04-27",4.16
"81","2007-04-30",4.09
"82","2007-05-01",4.05
"83","2007-05-02",4.09
"84","2007-05-03",4.08
"85","2007-05-04",4.09
"86","2007-05-07",4.1
"87","2007-05-08",4.09
"88","2007-05-09",4.06
"89","2007-05-10",3.92
"90","2007-05-11",4.04
"91","2007-05-14",3.98
"92","2007-05-15",3.96
"93","2007-05-16",4
"94","2007-05-17",3.99
"95","2007-05-18",3.98
"96","2007-05-21",3.99
"97","2007-05-22",3.93
"98","2007-05-23",3.87
"99","2007-05-24",3.78
"100","2007-05-25",3.81
"101","2007-05-29",3.79
"102","2007-05-30",3.8
"103","2007-05-31",3.75
"104","2007-06-01",3.77
"105","2007-06-04",3.86
"106","2007-06-05",3.81
"107","2007-06-06",3.72
"108","2007-06-07",3.72
"109","2007-06-08",3.75
"110","2007-06-11",3.74
"111","2007-06-12",3.76
"112","2007-06-13",3.81
"113","2007-06-14",3.76
"114","2007-06-15",3.84
"115","2007-06-18",3.84
"116","2007-06-19",3.8
"117","2007-06-20",3.79
"118","2007-06-21",3.79
"119","2007-06-22",3.84
"120","2007-06-25",3.76
"121","2007-06-26",3.77
"122","2007-06-27",3.82
"123","2007-06-28",3.99
"124","2007-06-29",4.05
"125","2007-07-02",4.24
"126","2007-07-03",4.32
"127","2007-07-05",4.33
"128","2007-07-06",4.44
"129","2007-07-09",4.48
"130","2007-07-10",4.27
"131","2007-07-11",4.31
"132","2007-07-12",4.35
"133","2007-07-13",4.38
"134","2007-07-16",4.35
"135","2007-07-17",4.4
"136","2007-07-18",4.42
"137","2007-07-19",4.5
"138","2007-07-20",4.41
"139","2007-07-23",4.43
"140","2007-07-24",4.35
"141","2007-07-25",4.33
"142","2007-07-26",4.18
"143","2007-07-27",4.08
"144","2007-07-30",4.18
"145","2007-07-31",4.06
"146","2007-08-01",4.03
"147","2007-08-02",3.93
"148","2007-08-03",3.74
"149","2007-08-06",3.59
"150","2007-08-07",3.42
