"","date","SPTN"
"1","2007-01-03",20.76
"2","2007-01-04",21.23
"3","2007-01-05",21.08
"4","2007-01-08",21.1
"5","2007-01-09",20.809999
"6","2007-01-10",20.450001
"7","2007-01-11",22.129999
"8","2007-01-12",22.809999
"9","2007-01-16",21.68
"10","2007-01-17",21.83
"11","2007-01-18",22.209999
"12","2007-01-19",23.030001
"13","2007-01-22",23.309999
"14","2007-01-23",23.23
"15","2007-01-24",23.459999
"16","2007-01-25",22.360001
"17","2007-01-26",22.51
"18","2007-01-29",22.309999
"19","2007-01-30",23.040001
"20","2007-01-31",23.66
"21","2007-02-01",23.5
"22","2007-02-02",24.52
"23","2007-02-05",25.85
"24","2007-02-06",25.02
"25","2007-02-07",26.5
"26","2007-02-08",25.709999
"27","2007-02-09",25.93
"28","2007-02-12",26.35
"29","2007-02-13",26.18
"30","2007-02-14",25.879999
"31","2007-02-15",26.65
"32","2007-02-16",26.370001
"33","2007-02-20",26.83
"34","2007-02-21",25.719999
"35","2007-02-22",25.49
"36","2007-02-23",25.66
"37","2007-02-26",25.299999
"38","2007-02-27",23.43
"39","2007-02-28",23.59
"40","2007-03-01",23.549999
"41","2007-03-02",22.16
"42","2007-03-05",22.76
"43","2007-03-06",23.65
"44","2007-03-07",22.92
"45","2007-03-08",23.49
"46","2007-03-09",23.889999
"47","2007-03-12",22.940001
"48","2007-03-13",22.16
"49","2007-03-14",22.58
"50","2007-03-15",23
"51","2007-03-16",22.639999
"52","2007-03-19",23.32
"53","2007-03-20",23.48
"54","2007-03-21",24.51
"55","2007-03-22",24.82
"56","2007-03-23",24.9
"57","2007-03-26",25.66
"58","2007-03-27",24.85
"59","2007-03-28",27.200001
"60","2007-03-29",27.08
"61","2007-03-30",26.799999
"62","2007-04-02",27.35
"63","2007-04-03",27.440001
"64","2007-04-04",26.530001
"65","2007-04-05",27.120001
"66","2007-04-09",26.700001
"67","2007-04-10",26.6
"68","2007-04-11",25.85
"69","2007-04-12",25.620001
"70","2007-04-13",26.01
"71","2007-04-16",26.42
"72","2007-04-17",26.209999
"73","2007-04-18",26
"74","2007-04-19",25.790001
"75","2007-04-20",26.610001
"76","2007-04-23",26.440001
"77","2007-04-24",26.59
"78","2007-04-25",26.73
"79","2007-04-26",27.02
"80","2007-04-27",26.049999
"81","2007-04-30",25.76
"82","2007-05-01",25.75
"83","2007-05-02",27.200001
"84","2007-05-03",27.74
"85","2007-05-04",27.32
"86","2007-05-07",27.139999
"87","2007-05-08",27.129999
"88","2007-05-09",27.540001
"89","2007-05-10",26.459999
"90","2007-05-11",27.24
"91","2007-05-14",27.1
"92","2007-05-15",27.059999
"93","2007-05-16",27.559999
"94","2007-05-17",27.34
"95","2007-05-18",28.280001
"96","2007-05-21",28.610001
"97","2007-05-22",28.41
"98","2007-05-23",26.040001
"99","2007-05-24",25.780001
"100","2007-05-25",25.9
"101","2007-05-29",25.99
"102","2007-05-30",26.32
"103","2007-05-31",26.4
"104","2007-06-01",26.459999
"105","2007-06-04",26.74
"106","2007-06-05",27.280001
"107","2007-06-06",27.129999
"108","2007-06-07",26.74
"109","2007-06-08",29.65
"110","2007-06-11",30.51
"111","2007-06-12",31.32
"112","2007-06-13",32.060001
"113","2007-06-14",32.169998
"114","2007-06-15",32.720001
"115","2007-06-18",32.610001
"116","2007-06-19",32.57
"117","2007-06-20",31.41
"118","2007-06-21",31.91
"119","2007-06-22",31.559999
"120","2007-06-25",31.51
"121","2007-06-26",32.580002
"122","2007-06-27",32.889999
"123","2007-06-28",33.200001
"124","2007-06-29",32.91
"125","2007-07-02",33.52
"126","2007-07-03",33.810001
"127","2007-07-05",33.700001
"128","2007-07-06",33.119999
"129","2007-07-09",33.029999
"130","2007-07-10",31.040001
"131","2007-07-11",33.130001
"132","2007-07-12",33.220001
"133","2007-07-13",33.59
"134","2007-07-16",33.860001
"135","2007-07-17",33.93
"136","2007-07-18",34.040001
"137","2007-07-19",34.049999
"138","2007-07-20",33.630001
"139","2007-07-23",34.310001
"140","2007-07-24",31.969999
"141","2007-07-25",31.49
"142","2007-07-26",29.58
"143","2007-07-27",28.690001
"144","2007-07-30",29.459999
"145","2007-07-31",29.27
"146","2007-08-01",28.77
"147","2007-08-02",28.26
"148","2007-08-03",26.959999
"149","2007-08-06",27.16
"150","2007-08-07",25.129999
"151","2007-08-08",24.280001
"152","2007-08-09",23.27
"153","2007-08-10",27.610001
"154","2007-08-13",25.6
"155","2007-08-14",26.200001
"156","2007-08-15",25.059999
"157","2007-08-16",24.9
"158","2007-08-17",25.26
"159","2007-08-20",24.629999
"160","2007-08-21",24.959999
"161","2007-08-22",25.440001
"162","2007-08-23",25.379999
"163","2007-08-24",26.98
"164","2007-08-27",26.129999
"165","2007-08-28",24.99
"166","2007-08-29",26.379999
"167","2007-08-30",25.459999
"168","2007-08-31",25.440001
"169","2007-09-04",24.59
"170","2007-09-05",24.940001
"171","2007-09-06",24.290001
"172","2007-09-07",23.49
"173","2007-09-10",23.15
"174","2007-09-11",23.860001
"175","2007-09-12",23.559999
"176","2007-09-13",22.639999
"177","2007-09-14",21.74
"178","2007-09-17",21.1
"179","2007-09-18",21.76
"180","2007-09-19",21.969999
"181","2007-09-20",21.99
"182","2007-09-21",21.440001
"183","2007-09-24",22.290001
"184","2007-09-25",22.41
"185","2007-09-26",22.93
"186","2007-09-27",22.719999
"187","2007-09-28",22.530001
"188","2007-10-01",22.41
"189","2007-10-02",22.360001
"190","2007-10-03",22.42
"191","2007-10-04",22.51
"192","2007-10-05",23.200001
"193","2007-10-08",22.82
"194","2007-10-09",22.68
"195","2007-10-10",22.51
"196","2007-10-11",22.4
"197","2007-10-12",22.940001
"198","2007-10-15",22.700001
"199","2007-10-16",22.209999
"200","2007-10-17",22.5
"201","2007-10-18",24.67
"202","2007-10-19",23.190001
"203","2007-10-22",22.73
"204","2007-10-23",22.67
"205","2007-10-24",22.620001
"206","2007-10-25",22.200001
"207","2007-10-26",22.719999
"208","2007-10-29",22.959999
"209","2007-10-30",22.66
"210","2007-10-31",22.23
"211","2007-11-01",21.049999
"212","2007-11-02",20.629999
"213","2007-11-05",20.23
"214","2007-11-06",20.25
"215","2007-11-07",19.85
"216","2007-11-08",19.76
"217","2007-11-09",19.23
"218","2007-11-12",18.93
"219","2007-11-13",19.780001
"220","2007-11-14",20.469999
"221","2007-11-15",20.91
"222","2007-11-16",20.450001
"223","2007-11-19",20.16
"224","2007-11-20",20.360001
"225","2007-11-21",20.67
"226","2007-11-23",20.469999
"227","2007-11-26",21.1
"228","2007-11-27",21.799999
"229","2007-11-28",22.610001
"230","2007-11-29",22.59
"231","2007-11-30",22.5
"232","2007-12-03",22.6
"233","2007-12-04",22.959999
"234","2007-12-05",22.09
"235","2007-12-06",21.280001
"236","2007-12-07",20.77
"237","2007-12-10",20.26
"238","2007-12-11",19.610001
"239","2007-12-12",19.870001
"240","2007-12-13",19
"241","2007-12-14",19.120001
"242","2007-12-17",18.98
"243","2007-12-18",19.530001
"244","2007-12-19",20.200001
"245","2007-12-20",20.49
"246","2007-12-21",21.450001
"247","2007-12-24",21.959999
"248","2007-12-26",22.049999
"249","2007-12-27",21.17
"250","2007-12-28",22.18
