"","date","CHMA"
"1","2015-07-16",20
"2","2015-07-17",20
"3","2015-07-20",21.030001
"4","2015-07-21",22.66
"5","2015-07-22",23.200001
"6","2015-07-23",23.209999
"7","2015-07-24",23.35
"8","2015-07-27",23.309999
"9","2015-07-28",23.790001
"10","2015-07-29",24.049999
"11","2015-07-30",23.17
"12","2015-07-31",23.57
"13","2015-08-03",24.120001
"14","2015-08-04",23.82
"15","2015-08-05",24.32
"16","2015-08-06",24.6
"17","2015-08-07",23.83
"18","2015-08-10",24.120001
"19","2015-08-11",24.35
"20","2015-08-12",26.65
"21","2015-08-13",24.709999
"22","2015-08-14",28.27
"23","2015-08-17",27.719999
"24","2015-08-18",26.629999
"25","2015-08-19",26.34
"26","2015-08-20",25.200001
"27","2015-08-21",24.049999
"28","2015-08-24",23.83
"29","2015-08-25",23.32
"30","2015-08-26",24.120001
"31","2015-08-27",25.92
"32","2015-08-28",25.42
"33","2015-08-31",25.959999
"34","2015-09-01",26.02
"35","2015-09-02",28.280001
"36","2015-09-03",28.450001
"37","2015-09-04",28.450001
"38","2015-09-08",28.51
"39","2015-09-09",28.639999
"40","2015-09-10",28.4
"41","2015-09-11",28.049999
"42","2015-09-14",28.34
"43","2015-09-15",28.32
"44","2015-09-16",27.139999
"45","2015-09-17",26.059999
"46","2015-09-18",25.51
"47","2015-09-21",26.049999
"48","2015-09-22",25.290001
"49","2015-09-23",25.74
"50","2015-09-24",24.370001
"51","2015-09-25",22.57
"52","2015-09-28",19.83
"53","2015-09-29",18.82
"54","2015-09-30",19.879999
"55","2015-10-01",18.49
"56","2015-10-02",20.700001
"57","2015-10-05",21.200001
"58","2015-10-06",20.879999
"59","2015-10-07",22.610001
"60","2015-10-08",21.809999
"61","2015-10-09",21.32
"62","2015-10-12",21.26
"63","2015-10-13",19.98
"64","2015-10-14",20.879999
"65","2015-10-15",22.65
"66","2015-10-16",21.59
"67","2015-10-19",21.870001
"68","2015-10-20",21.59
"69","2015-10-21",21.74
"70","2015-10-22",22.52
"71","2015-10-23",23.67
"72","2015-10-26",23.99
"73","2015-10-27",23.969999
"74","2015-10-28",24.66
"75","2015-10-29",23.16
"76","2015-10-30",22.74
"77","2015-11-02",22.4
"78","2015-11-03",23.440001
"79","2015-11-04",23.52
"80","2015-11-05",23.440001
"81","2015-11-06",23.940001
"82","2015-11-09",24.139999
"83","2015-11-10",23.620001
"84","2015-11-11",23.790001
"85","2015-11-12",22.32
"86","2015-11-13",22.84
"87","2015-11-16",20.93
"88","2015-11-17",19.969999
"89","2015-11-18",21.07
"90","2015-11-19",19.620001
"91","2015-11-20",19.309999
"92","2015-11-23",19.860001
"93","2015-11-24",20.190001
"94","2015-11-25",20.98
"95","2015-11-27",21.540001
"96","2015-11-30",22.190001
"97","2015-12-01",22.08
"98","2015-12-02",22.559999
"99","2015-12-03",22.799999
"100","2015-12-04",22.58
"101","2015-12-07",21.57
"102","2015-12-08",21.58
"103","2015-12-09",20.879999
"104","2015-12-10",20.65
"105","2015-12-11",20.469999
"106","2015-12-14",21.43
"107","2015-12-15",22.84
"108","2015-12-16",23.540001
"109","2015-12-17",20.99
"110","2015-12-18",20.66
"111","2015-12-21",20.219999
"112","2015-12-22",20.120001
"113","2015-12-23",20.059999
"114","2015-12-24",20.219999
"115","2015-12-28",19.969999
"116","2015-12-29",20.1
"117","2015-12-30",19.35
"118","2015-12-31",19.57
"119","2016-01-04",19.450001
"120","2016-01-05",19.27
"121","2016-01-06",18.35
"122","2016-01-07",17.379999
"123","2016-01-08",15.45
"124","2016-01-11",12.98
"125","2016-01-12",13.27
"126","2016-01-13",12.84
"127","2016-01-14",12.24
"128","2016-01-15",12.37
"129","2016-01-19",11.32
"130","2016-01-20",10.19
"131","2016-01-21",9.78
"132","2016-01-22",9.46
"133","2016-01-25",9.09
"134","2016-01-26",9.34
"135","2016-01-27",8.43
"136","2016-01-28",8.19
"137","2016-01-29",10.3
"138","2016-02-01",10.06
"139","2016-02-02",9.99
"140","2016-02-03",10.38
"141","2016-02-04",10.69
"142","2016-02-05",10.15
"143","2016-02-08",9.55
"144","2016-02-09",9.3
"145","2016-02-10",9.93
"146","2016-02-11",9.98
"147","2016-02-12",10.52
"148","2016-02-16",11.11
"149","2016-02-17",11.01
"150","2016-02-18",10.28
"151","2016-02-19",11.08
"152","2016-02-22",11.04
"153","2016-02-23",9.86
"154","2016-02-24",9.84
"155","2016-02-25",10.05
"156","2016-02-26",10.24
"157","2016-02-29",9.87
"158","2016-03-01",9.9
"159","2016-03-02",10.35
"160","2016-03-03",10.38
"161","2016-03-04",10.11
"162","2016-03-07",10.84
"163","2016-03-08",10.22
"164","2016-03-09",10.52
"165","2016-03-10",9.99
"166","2016-03-11",10.41
"167","2016-03-14",10.75
"168","2016-03-15",10.32
"169","2016-03-16",10.26
"170","2016-03-17",9.66
"171","2016-03-18",9.8
