"","date","SCYX"
"1","2014-05-02",90
"2","2014-05-05",88.099998
"3","2014-05-06",84
"4","2014-05-07",86.699997
"5","2014-05-08",88.400002
"6","2014-05-09",93
"7","2014-05-12",92.900002
"8","2014-05-13",92
"9","2014-05-14",90.099998
"10","2014-05-15",90.400002
"11","2014-05-16",90
"12","2014-05-19",89.900002
"13","2014-05-20",94.699997
"14","2014-05-21",90.300003
"15","2014-05-22",89
"16","2014-05-23",90.099998
"17","2014-05-27",88.5
"18","2014-05-28",82
"19","2014-05-29",80.400002
"20","2014-05-30",84
"21","2014-06-02",85
"22","2014-06-03",84.800003
"23","2014-06-04",84.5
"24","2014-06-05",84.099998
"25","2014-06-06",83.5
"26","2014-06-09",83.5
"27","2014-06-10",87.800003
"28","2014-06-11",87.300003
"29","2014-06-12",91
"30","2014-06-13",91
"31","2014-06-16",97.400002
"32","2014-06-17",94.699997
"33","2014-06-18",96.400002
"34","2014-06-19",98.300003
"35","2014-06-20",78.099998
"36","2014-06-23",85.099998
"37","2014-06-24",83.5
"38","2014-06-25",81
"39","2014-06-26",80.800003
"40","2014-06-27",77.800003
"41","2014-06-30",80.199997
"42","2014-07-01",80.300003
"43","2014-07-02",82.800003
"44","2014-07-03",82.5
"45","2014-07-07",82.199997
"46","2014-07-08",78
"47","2014-07-09",80.099998
"48","2014-07-10",75.099998
"49","2014-07-11",76.900002
"50","2014-07-14",79.400002
"51","2014-07-15",78
"52","2014-07-16",79.599998
"53","2014-07-17",79.5
"54","2014-07-18",80
"55","2014-07-21",76.5
"56","2014-07-22",67.800003
"57","2014-07-23",71.5
"58","2014-07-24",71.5
"59","2014-07-25",70
"60","2014-07-28",69.300003
"61","2014-07-29",72.540001
"62","2014-07-30",68.5
"63","2014-07-31",69.800003
"64","2014-08-01",68.5
"65","2014-08-04",61.900002
"66","2014-08-05",62.400002
"67","2014-08-06",62.700001
"68","2014-08-07",69.900002
"69","2014-08-08",69
"70","2014-08-11",69
"71","2014-08-12",63.32
"72","2014-08-13",67.199997
"73","2014-08-14",68.199997
"74","2014-08-15",65
"75","2014-08-18",65
"76","2014-08-19",64.5
"77","2014-08-20",62.400002
"78","2014-08-21",65.5
"79","2014-08-22",63.599998
"80","2014-08-25",62.900002
"81","2014-08-26",61.099998
"82","2014-08-27",64.5
"83","2014-08-28",65
"84","2014-08-29",69.099998
"85","2014-09-02",73.400002
"86","2014-09-03",74.900002
"87","2014-09-04",79.599998
"88","2014-09-05",78.599998
"89","2014-09-08",73.699997
"90","2014-09-09",77.099998
"91","2014-09-10",72.099998
"92","2014-09-11",67.699997
"93","2014-09-12",70.400002
"94","2014-09-15",77.699997
"95","2014-09-16",76.800003
"96","2014-09-17",78.300003
"97","2014-09-18",78.5
"98","2014-09-19",78
"99","2014-09-22",77
"100","2014-09-23",75.699997
"101","2014-09-24",73.900002
"102","2014-09-25",73.199997
"103","2014-09-26",71
"104","2014-09-29",75
"105","2014-09-30",73.900002
"106","2014-10-01",77
"107","2014-10-02",76
"108","2014-10-03",75
"109","2014-10-06",75.5
"110","2014-10-07",71.5
"111","2014-10-08",70.900002
"112","2014-10-09",69.010002
"113","2014-10-10",67.199997
"114","2014-10-13",68.599998
"115","2014-10-14",63.400002
"116","2014-10-15",59.599998
"117","2014-10-16",63.700001
"118","2014-10-17",64.099998
"119","2014-10-20",61.400002
"120","2014-10-21",63.150002
"121","2014-10-22",64.900002
"122","2014-10-23",67.400002
"123","2014-10-24",70.300003
"124","2014-10-27",68.099998
"125","2014-10-28",77.900002
"126","2014-10-29",85
"127","2014-10-30",90
"128","2014-10-31",80.699997
"129","2014-11-03",87.300003
"130","2014-11-04",86
"131","2014-11-05",89.5
"132","2014-11-06",89
"133","2014-11-07",90
"134","2014-11-10",96.699997
"135","2014-11-11",95
"136","2014-11-12",94.800003
"137","2014-11-13",94.900002
"138","2014-11-14",94
"139","2014-11-17",93.5
"140","2014-11-18",95
"141","2014-11-19",95.199997
"142","2014-11-20",96.400002
"143","2014-11-21",100
"144","2014-11-24",100.900002
"145","2014-11-25",100.400002
"146","2014-11-26",100.900002
"147","2014-11-28",112
"148","2014-12-01",110.099998
"149","2014-12-02",108.099998
"150","2014-12-03",110.699997
"151","2014-12-04",94.099998
