"","date","JOBS"
"1","2007-01-03",8.69
"2","2007-01-04",8.585
"3","2007-01-05",8.63
"4","2007-01-08",8.555
"5","2007-01-09",8.25
"6","2007-01-10",8.385
"7","2007-01-11",8.565
"8","2007-01-12",8.515
"9","2007-01-16",8.395
"10","2007-01-17",8.425
"11","2007-01-18",8.145
"12","2007-01-19",8.05
"13","2007-01-22",7.9
"14","2007-01-23",8.06
"15","2007-01-24",8.1
"16","2007-01-25",8.22
"17","2007-01-26",8.28
"18","2007-01-29",8.255
"19","2007-01-30",8.435
"20","2007-01-31",8.49
"21","2007-02-01",8.58
"22","2007-02-02",8.665
"23","2007-02-05",8.66
"24","2007-02-06",8.65
"25","2007-02-07",8.7
"26","2007-02-08",8.72
"27","2007-02-09",8.875
"28","2007-02-12",8.75
"29","2007-02-13",8.755
"30","2007-02-14",8.89
"31","2007-02-15",8.935
"32","2007-02-16",8.895
"33","2007-02-20",8.96
"34","2007-02-21",9.005
"35","2007-02-22",8.785
"36","2007-02-23",8.895
"37","2007-02-26",8.875
"38","2007-02-27",8
"39","2007-02-28",8.125
"40","2007-03-01",8.015
"41","2007-03-02",7.685
"42","2007-03-05",7.265
"43","2007-03-06",7.485
"44","2007-03-07",7.535
"45","2007-03-08",7.48
"46","2007-03-09",7.45
"47","2007-03-12",7.485
"48","2007-03-13",7.195
"49","2007-03-14",7.155
"50","2007-03-15",8.455
"51","2007-03-16",8.29
"52","2007-03-19",8.375
"53","2007-03-20",8.235
"54","2007-03-21",8.25
"55","2007-03-22",8.225
"56","2007-03-23",8.45
"57","2007-03-26",8.445
"58","2007-03-27",8.4
"59","2007-03-28",8.24
"60","2007-03-29",8.18
"61","2007-03-30",8.11
"62","2007-04-02",7.895
"63","2007-04-03",7.96
"64","2007-04-04",8.1
"65","2007-04-05",8.05
"66","2007-04-09",8.01
"67","2007-04-10",8.17
"68","2007-04-11",8.31
"69","2007-04-12",8.725
"70","2007-04-13",8.705
"71","2007-04-16",8.795
"72","2007-04-17",8.6
"73","2007-04-18",8.425
"74","2007-04-19",8.305
"75","2007-04-20",8.24
"76","2007-04-23",8.2
"77","2007-04-24",8.12
"78","2007-04-25",8.155
"79","2007-04-26",8.145
"80","2007-04-27",8.245
"81","2007-04-30",8.05
"82","2007-05-01",8.055
"83","2007-05-02",8.085
