"","date","TBLT"
"1","2018-12-03",32.5
"2","2018-12-04",31.200001
"3","2018-12-06",30
"4","2018-12-07",30
"5","2018-12-10",30
"6","2018-12-11",29.9
"7","2018-12-12",27.299999
"8","2018-12-13",22.5
"9","2018-12-14",15.4
"10","2018-12-17",12.7
"11","2018-12-18",15.5
"12","2018-12-19",11.4
"13","2018-12-20",11.3
"14","2018-12-21",9.6
"15","2018-12-24",8.6
"16","2018-12-26",9.52
"17","2018-12-27",9.1
"18","2018-12-28",11.25
"19","2018-12-31",11.7
"20","2019-01-02",10.8
"21","2019-01-03",10.08
"22","2019-01-04",10.4
"23","2019-01-07",11.4
"24","2019-01-08",11.5
"25","2019-01-09",11.1
"26","2019-01-10",11.8
"27","2019-01-11",17.4
"28","2019-01-14",14.7
"29","2019-01-15",12.53
"30","2019-01-16",32.099998
"31","2019-01-17",30
"32","2019-01-18",29.450001
"33","2019-01-22",31.700001
"34","2019-01-23",30.1
"35","2019-01-24",36.299999
"36","2019-01-25",30.4
"37","2019-01-28",30
"38","2019-01-29",27.6
"39","2019-01-30",26
"40","2019-01-31",24.299999
"41","2019-02-01",27.200001
"42","2019-02-04",26.4
"43","2019-02-05",26.4
"44","2019-02-06",26.200001
"45","2019-02-07",27.200001
"46","2019-02-08",26.9
"47","2019-02-11",24.6
"48","2019-02-12",21
"49","2019-02-13",20.5
"50","2019-02-14",19.6
"51","2019-02-15",20.200001
"52","2019-02-19",19.700001
"53","2019-02-20",18.5
"54","2019-02-21",18.5
"55","2019-02-22",18
"56","2019-02-25",16.5
"57","2019-02-26",15.3
"58","2019-02-27",16.1
"59","2019-02-28",16.799999
"60","2019-03-01",16.1
"61","2019-03-04",15.4
"62","2019-03-05",15.5
"63","2019-03-06",15.7
"64","2019-03-07",14.5
"65","2019-03-08",15.5
"66","2019-03-11",16.799999
"67","2019-03-12",15.8
"68","2019-03-13",15.3
"69","2019-03-14",15.5
"70","2019-03-15",15.2
"71","2019-03-18",15.3
"72","2019-03-19",15.4
"73","2019-03-20",15.8
"74","2019-03-21",17.200001
"75","2019-03-22",17
"76","2019-03-25",17.299999
"77","2019-03-26",17.799999
"78","2019-03-27",17.6
"79","2019-03-28",17.1
"80","2019-03-29",17.299999
"81","2019-04-01",16.200001
"82","2019-04-02",16.200001
"83","2019-04-03",15.4
"84","2019-04-04",15.7
"85","2019-04-05",15.1
"86","2019-04-08",14.7
"87","2019-04-09",14.42
"88","2019-04-10",13.6
"89","2019-04-11",13.9
"90","2019-04-12",13.5
"91","2019-04-15",13.09
"92","2019-04-16",11.7
"93","2019-04-17",11.7
"94","2019-04-18",11.9
"95","2019-04-22",12
"96","2019-04-23",11.6
"97","2019-04-24",11.1
"98","2019-04-25",10.7
"99","2019-04-26",11.6
"100","2019-04-29",10.8
"101","2019-04-30",11.2
"102","2019-05-01",10.7
"103","2019-05-02",10.2
"104","2019-05-03",10.55
"105","2019-05-06",10.25
"106","2019-05-07",9.9
"107","2019-05-08",9.36
"108","2019-05-09",12
"109","2019-05-10",10.9
"110","2019-05-13",10.8
"111","2019-05-14",9.99
"112","2019-05-15",9.5
"113","2019-05-16",9.35
"114","2019-05-17",8.6
"115","2019-05-20",8.56
"116","2019-05-21",8.6
"117","2019-05-22",8.1
"118","2019-05-23",7.5
"119","2019-05-24",7.5
"120","2019-05-28",7.4
"121","2019-05-29",6.9
"122","2019-05-30",6.69
"123","2019-05-31",6.1
"124","2019-06-03",6.4
"125","2019-06-04",6.36
"126","2019-06-05",5.42
"127","2019-06-06",4.76
"128","2019-06-07",5.08
"129","2019-06-10",5.12
"130","2019-06-11",4.69
"131","2019-06-12",4.48
"132","2019-06-13",4.6
"133","2019-06-14",4.38
"134","2019-06-17",3.91
"135","2019-06-18",3.9
"136","2019-06-19",4.04
"137","2019-06-20",3.9
"138","2019-06-21",3.84
"139","2019-06-24",3.6
"140","2019-06-25",3.2
"141","2019-06-26",2.92
"142","2019-06-27",3.26
"143","2019-06-28",3.49
"144","2019-07-01",3.25
"145","2019-07-02",3.2
"146","2019-07-03",4.1
"147","2019-07-05",4.62
"148","2019-07-08",4.36
"149","2019-07-09",4.1
"150","2019-07-10",4.15
"151","2019-07-11",3.99
"152","2019-07-12",3.89
"153","2019-07-15",3.44
"154","2019-07-16",3.46
"155","2019-07-17",3.1
"156","2019-07-18",3.55
"157","2019-07-19",3.9
"158","2019-07-22",4.22
"159","2019-07-23",5.13
"160","2019-07-24",4.4
"161","2019-07-25",3.9
"162","2019-07-26",4.1
"163","2019-07-29",4.2
"164","2019-07-30",4.3
"165","2019-07-31",4.88
"166","2019-08-01",4.6
"167","2019-08-02",4.69
"168","2019-08-05",4.75
"169","2019-08-06",4.98
"170","2019-08-07",4.88
"171","2019-08-08",5.1
"172","2019-08-09",5.2
"173","2019-08-12",6.46
"174","2019-08-13",6.12
"175","2019-08-14",6.52
"176","2019-08-15",5.78
"177","2019-08-16",5.4
"178","2019-08-19",5.55
"179","2019-08-20",4
"180","2019-08-21",3.75
"181","2019-08-22",3.89
"182","2019-08-23",3.66
"183","2019-08-26",3.63
"184","2019-08-27",4.18
"185","2019-08-28",3.98
"186","2019-08-29",3.95
"187","2019-08-30",4.05
"188","2019-09-03",3.98
"189","2019-09-04",3.89
"190","2019-09-05",3.93
"191","2019-09-06",3.78
"192","2019-09-09",3.74
"193","2019-09-10",3.86
"194","2019-09-11",3.83
"195","2019-09-12",3.75
"196","2019-09-13",3.7
"197","2019-09-16",3.65
"198","2019-09-17",3.63
"199","2019-09-18",3.54
"200","2019-09-19",3.39
"201","2019-09-20",3.56
"202","2019-09-23",3.6
"203","2019-09-24",3.6
"204","2019-09-25",3.42
"205","2019-09-26",3.3
"206","2019-09-27",3.3
"207","2019-09-30",3.1
"208","2019-10-01",3.2
"209","2019-10-02",3.16
"210","2019-10-03",3.15
"211","2019-10-04",3.19
"212","2019-10-07",3.4
"213","2019-10-08",3.54
"214","2019-10-09",3.42
"215","2019-10-10",3.4
"216","2019-10-11",3.4
"217","2019-10-14",3.39
"218","2019-10-15",3.34
"219","2019-10-16",3.29
"220","2019-10-17",3.19
"221","2019-10-18",3.16
"222","2019-10-21",3.1
"223","2019-10-22",2.9
"224","2019-10-23",2.8
"225","2019-10-24",3
"226","2019-10-25",3.18
"227","2019-10-28",3.01
"228","2019-10-29",2.9
"229","2019-10-30",2.9
"230","2019-10-31",2.81
"231","2019-11-01",2.87
"232","2019-11-04",2.88
"233","2019-11-05",2.9
"234","2019-11-06",2.8
"235","2019-11-07",2.88
"236","2019-11-08",2.85
"237","2019-11-11",2.86
"238","2019-11-12",2.8
"239","2019-11-13",2.8
"240","2019-11-14",2.49
"241","2019-11-15",2.11
"242","2019-11-18",2.07
"243","2019-11-19",2.28
"244","2019-11-20",2
"245","2019-11-21",2
"246","2019-11-22",1.6
"247","2019-11-25",1.6
"248","2019-11-26",2.3
"249","2019-11-27",2.01
"250","2019-11-29",1.97
"251","2019-12-02",1.9
"252","2019-12-03",1.77
"253","2019-12-04",1.9
"254","2019-12-05",1.73
"255","2019-12-06",1.67
"256","2019-12-09",1.63
"257","2019-12-10",1.76
"258","2019-12-11",1.73
"259","2019-12-12",1.7
"260","2019-12-13",1.8
"261","2019-12-16",1.83
"262","2019-12-17",1.82
"263","2019-12-18",1.76
"264","2019-12-19",1.76
"265","2019-12-20",1.74
"266","2019-12-23",1.78
"267","2019-12-24",1.75
"268","2019-12-26",1.77
"269","2019-12-27",1.89
"270","2019-12-30",2
"271","2019-12-31",2
"272","2020-01-02",2.75
"273","2020-01-03",2.5
"274","2020-01-06",2.9
"275","2020-01-07",2.73
"276","2020-01-08",4
"277","2020-01-09",3.71
"278","2020-01-10",3.9
"279","2020-01-13",3.7
"280","2020-01-14",3.55
"281","2020-01-15",3.48
"282","2020-01-16",3.58
"283","2020-01-17",3.33
"284","2020-01-21",2.9
"285","2020-01-22",2.78
"286","2020-01-23",2.78
"287","2020-01-24",1.58
"288","2020-01-27",1.52
"289","2020-01-28",1.55
"290","2020-01-29",1.73
"291","2020-01-30",1.64
"292","2020-01-31",1.56
"293","2020-02-03",1.39
"294","2020-02-04",1.42
"295","2020-02-05",1.58
"296","2020-02-06",1.61
"297","2020-02-07",1.5
"298","2020-02-10",1.56
"299","2020-02-11",1.56
"300","2020-02-12",1.51
"301","2020-02-13",1.52
"302","2020-02-14",1.46
"303","2020-02-18",1.47
"304","2020-02-19",1.59
"305","2020-02-20",2.04
"306","2020-02-21",2.42
"307","2020-02-24",2.12
"308","2020-02-25",2.3
"309","2020-02-26",1.88
"310","2020-02-27",1.85
"311","2020-02-28",1.8
"312","2020-03-02",1.7
"313","2020-03-03",2.05
"314","2020-03-04",1.93
"315","2020-03-05",1.88
"316","2020-03-06",1.77
"317","2020-03-09",1.6
"318","2020-03-10",1.62
"319","2020-03-11",1.69
"320","2020-03-12",1.68
"321","2020-03-13",1.7
"322","2020-03-16",1.58
"323","2020-03-17",1.58
"324","2020-03-18",1.47
"325","2020-03-19",1.39
"326","2020-03-20",1.38
"327","2020-03-23",1.33
"328","2020-03-24",1.32
"329","2020-03-25",1.41
"330","2020-03-26",1.42
"331","2020-03-27",1.5
"332","2020-03-30",1.8
"333","2020-03-31",1.46
"334","2020-04-01",1.39
"335","2020-04-02",1.38
"336","2020-04-03",1.59
"337","2020-04-06",1.53
"338","2020-04-07",1.52
"339","2020-04-08",1.41
"340","2020-04-09",1.68
"341","2020-04-13",1.62
"342","2020-04-14",1.5
"343","2020-04-15",1.43
"344","2020-04-16",1.37
"345","2020-04-17",1.37
"346","2020-04-20",1.36
"347","2020-04-21",1.33
"348","2020-04-22",1.34
"349","2020-04-23",1.38
"350","2020-04-24",1.37
"351","2020-04-27",1.43
"352","2020-04-28",1.38
"353","2020-04-29",1.36
"354","2020-04-30",1.33
"355","2020-05-01",1.26
"356","2020-05-04",1.244
"357","2020-05-05",1.2
"358","2020-05-06",1.35
"359","2020-05-07",1.33
"360","2020-05-08",1.41
"361","2020-05-11",1.5
"362","2020-05-12",1.4
"363","2020-05-13",1.32
"364","2020-05-14",1.26
"365","2020-05-15",1.2
"366","2020-05-18",1.25
"367","2020-05-19",1.24
"368","2020-05-20",1.27
"369","2020-05-21",1.25
"370","2020-05-22",1.25
"371","2020-05-26",1.23
"372","2020-05-27",1.19
"373","2020-05-28",1.1
"374","2020-05-29",0.871
"375","2020-06-01",0.85
"376","2020-06-02",0.887
"377","2020-06-03",0.866
"378","2020-06-04",0.845
"379","2020-06-05",0.898
"380","2020-06-08",0.92
"381","2020-06-09",1.04
"382","2020-06-10",0.95
"383","2020-06-11",0.863
"384","2020-06-12",0.86
"385","2020-06-15",0.86
"386","2020-06-16",0.9
"387","2020-06-17",0.884
"388","2020-06-18",0.866
"389","2020-06-19",0.836
"390","2020-06-22",0.841
"391","2020-06-23",0.84
"392","2020-06-24",0.813
"393","2020-06-25",0.828
"394","2020-06-26",0.78
"395","2020-06-29",0.783
"396","2020-06-30",0.775
"397","2020-07-01",0.81
"398","2020-07-02",0.781
"399","2020-07-06",0.79
"400","2020-07-07",0.774
"401","2020-07-08",0.766
"402","2020-07-09",0.773
"403","2020-07-10",0.756
"404","2020-07-13",0.68
"405","2020-07-14",0.679
"406","2020-07-15",0.72
"407","2020-07-16",0.73
"408","2020-07-17",0.74
"409","2020-07-20",0.743
"410","2020-07-21",0.75
"411","2020-07-22",0.75
"412","2020-07-23",0.724
"413","2020-07-24",0.715
"414","2020-07-27",0.693
"415","2020-07-28",0.709
"416","2020-07-29",0.733
"417","2020-07-30",0.724
"418","2020-07-31",0.701
"419","2020-08-03",0.69
"420","2020-08-04",0.695
"421","2020-08-05",0.7
"422","2020-08-06",0.7
"423","2020-08-07",0.7
"424","2020-08-10",0.702
"425","2020-08-11",0.69
"426","2020-08-12",0.694
"427","2020-08-13",0.69
"428","2020-08-14",0.762
"429","2020-08-17",0.756
"430","2020-08-18",0.76
"431","2020-08-19",0.734
"432","2020-08-20",0.714
"433","2020-08-21",0.713
"434","2020-08-24",0.68
"435","2020-08-25",0.707
"436","2020-08-26",0.682
"437","2020-08-27",0.681
"438","2020-08-28",0.69
"439","2020-08-31",0.679
"440","2020-09-01",0.666
"441","2020-09-02",0.67
"442","2020-09-03",0.689
"443","2020-09-04",0.715
"444","2020-09-08",0.689
"445","2020-09-09",0.662
"446","2020-09-10",0.655
"447","2020-09-11",0.625
"448","2020-09-14",0.638
"449","2020-09-15",0.645
"450","2020-09-16",0.645
"451","2020-09-17",0.635
"452","2020-09-18",0.652
"453","2020-09-21",0.66
"454","2020-09-22",0.686
"455","2020-09-23",0.68
"456","2020-09-24",0.649
"457","2020-09-25",0.664
"458","2020-09-28",0.674
"459","2020-09-29",0.7
"460","2020-09-30",0.697
"461","2020-10-01",0.766
"462","2020-10-02",0.834
"463","2020-10-05",0.802
"464","2020-10-06",0.753
"465","2020-10-07",0.81
"466","2020-10-08",0.852
"467","2020-10-09",0.845
"468","2020-10-12",0.868
"469","2020-10-13",0.881
"470","2020-10-14",0.85
"471","2020-10-15",0.85
"472","2020-10-16",0.83
"473","2020-10-19",0.808
"474","2020-10-20",0.805
"475","2020-10-21",0.789
"476","2020-10-22",0.775
"477","2020-10-23",0.768
"478","2020-10-26",0.734
"479","2020-10-27",0.716
"480","2020-10-28",0.675
"481","2020-10-29",0.673
"482","2020-10-30",0.681
"483","2020-11-02",0.688
"484","2020-11-03",0.705
"485","2020-11-04",0.697
"486","2020-11-05",0.71
"487","2020-11-06",0.7
"488","2020-11-09",0.793
"489","2020-11-10",0.79
"490","2020-11-11",0.77
"491","2020-11-12",0.79
"492","2020-11-13",0.78
"493","2020-11-16",0.76
"494","2020-11-17",0.798
"495","2020-11-18",0.786
"496","2020-11-19",0.81
"497","2020-11-20",0.828
"498","2020-11-23",0.83
"499","2020-11-24",0.813
"500","2020-11-25",0.81
"501","2020-11-27",0.83
